Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Health_Status,Health_Label,Action,Block_Name,Tilt_Offset_m,Tilt_Direction,Tilt_Angle_deg,Tilt_Status,Crown_Ellipticity,Crown_Px,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Status,SR_Ref_Corrected,SR_Area_Ha
401,109.22329915638038,-0.461209520365415,4.35,0.4097334146499634,0.7168,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.167,S,2.2,Tegak,1.028,15397,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
147,109.2225283863048,-0.4603107965505121,4.35,0.3208784759044647,0.4828,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.046,W,0.6,Tegak,1.0,16129,Suspect,Critical,Priority Survey,OK,398,3.0
434,109.2238103662542,-0.461304757942273,4.35,0.465960294008255,0.8663,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.568,NE,7.44,Miring Ringan,1.054,14679,Healthy,Good,None,OK,398,3.0
430,109.22274025834568,-0.4612957288507941,4.34,0.4766051769256592,0.8948,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.102,SE,1.35,Tegak,1.178,10460,Healthy,Good,None,OK,398,3.0
362,109.22346365832944,-0.4610927610937521,4.33,0.4312034547328949,0.7738,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.679,N,8.91,Miring Ringan,1.169,12824,Normal,Moderate,Routine,OK,398,3.0
528,109.223896865259,-0.4616576844965064,4.33,0.458273708820343,0.8458,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.195,NE,2.58,Tegak,1.14,10606,Normal,Moderate,Routine,OK,398,3.0
274,109.22300884777792,-0.4607722794587263,4.32,0.338904470205307,0.53,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.261,S,3.46,Tegak,1.02,15465,Suspect,Critical,Priority Survey,OK,398,3.0
386,109.22326478006782,-0.461170300091808,4.31,0.4597192704677582,0.8497,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.173,SW,2.3,Tegak,1.026,15091,Normal,Moderate,Routine,OK,398,3.0
468,109.22310356190889,-0.4614101179367832,4.29,0.4017537832260132,0.6957,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.331,SW,4.42,Tegak,1.069,15327,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
133,109.2227637178774,-0.4602495353092113,4.26,0.4352369308471679,0.7845,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.791,S,10.52,Miring Ringan,1.302,12187,Normal,Moderate,Routine,OK,398,3.0
243,109.2225461160063,-0.4606528597886137,4.26,0.3344100713729858,0.5182,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.403,E,5.4,Tegak,1.131,15182,Suspect,Critical,Priority Survey,OK,398,3.0
470,109.22362805208095,-0.4614123355540209,4.25,0.4356628060340881,0.7856,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.91,W,12.08,Miring Ringan,1.147,10951,Normal,Moderate,Routine,OK,398,3.0
475,109.22348843283368,-0.4614269005258025,4.25,0.4293832182884216,0.7689,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.295,W,3.97,Tegak,1.031,15374,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
405,109.22355767208543,-0.4612137567938252,4.25,0.4832705557346344,0.9126,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.648,N,8.67,Miring Ringan,1.319,13244,Healthy,Good,None,OK,398,3.0
161,109.22273635339327,-0.4603358774386687,4.24,0.0284932106733322,0.0,TM,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C18B,0.404,NW,5.45,Tegak,1.025,15047,Suspect,Critical,Priority Survey,OK,398,3.0
432,109.2237668672806,-0.4612989069768843,4.24,0.4905189275741577,0.932,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.406,W,5.48,Tegak,1.062,15173,Healthy,Good,None,OK,398,3.0
389,109.22347689439366,-0.461178279159978,4.23,0.4061560332775116,0.7073,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.423,N,5.71,Tegak,1.018,14416,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
270,109.22346332613226,-0.4607615478233083,4.22,0.3622513115406036,0.5914,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.023,SE,0.31,Tegak,1.002,16100,Suspect,Critical,Priority Survey,OK,398,3.0
