Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-021,109.24463859,-0.42383071,5.0,16,10,6,0.3843,6.13,21.257,High
RING-025,109.24427969,-0.42345041,5.0,13,7,6,0.386,5.18,16.44,High
RING-005,109.24521884,-0.42325016,5.0,4,4,0,0.2801,8.35,7.599,Medium
RING-022,109.24374746,-0.43116451,5.0,4,3,1,0.335,4.46,6.3,Low
RING-016,109.24421584,-0.42309982,5.0,4,3,1,0.3486,3.59,6.164,Low
RING-002,109.24513337,-0.43106889,5.0,5,2,3,0.3749,11.64,6.001,Low
RING-011,109.24416461,-0.4288297,5.0,6,1,5,0.4021,7.29,5.85,Low
RING-032,109.24485774,-0.42422831,5.0,4,3,1,0.3887,5.97,5.763,Low
RING-006,109.24522534,-0.42481318,5.0,3,2,1,0.2666,11.71,5.384,Low
RING-012,109.24522706,-0.4297567,5.0,3,2,1,0.2738,9.29,5.312,Low
RING-036,109.24457742,-0.42530347,5.0,3,3,0,0.3723,5.52,5.077,Low
RING-041,109.24404628,-0.4241681,5.0,4,2,2,0.3839,4.57,5.061,Low
RING-027,109.24448313,-0.42503098,5.0,5,1,4,0.394,6.01,5.06,Low
RING-020,109.24451279,-0.42426395,5.0,4,2,2,0.3969,7.15,4.931,Low
RING-042,109.2447055,-0.42562151,5.0,3,2,1,0.3624,4.08,4.426,Low
RING-033,109.24478819,-0.42541022,5.0,3,2,1,0.3792,5.29,4.258,Low
RING-017,109.24492344,-0.42316411,5.0,3,2,1,0.3814,8.25,4.236,Low
RING-031,109.24417962,-0.4247219,5.0,3,2,1,0.3828,5.57,4.222,Low
RING-030,109.24417998,-0.42726232,5.0,4,1,3,0.3965,4.38,4.185,Low
RING-018,109.24363719,-0.42380482,5.0,4,1,3,0.4089,6.27,4.15,Low
RING-004,109.24334081,-0.42803338,5.0,4,1,3,0.4056,9.34,4.15,Low
RING-023,109.24394811,-0.42493557,5.0,3,2,1,0.3947,5.29,4.103,Low
RING-007,109.24523525,-0.42598516,5.0,3,1,2,0.3781,9.42,3.519,Low
RING-039,109.24339571,-0.42476574,5.0,3,1,2,0.3844,5.35,3.456,Low
RING-026,109.24388757,-0.4243652,5.0,4,0,4,0.4084,4.11,3.4,Low
RING-024,109.24448146,-0.42328458,5.0,4,0,4,0.4065,6.08,3.4,Low
RING-019,109.2438661,-0.42648206,5.0,4,0,4,0.4115,5.85,3.4,Low
RING-038,109.24327389,-0.42456767,5.0,3,1,2,0.3912,4.56,3.388,Low
RING-001,109.24330116,-0.42973968,5.0,3,1,2,0.3929,11.2,3.371,Low
RING-045,109.24372877,-0.4249946,5.0,3,1,2,0.3936,3.49,3.364,Low
RING-015,109.24489946,-0.42922204,5.0,3,1,2,0.3958,5.97,3.342,Low
RING-008,109.24518244,-0.4304194,5.0,3,1,2,0.3973,10.43,3.327,Low
RING-014,109.24471357,-0.42900466,5.0,3,1,2,0.3978,8.01,3.322,Low
RING-043,109.24433332,-0.42495525,5.0,3,1,2,0.3996,4.06,3.304,Low
RING-010,109.24427255,-0.42951594,5.0,3,1,2,0.4066,7.47,3.3,Low
RING-009,109.24345722,-0.43013505,5.0,3,1,2,0.4027,9.39,3.3,Low
RING-003,109.24438813,-0.43079013,5.0,3,1,2,0.4006,10.82,3.3,Low
RING-013,109.24381138,-0.42912141,5.0,3,1,2,0.4036,7.26,3.3,Low
RING-040,109.24371055,-0.42349662,5.0,3,1,2,0.4044,4.63,3.3,Low
RING-029,109.24384576,-0.42736089,5.0,3,0,3,0.4105,5.09,2.55,Low
RING-028,109.24480984,-0.42499259,5.0,3,0,3,0.4052,5.91,2.55,Low
RING-037,109.24319895,-0.42429711,5.0,3,0,3,0.4152,5.31,2.55,Low
RING-035,109.24338482,-0.42658549,5.0,3,0,3,0.4145,4.86,2.55,Low
RING-034,109.24509738,-0.42591987,5.0,3,0,3,0.4092,5.61,2.55,Low
RING-044,109.24371488,-0.42616718,5.0,3,0,3,0.4082,3.85,2.55,Low
