Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Ring_ID,Distance_to_Center_m,Ring_Radius_m
487,109.24492282,-0.42390368,6.97,0.3667488396167755,Suspect,Suspect,Priority Survey,E002A,0.3667488396167755,Suspect,Critical,Priority Survey,E02,RING-021,32.651,5.0
931,109.24490218,-0.42381641,4.75,0.361481100320816,Suspect,Suspect,Priority Survey,E002A,0.361481100320816,Suspect,Critical,Priority Survey,E02,RING-021,29.384,5.0
360,109.24383516,-0.43115233,8.02,0.3885347843170166,Suspect,Suspect,Priority Survey,E002A,0.3885347843170166,Suspect,Critical,Priority Survey,E02,RING-022,9.854,5.0
1310,109.24374533,-0.43117627,2.22,0.2058145254850387,Suspect,Suspect,Priority Survey,E002A,0.2058145254850387,Suspect,Critical,Priority Survey,E02,RING-022,1.321,5.0
1357,109.24367839,-0.43124769,0.53,0.3255702555179596,Suspect,Suspect,Priority Survey,E002A,0.3255702555179596,Suspect,Critical,Priority Survey,E02,RING-022,11.986,5.0
469,109.24373098,-0.43108177,7.08,0.420149028301239,Abnormal,Abnormal,Monitor,E002A,0.420149028301239,Abnormal,Sub-Optimal,Monitor,E02,RING-022,9.329,5.0
401,109.24397985,-0.42494387,7.7,0.3740686774253845,Suspect,Suspect,Priority Survey,E002A,0.3740686774253845,Suspect,Critical,Priority Survey,E02,RING-023,3.65,5.0
1013,109.24395292,-0.42487604,4.39,0.4275916814804077,Abnormal,Abnormal,Monitor,E002A,0.4275916814804077,Abnormal,Sub-Optimal,Monitor,E02,RING-023,6.603,5.0
1155,109.24391157,-0.42498681,3.77,0.3824107646942138,Suspect,Suspect,Priority Survey,E002A,0.3824107646942138,Suspect,Critical,Priority Survey,E02,RING-023,6.973,5.0
428,109.24445677,-0.42325112,7.46,0.4095977246761322,Abnormal,Abnormal,Monitor,E002A,0.4095977246761322,Abnormal,Sub-Optimal,Monitor,E02,RING-024,4.609,5.0
548,109.24435616,-0.42326195,6.53,0.3939992785453796,Abnormal,Abnormal,Monitor,E002A,0.3939992785453796,Abnormal,Sub-Optimal,Monitor,E02,RING-024,14.171,5.0
824,109.2445075,-0.42331398,5.18,0.3953406512737274,Abnormal,Abnormal,Monitor,E002A,0.3953406512737274,Abnormal,Sub-Optimal,Monitor,E02,RING-024,4.354,5.0
835,109.24460542,-0.42331129,5.15,0.4270878732204437,Abnormal,Abnormal,Monitor,E002A,0.4270878732204437,Abnormal,Sub-Optimal,Monitor,E02,RING-024,14.111,5.0
443,109.24443831,-0.42344057,7.29,0.3747337162494659,Suspect,Suspect,Priority Survey,E002A,0.3747337162494659,Suspect,Critical,Priority Survey,E02,RING-025,17.69,5.0
563,109.24453083,-0.42345054,6.43,0.4237210154533386,Abnormal,Abnormal,Monitor,E002A,0.4237210154533386,Abnormal,Sub-Optimal,Monitor,E02,RING-025,27.956,5.0
719,109.24461077,-0.42345236,5.67,0.4121599197387695,Abnormal,Abnormal,Monitor,E002A,0.4121599197387695,Abnormal,Sub-Optimal,Monitor,E02,RING-025,36.855,5.0
825,109.24436958,-0.42348079,5.18,0.3528743684291839,Suspect,Suspect,Priority Survey,E002A,0.3528743684291839,Suspect,Critical,Priority Survey,E02,RING-025,10.555,5.0
898,109.24433277,-0.42339126,4.88,0.4238137006759643,Abnormal,Abnormal,Monitor,E002A,0.4238137006759643,Abnormal,Sub-Optimal,Monitor,E02,RING-025,8.812,5.0
