Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-018,109.24462802,-0.42381967,5.0,17,17,0,0.3225,6.32,27.975,High
RING-024,109.24428278,-0.42337107,5.0,19,14,5,0.3163,4.91,27.487,High
RING-026,109.24364484,-0.42367078,5.0,11,9,2,0.3473,4.94,16.627,High
RING-032,109.24410447,-0.42422116,5.0,9,6,3,0.3521,4.79,12.629,High
RING-033,109.24477505,-0.42492227,5.0,6,6,0,0.3318,6.29,10.282,Medium
RING-039,109.24426164,-0.42498585,5.0,7,5,2,0.3547,4.51,10.153,Medium
RING-014,109.24416461,-0.4288297,5.0,6,6,0,0.35,7.29,10.1,Medium
RING-036,109.24319137,-0.42744144,5.0,7,4,3,0.3763,4.75,9.187,Medium
RING-061,109.24347996,-0.42425821,5.0,6,5,1,0.37,4.42,9.15,Medium
RING-002,109.24513337,-0.43106889,5.0,5,5,0,0.3064,11.64,8.936,Medium
RING-040,109.24448313,-0.42503098,5.0,5,5,0,0.3266,6.01,8.734,Medium
RING-056,109.24457543,-0.42524704,5.0,5,4,1,0.329,4.97,7.96,Medium
RING-020,109.24380135,-0.42776028,5.0,5,4,1,0.3508,6.39,7.742,Medium
RING-007,109.24521884,-0.42325016,5.0,4,3,1,0.2153,8.34,7.498,Medium
RING-047,109.24485774,-0.42422831,5.0,4,4,0,0.3273,5.97,7.128,Medium
RING-034,109.24448146,-0.42328458,5.0,4,4,0,0.332,6.08,7.08,Medium
RING-001,109.2432937,-0.42977054,5.0,4,4,0,0.3347,11.39,7.053,Medium
RING-028,109.24451279,-0.42426395,5.0,4,4,0,0.335,7.15,7.05,Medium
RING-013,109.24515385,-0.42435435,5.0,5,3,2,0.3516,5.38,6.984,Low
RING-017,109.24415447,-0.42782615,5.0,4,4,0,0.3478,8.18,6.923,Low
RING-030,109.24443795,-0.42699728,5.0,5,3,2,0.3582,5.29,6.918,Low
RING-027,109.2438661,-0.42648206,5.0,4,4,0,0.3515,5.85,6.885,Low
RING-004,109.24334081,-0.42803338,5.0,4,4,0,0.3533,9.34,6.867,Low
RING-031,109.24369475,-0.42698108,5.0,4,4,0,0.3578,5.14,6.823,Low
RING-050,109.24508261,-0.42587623,5.0,4,4,0,0.358,5.59,6.82,Low
RING-006,109.24309785,-0.42893865,5.0,4,4,0,0.3613,9.46,6.788,Low
RING-015,109.24522706,-0.4297567,5.0,3,3,0,0.203,9.29,6.77,Low
RING-044,109.24375923,-0.42880271,5.0,4,4,0,0.3633,5.21,6.768,Low
RING-008,109.24522534,-0.42481318,5.0,3,3,0,0.208,11.71,6.72,Low
RING-029,109.24374746,-0.43116451,5.0,4,2,2,0.2632,4.46,6.268,Low
RING-043,109.24417998,-0.42726232,5.0,4,3,1,0.3385,4.38,6.265,Low
RING-055,109.24366989,-0.42665813,5.0,4,3,1,0.3427,4.58,6.223,Low
RING-052,109.24366112,-0.4272128,5.0,4,3,1,0.3708,5.15,5.943,Low
RING-038,109.24397155,-0.4244101,5.0,4,3,1,0.3815,4.49,5.835,Low
RING-009,109.24523525,-0.42598516,5.0,3,3,0,0.314,9.42,5.66,Low
RING-049,109.24478819,-0.42541022,5.0,3,3,0,0.317,5.29,5.63,Low
RING-045,109.24417962,-0.4247219,5.0,3,3,0,0.3183,5.57,5.617,Low
RING-041,109.24401364,-0.42712762,5.0,3,3,0,0.3237,5.94,5.563,Low
RING-025,109.24492344,-0.42316411,5.0,3,3,0,0.327,8.25,5.53,Low
RING-059,109.24339571,-0.42476574,5.0,3,3,0,0.328,5.35,5.52,Low
RING-011,109.24345722,-0.43013505,5.0,3,3,0,0.3307,9.39,5.493,Low
RING-037,109.24333344,-0.42688424,5.0,4,2,2,0.3432,4.86,5.468,Low
RING-003,109.2434674,-0.42815749,5.0,3,3,0,0.334,10.85,5.46,Low
RING-021,109.24471357,-0.42900466,5.0,3,3,0,0.3373,8.01,5.427,Low
RING-016,109.2438914,-0.42330954,5.0,4,2,2,0.3498,5.89,5.403,Low
RING-010,109.24518244,-0.4304194,5.0,3,3,0,0.3407,10.43,5.393,Low
RING-046,109.24326984,-0.42610212,5.0,4,2,2,0.3508,4.26,5.393,Low
RING-019,109.24417727,-0.42978796,5.0,3,3,0,0.3447,7.94,5.353,Low
RING-012,109.24427255,-0.42951594,5.0,3,3,0,0.345,7.47,5.35,Low
RING-048,109.2442015,-0.42393366,5.0,3,3,0,0.3463,5.49,5.337,Low
RING-054,109.24338482,-0.42658549,5.0,3,3,0,0.3537,4.86,5.263,Low
RING-022,109.24412391,-0.4306915,5.0,3,3,0,0.356,7.87,5.24,Low
RING-051,109.24446334,-0.42793074,5.0,3,3,0,0.3607,5.82,5.193,Low
RING-057,109.24319895,-0.42429711,5.0,3,3,0,0.3617,5.31,5.183,Low
RING-058,109.24432513,-0.42808414,5.0,3,3,0,0.367,5.38,5.13,Low
RING-005,109.24484582,-0.43073296,5.0,3,3,0,0.3677,12.02,5.123,Low
RING-062,109.2447055,-0.42562151,5.0,3,2,1,0.3007,4.08,5.043,Low
RING-035,109.24407897,-0.42657367,5.0,4,2,2,0.4022,4.62,4.9,Low
RING-060,109.24455805,-0.42552893,5.0,3,2,1,0.3213,4.52,4.837,Low
RING-023,109.24489946,-0.42922204,5.0,3,2,1,0.3363,5.97,4.687,Low
RING-042,109.24374221,-0.42447538,5.0,3,2,1,0.3483,4.52,4.567,Low
RING-063,109.24373647,-0.42604103,5.0,3,2,1,0.3583,4.05,4.467,Low
RING-053,109.24368974,-0.42412736,5.0,3,2,1,0.386,5.38,4.19,Low
RING-064,109.24475035,-0.42986617,5.0,3,0,3,0.3857,0.89,2.693,Low
