Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Reclassified,Was_TBM
1,109.23308835,-0.43510351,19.96,0.449,TM,Healthy,,D005A,0.449,Normal,Moderate,Routine,D05,original,False
2,109.23134456,-0.43617288,18.23,0.331,TM,Suspect,Circle_5m,D005A,0.331,Suspect,Critical,Priority Survey,D05,original,False
3,109.2314843,-0.43592468,13.34,0.513,TM,Healthy,,D005A,0.513,Healthy,Good,None,D05,original,False
4,109.23244832,-0.43898686,13.24,0.381,TM,Healthy,,D005A,0.381,Suspect,Critical,Priority Survey,D05,original,False
5,109.23290671,-0.43395591,13.02,0.502,TM,Healthy,,D005A,0.502,Healthy,Good,None,D05,original,False
6,109.23353208,-0.43323217,12.9,0.42,TM,Healthy,,D005A,0.42,Abnormal,Sub-Optimal,Monitor,D05,original,False
7,109.23184327,-0.43735582,12.07,0.451,TM,Healthy,,D005A,0.451,Normal,Moderate,Routine,D05,original,False
8,109.23153766,-0.43821392,11.95,0.547,TM,Healthy,,D005A,0.547,Healthy,Good,None,D05,original,False
9,109.23215117,-0.43438573,11.93,0.556,TM,Healthy,,D005A,0.556,Healthy,Good,None,D05,original,False
10,109.23195189,-0.43764612,11.87,0.507,TM,Healthy,,D005A,0.507,Healthy,Good,None,D05,original,False
11,109.23140481,-0.4358799,11.81,0.531,TM,Healthy,,D005A,0.531,Healthy,Good,None,D05,original,False
12,109.23307161,-0.43562935,11.77,0.452,TM,Healthy,,D005A,0.452,Normal,Moderate,Routine,D05,original,False
13,109.23223786,-0.43435229,11.51,0.469,TM,Healthy,,D005A,0.469,Healthy,Good,None,D05,original,False
14,109.23321144,-0.43495659,11.47,0.48,TM,Healthy,,D005A,0.48,Healthy,Good,None,D05,original,False
15,109.23211285,-0.43693177,11.45,0.466,TM,Healthy,,D005A,0.466,Healthy,Good,None,D05,original,False
16,109.23281575,-0.43498679,11.38,0.442,TM,Healthy,,D005A,0.442,Normal,Moderate,Routine,D05,original,False
17,109.23188757,-0.43419169,11.35,0.464,TM,Healthy,,D005A,0.464,Healthy,Good,None,D05,original,False
18,109.23183915,-0.43189658,11.35,0.505,TM,Healthy,,D005A,0.505,Healthy,Good,None,D05,original,False
