Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy
261,109.23345264,-0.44710885,11.5,0.4101080000400543,Abnormal,Abnormal,Monitor,D009A,0.4101080000400543,Abnormal,Sub-Optimal,Monitor,D09
262,109.23338729,-0.44617559,11.5,0.461836963891983,Healthy,Healthy,,D009A,0.461836963891983,Healthy,Good,,D09
263,109.23155466,-0.44495164,11.5,0.4897244274616241,Healthy,Healthy,,D009A,0.4897244274616241,Healthy,Good,,D09
264,109.23178067,-0.4445321,11.49,0.4164876639842987,Abnormal,Abnormal,Monitor,D009A,0.4164876639842987,Abnormal,Sub-Optimal,Monitor,D09
265,109.23209502,-0.44284295,11.47,0.5379429459571838,Healthy,Healthy,,D009A,0.5379429459571838,Healthy,Good,,D09
266,109.23200084,-0.44036741,11.46,0.5710037350654602,Healthy,Healthy,,D009A,0.5710037350654602,Healthy,Good,,D09
267,109.23271121,-0.4410458,11.45,0.5134451985359192,Healthy,Healthy,,D009A,0.5134451985359192,Healthy,Good,,D09
268,109.23141067,-0.44038897,11.44,0.4538967311382293,Normal,Normal,Routine,D009A,0.4538967311382293,Normal,Moderate,Routine,D09
269,109.23248602,-0.44366007,11.41,0.4656775593757629,Healthy,Healthy,,D009A,0.4656775593757629,Healthy,Good,,D09
270,109.23230527,-0.44259341,11.4,0.4780300259590149,Healthy,Healthy,,D009A,0.4780300259590149,Healthy,Good,,D09
271,109.23142601,-0.44762697,11.4,0.4231995642185211,Abnormal,Abnormal,Monitor,D009A,0.4231995642185211,Abnormal,Sub-Optimal,Monitor,D09
272,109.23319752,-0.4471332,11.39,0.4619993865489959,Healthy,Healthy,,D009A,0.4619993865489959,Healthy,Good,,D09
273,109.231479,-0.44390309,11.38,0.4658502340316772,Healthy,Healthy,,D009A,0.4658502340316772,Healthy,Good,,D09
274,109.23245938,-0.4423832,11.38,0.5216038227081299,Healthy,Healthy,,D009A,0.5216038227081299,Healthy,Good,,D09
275,109.23161136,-0.44446243,11.36,0.443442165851593,Normal,Normal,Routine,D009A,0.443442165851593,Normal,Moderate,Routine,D09
276,109.23189647,-0.44488073,11.35,0.4337535798549652,Normal,Normal,Routine,D009A,0.4337535798549652,Normal,Moderate,Routine,D09
277,109.23323725,-0.44250773,11.35,0.4689976274967193,Healthy,Healthy,,D009A,0.4689976274967193,Healthy,Good,,D09
278,109.23149521,-0.4475239,11.35,0.4515478014945984,Normal,Normal,Routine,D009A,0.4515478014945984,Normal,Moderate,Routine,D09
279,109.2326677,-0.44080073,11.35,0.3885932564735412,Suspect,Suspect,Priority Survey,D009A,0.3885932564735412,Suspect,Critical,Priority Survey,D09
280,109.2329853,-0.44053901,11.34,0.4183818399906158,Abnormal,Abnormal,Monitor,D009A,0.4183818399906158,Abnormal,Sub-Optimal,Monitor,D09
281,109.23283603,-0.44688488,11.34,0.4548130631446838,Normal,Normal,Routine,D009A,0.4548130631446838,Normal,Moderate,Routine,D09
282,109.23141539,-0.44697135,11.34,0.4032512307167053,Abnormal,Abnormal,Monitor,D009A,0.4032512307167053,Abnormal,Sub-Optimal,Monitor,D09
283,109.23309472,-0.44127694,11.31,0.4815626740455627,Healthy,Healthy,,D009A,0.4815626740455627,Healthy,Good,,D09
