Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-004,109.23226327,-0.44849615,5.0,10,10,0,0.361,10.25,16.39,High
RING-014,109.23270187,-0.44312134,5.0,10,9,1,0.3606,7.28,15.644,High
RING-029,109.23279531,-0.44544846,5.0,7,7,0,0.3421,9.0,11.779,Medium
RING-016,109.23294077,-0.44836313,5.0,6,6,0,0.339,8.47,10.21,Medium
RING-008,109.23174279,-0.44454505,5.0,6,6,0,0.3418,11.11,10.182,Medium
RING-022,109.2317428,-0.44650391,5.0,7,5,2,0.3536,7.07,10.164,Medium
RING-018,109.23221065,-0.44735113,5.0,6,4,2,0.324,6.34,8.86,Medium
RING-026,109.23149215,-0.44415629,5.0,5,5,0,0.321,8.41,8.79,Medium
RING-003,109.23218608,-0.44482094,5.0,5,5,0,0.3454,10.61,8.546,Medium
RING-030,109.2332674,-0.44530265,5.0,5,5,0,0.3456,7.88,8.544,Medium
RING-021,109.23338858,-0.44188895,5.0,5,4,1,0.3428,5.94,7.822,Medium
RING-017,109.23235189,-0.44816695,5.0,4,4,0,0.3168,9.03,7.232,Medium
RING-047,109.23273376,-0.44911508,5.0,4,4,0,0.328,5.64,7.12,Medium
RING-007,109.23192316,-0.44876481,5.0,4,4,0,0.3312,12.72,7.088,Medium
RING-034,109.23139179,-0.446136,5.0,4,3,1,0.2635,6.56,7.015,Medium
RING-006,109.23262863,-0.44126655,5.0,4,4,0,0.345,9.15,6.95,Low
RING-040,109.23214678,-0.44661422,5.0,4,4,0,0.346,7.46,6.94,Low
RING-015,109.23238954,-0.44616687,5.0,4,4,0,0.3515,9.27,6.885,Low
RING-035,109.23192133,-0.44372007,5.0,4,4,0,0.3518,7.07,6.883,Low
RING-051,109.2331454,-0.44912569,5.0,4,4,0,0.3585,5.65,6.815,Low
RING-019,109.23216534,-0.44365536,5.0,4,4,0,0.364,8.86,6.76,Low
RING-013,109.23224727,-0.44523417,5.0,4,4,0,0.3642,10.46,6.758,Low
RING-020,109.23180348,-0.44400456,5.0,4,4,0,0.365,6.25,6.75,Low
RING-049,109.23304007,-0.44179844,5.0,5,3,2,0.3852,5.0,6.648,Low
RING-041,109.23148305,-0.44339951,5.0,4,3,1,0.3013,5.45,6.638,Low
RING-045,109.23234401,-0.44023456,5.0,3,2,1,0.1917,5.12,6.133,Low
RING-042,109.23263374,-0.44512658,5.0,3,3,0,0.3133,6.8,5.667,Low
RING-027,109.23349932,-0.44407675,5.0,3,3,0,0.3187,9.3,5.613,Low
RING-028,109.23258164,-0.44699892,5.0,3,3,0,0.319,9.11,5.61,Low
RING-033,109.23310196,-0.44200638,5.0,4,2,2,0.336,4.46,5.54,Low
RING-036,109.23359341,-0.44316041,5.0,3,3,0,0.3283,7.19,5.517,Low
RING-010,109.23182503,-0.44307197,5.0,3,3,0,0.33,10.85,5.5,Low
RING-046,109.23307221,-0.44400927,5.0,3,3,0,0.3337,6.87,5.463,Low
RING-025,109.231413,-0.44570473,5.0,3,3,0,0.3373,7.8,5.427,Low
RING-043,109.23212393,-0.44593007,5.0,3,3,0,0.34,7.09,5.4,Low
RING-050,109.23321983,-0.44147878,5.0,3,3,0,0.341,4.97,5.39,Low
RING-002,109.23242319,-0.44908991,5.0,3,3,0,0.3417,11.52,5.383,Low
RING-005,109.23193403,-0.44240538,5.0,3,3,0,0.3507,13.58,5.293,Low
RING-011,109.23222699,-0.44314652,5.0,3,3,0,0.3507,10.5,5.293,Low
RING-009,109.231857,-0.44902391,5.0,3,3,0,0.3533,12.83,5.267,Low
RING-048,109.23357718,-0.44186598,5.0,4,2,2,0.3645,3.65,5.255,Low
RING-001,109.23213819,-0.44069194,5.0,3,3,0,0.3547,15.45,5.253,Low
RING-012,109.23190667,-0.44480462,5.0,3,3,0,0.356,10.0,5.24,Low
RING-037,109.23217423,-0.44151244,5.0,3,3,0,0.3563,6.83,5.237,Low
RING-032,109.23166347,-0.44191549,5.0,3,3,0,0.3567,7.54,5.233,Low
RING-031,109.23152415,-0.44481176,5.0,3,3,0,0.358,7.57,5.22,Low
RING-039,109.23336444,-0.44023827,5.0,3,1,2,0.2367,3.7,4.933,Low
RING-052,109.23271195,-0.4442327,5.0,3,2,1,0.318,4.41,4.87,Low
RING-038,109.23309529,-0.44706777,5.0,3,2,1,0.3337,4.51,4.713,Low
RING-023,109.23144765,-0.44668922,5.0,3,2,1,0.344,7.42,4.61,Low
RING-044,109.23323399,-0.44551407,5.0,3,2,1,0.353,4.97,4.52,Low
RING-024,109.23354788,-0.44447329,5.0,3,2,1,0.3543,6.69,4.507,Low
RING-053,109.23241664,-0.44771975,5.0,3,1,2,0.3993,4.34,3.307,Low
