Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Height_Class,Health_Status,Health_Label,Action,Block_Name,Classification_Abs,Health_Status_Abs,Action_Abs,Was_Reclassified
932,109.22519538089064,-0.4460561185125146,6.47,0.3957520127296448,0.2157,TM,TM_Muda,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
169,109.23097237945814,-0.4474017715465129,6.47,0.5050510168075562,0.8553,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
997,109.22227816680828,-0.4461726001676212,6.46,0.3460160493850708,0.0,TM,TM_Muda,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
50,109.23125357330568,-0.4456003115604195,6.46,0.415355384349823,0.3298,TM,TM_Dewasa,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
1028,109.22524555612482,-0.4462330659301663,6.46,0.3632530868053436,0.0272,TM,TM_Muda,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
1355,109.23105470312082,-0.4467790694635113,6.46,0.4328421056270599,0.4318,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
1505,109.22822647209152,-0.4470196589508861,6.46,0.4634888768196106,0.6111,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Healthy,Good,None,False
21,109.23041140515916,-0.4450922793754491,6.45,0.4455408751964569,0.506,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
1383,109.22517693531256,-0.4468258971594894,6.44,0.426796019077301,0.3965,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
364,109.22678657267016,-0.4451994021963923,6.44,0.461620569229126,0.6002,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Healthy,Good,None,False
205,109.22958054862517,-0.4450116532882893,6.44,0.463126540184021,0.609,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Healthy,Good,None,False
1683,109.2309700979316,-0.44739717525797,6.44,0.523781955242157,0.9658,TM,TM_Muda,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
406,109.22821548010783,-0.4452594925492879,6.44,0.4858421087265014,0.7423,TM,TM_Muda,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
99,109.22527066825032,-0.446219284869623,6.43,0.5415886044502258,1.0,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
632,109.22485309251998,-0.4456194420414938,6.43,0.4276584088802337,0.4016,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
832,109.23108002014996,-0.4459081838370652,6.42,0.399985671043396,0.2403,TM,TM_Muda,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
1000,109.22516339557534,-0.4461755994681713,6.42,0.4281814992427826,0.4046,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
46,109.22685954131808,-0.4455142269863851,6.41,0.4382075071334839,0.4632,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
1544,109.22281664296216,-0.4470941718718441,6.39,0.4449154734611511,0.5024,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
1077,109.22624761173334,-0.4462953515573882,6.39,0.4977374076843261,0.8122,TM,TM_Muda,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
159,109.22472030314948,-0.4472761665229822,6.38,0.4789316356182098,0.7017,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
