Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-027,109.23568764,-0.44555785,5.0,15,12,3,0.3467,6.83,22.283,High
RING-001,109.23406544,-0.44907122,5.0,9,9,0,0.3381,16.57,15.019,High
RING-057,109.23505861,-0.44666718,5.0,9,8,1,0.337,7.6,14.28,High
RING-051,109.23490818,-0.44237898,5.0,8,8,0,0.3365,7.29,13.435,High
RING-071,109.23523087,-0.44737915,5.0,8,6,2,0.3196,5.1,12.104,High
RING-043,109.23571313,-0.44661913,5.0,7,6,1,0.3396,7.55,11.054,Medium
RING-048,109.23466556,-0.44820386,5.0,7,5,2,0.3327,6.43,10.373,Medium
RING-060,109.23571676,-0.4482516,5.0,6,6,0,0.3232,7.95,10.368,Medium
RING-030,109.23454095,-0.44309772,5.0,6,6,0,0.3333,9.72,10.267,Medium
RING-065,109.23523977,-0.44260421,5.0,6,6,0,0.3548,5.9,10.052,Medium
RING-050,109.23421359,-0.44534768,5.0,6,5,1,0.3505,6.55,9.345,Medium
RING-015,109.23374926,-0.44706732,5.0,5,5,0,0.3066,11.22,8.934,Medium
RING-017,109.23542431,-0.44309686,5.0,5,5,0,0.3126,7.88,8.874,Medium
RING-004,109.23535954,-0.44916026,5.0,5,5,0,0.3152,11.96,8.848,Medium
RING-018,109.2357061,-0.44083862,5.0,5,5,0,0.3254,9.77,8.746,Medium
RING-062,109.2341422,-0.44729394,5.0,5,5,0,0.3348,6.88,8.652,Medium
RING-005,109.23440885,-0.44897655,5.0,5,5,0,0.3386,13.17,8.614,Medium
RING-036,109.23374166,-0.44843362,5.0,5,5,0,0.3438,8.66,8.562,Medium
RING-009,109.23467344,-0.44879557,5.0,5,5,0,0.345,11.92,8.55,Medium
RING-039,109.23381402,-0.44291525,5.0,5,4,1,0.3038,6.38,8.212,Medium
RING-058,109.23536413,-0.44574147,5.0,5,4,1,0.319,5.96,8.06,Medium
RING-047,109.23526792,-0.44540116,5.0,5,4,1,0.3202,6.57,8.048,Medium
RING-073,109.23494414,-0.4421362,5.0,5,4,1,0.3272,4.86,7.978,Medium
RING-045,109.23420305,-0.44375327,5.0,5,4,1,0.3458,6.36,7.792,Medium
RING-064,109.2349874,-0.44306226,5.0,4,4,0,0.2868,7.22,7.533,Medium
RING-068,109.2355887,-0.44630126,5.0,4,4,0,0.3,6.08,7.4,Medium
RING-002,109.23450997,-0.4444655,5.0,4,4,0,0.3078,17.05,7.323,Medium
RING-019,109.23575174,-0.44769381,5.0,4,4,0,0.3197,11.67,7.203,Medium
RING-061,109.2352825,-0.44204917,5.0,4,4,0,0.3367,8.33,7.033,Medium
RING-053,109.23509962,-0.44569232,5.0,4,4,0,0.3367,9.41,7.033,Medium
RING-034,109.23492103,-0.44122617,5.0,4,4,0,0.341,10.3,6.99,Low
RING-028,109.23502686,-0.44286411,5.0,4,4,0,0.3453,10.62,6.948,Low
RING-011,109.23373973,-0.44249948,5.0,4,4,0,0.3485,10.95,6.915,Low
RING-069,109.23468381,-0.44719629,5.0,4,4,0,0.3488,6.28,6.913,Low
RING-026,109.23563335,-0.44693971,5.0,4,4,0,0.3503,8.51,6.897,Low
RING-059,109.23446457,-0.44556873,5.0,4,4,0,0.3552,8.61,6.848,Low
RING-052,109.23571149,-0.44885333,5.0,4,3,1,0.319,6.96,6.46,Low
RING-021,109.23370964,-0.44199397,5.0,4,3,1,0.3205,8.13,6.445,Low
RING-042,109.23415723,-0.44565976,5.0,4,3,1,0.339,6.01,6.26,Low
RING-020,109.23375091,-0.44029356,5.0,4,3,1,0.3485,8.73,6.165,Low
RING-012,109.23524486,-0.44023729,5.0,4,2,2,0.2945,6.95,5.955,Low
RING-056,109.23538214,-0.44390945,5.0,3,3,0,0.311,6.03,5.69,Low
RING-008,109.23509519,-0.4449549,5.0,3,3,0,0.3143,9.95,5.657,Low
RING-014,109.23549674,-0.44105988,5.0,3,3,0,0.315,10.88,5.65,Low
RING-035,109.23566043,-0.44019059,5.0,4,1,3,0.256,3.68,5.59,Low
RING-016,109.23370975,-0.44873876,5.0,3,3,0,0.3243,10.99,5.557,Low
RING-022,109.23528663,-0.44324778,5.0,3,3,0,0.3243,11.07,5.557,Low
RING-055,109.23490158,-0.44636541,5.0,3,3,0,0.3293,7.75,5.507,Low
RING-054,109.23498853,-0.44522722,5.0,3,3,0,0.3307,8.11,5.493,Low
RING-040,109.23449547,-0.44735748,5.0,3,3,0,0.333,8.74,5.47,Low
RING-033,109.23536023,-0.44412241,5.0,3,3,0,0.3357,9.08,5.443,Low
RING-023,109.23556899,-0.44134144,5.0,3,3,0,0.3383,10.44,5.417,Low
RING-029,109.23424347,-0.44625628,5.0,3,3,0,0.3397,8.31,5.403,Low
RING-006,109.23405949,-0.44870583,5.0,3,3,0,0.3407,13.27,5.393,Low
RING-041,109.23530595,-0.44825655,5.0,3,3,0,0.343,9.04,5.37,Low
RING-067,109.23376965,-0.44745843,5.0,3,3,0,0.347,6.23,5.33,Low
RING-010,109.23371071,-0.44601169,5.0,3,3,0,0.3477,11.74,5.323,Low
RING-003,109.23408215,-0.44470025,5.0,3,3,0,0.3483,15.59,5.317,Low
RING-024,109.23425518,-0.44799314,5.0,3,3,0,0.3487,11.51,5.313,Low
RING-063,109.23393753,-0.44720226,5.0,3,3,0,0.349,8.85,5.31,Low
RING-038,109.23481829,-0.44278075,5.0,3,3,0,0.3497,9.93,5.303,Low
RING-049,109.23426158,-0.44059644,5.0,3,3,0,0.35,8.0,5.3,Low
RING-046,109.23529787,-0.44066827,5.0,3,3,0,0.351,9.41,5.29,Low
RING-007,109.23416983,-0.44494518,5.0,3,3,0,0.3533,13.11,5.267,Low
RING-013,109.23496036,-0.44910108,5.0,3,3,0,0.355,12.28,5.25,Low
RING-032,109.23446542,-0.44276831,5.0,3,3,0,0.3553,10.56,5.247,Low
RING-066,109.23569188,-0.44712039,5.0,3,3,0,0.3553,6.86,5.247,Low
RING-031,109.23416491,-0.44674338,5.0,3,3,0,0.3587,9.63,5.213,Low
RING-025,109.23414043,-0.4420145,5.0,3,3,0,0.362,11.28,5.18,Low
RING-044,109.23411875,-0.44313793,5.0,3,3,0,0.364,6.59,5.16,Low
RING-072,109.23494305,-0.44382901,5.0,3,2,1,0.353,4.94,4.52,Low
RING-037,109.23488398,-0.44545568,5.0,3,2,1,0.357,7.6,4.48,Low
RING-074,109.23462458,-0.44650347,5.0,4,1,3,0.3855,3.42,4.295,Low
RING-070,109.23448239,-0.4475947,5.0,3,2,1,0.3943,5.03,4.107,Low
