DIVISI,BLOK_B,Blok,T_TANAM,N_BARIS,N_POKOK,OBJECTID,NDRE125,KlassNDRE12025,NDRE2_26,KLASSNDRE2_26,Ket,Longitude_SR,Latitude_SR,Drone_TreeID,Drone_Lon,Drone_Lat,Drone_Height_m,NDRE_Drone_Rel,NDRE_Drone_Abs,HS_Drone_Rel,HS_Drone_Abs
AME II,D010A,D10,2009,1,1,288614,0.4088651442003094,Stres Sedang,0.41697741935714483,Stres Sedang,Pokok Utama,109.23371561219676,-0.4490466983856586,791,109.23368573,-0.44904274,10.49,0.48,0.48,Healthy,Good
AME II,D010A,D10,2009,1,2,288602,0.3806818029785939,Stres Berat,0.38861842459882967,Stres Berat,Pokok Utama,109.23380211515665,-0.44907941885244756,67,109.23379665,-0.44908346,16.85,0.433,0.433,Healthy,Moderate
AME II,D010A,D10,2009,1,3,288601,0.38077902412786674,Stres Berat,0.39569822293038964,Stres Berat,Pokok Utama,109.23389148007118,-0.4490744958926287,7,109.23388693,-0.44908123,19.69,0.43,0.43,Healthy,Moderate
AME II,D010A,D10,2009,1,4,288591,0.42194913160947706,Stres Sedang,0.43719202527560014,Stres Sedang,Pokok Utama,109.23398116208007,-0.44906957300835665,110,109.23399787,-0.44905051,15.49,0.43,0.43,Healthy,Moderate
AME II,D010A,D10,2009,1,5,288590,0.48209212893037007,Stres Sedang,0.428029013713079,Stres Sedang,Pokok Utama,109.2340842156394,-0.449080196454196,117,109.23407781,-0.44908127,15.13,0.498,0.498,Healthy,Good
AME II,D010A,D10,2009,1,6,288589,0.4989515834363674,Stres Sedang,0.45708597996423467,Stres Sedang,Pokok Utama,109.23411036643277,-0.449049076868485,98,109.23411421,-0.44903109,15.86,0.418,0.418,Healthy,Sub-Optimal
AME II,D010A,D10,2009,1,8,288578,0.4682443246910651,Stres Sedang,0.44614105429380463,Stres Sedang,Pokok Utama,109.23426864204652,-0.44907907748520254,74,109.23426914,-0.44910709,16.64,0.473,0.473,Healthy,Good
AME II,D010A,D10,2009,1,9,288571,0.4351107375507485,Stres Sedang,0.44167868324271614,Stres Sedang,Pokok Utama,109.23433835807111,-0.44907829775596153,119,109.2343154,-0.44910575,14.9,0.4,0.4,Healthy,Sub-Optimal
AME II,D010A,D10,2009,1,10,288563,0.4188636340482286,Stres Sedang,0.4183978737223368,Stres Sedang,Pokok Utama,109.23440341491488,-0.4490843497717767,201,109.23441782,-0.4490583,13.28,0.414,0.414,Healthy,Sub-Optimal
AME II,D010A,D10,2009,1,11,288564,0.40223799025529183,Stres Sedang,0.3922303573694937,Stres Berat,Pokok Utama,109.2345107508066,-0.4490977079507423,9,109.23448428,-0.4490972,19.6,0.434,0.434,Healthy,Moderate
AME II,D010A,D10,2009,1,13,288543,0.4143559922434889,Stres Sedang,0.3858897433845197,Stres Berat,Pokok Utama,109.23474842336483,-0.44907750765624205,767,109.23473625,-0.44905837,10.58,0.431,0.431,Healthy,Moderate
AME II,D010A,D10,2009,1,14,288534,0.4093215562737785,Stres Sedang,0.38423381033607296,Stres Berat,Pokok Utama,109.23484768776383,-0.4490893365090385,405,109.23486964,-0.4490679,11.83,0.503,0.503,Healthy,Good
AME II,D010A,D10,2009,1,15,288522,0.385101051784627,Stres Berat,0.3698048733494764,Stres Berat,Pokok Utama,109.23491859079056,-0.44909453719025033,287,109.23493656,-0.44910409,12.51,0.43,0.43,Healthy,Moderate
AME II,D010A,D10,2009,1,17,288506,0.4047659854105065,Stres Sedang,0.42841657833801994,Stres Sedang,Pokok Utama,109.23512028973822,-0.44910272040068727,45,109.23513911,-0.44912313,17.85,0.384,0.384,Healthy,Critical
AME II,D010A,D10,2009,1,19,288483,0.41588648103038817,Stres Sedang,0.39525170332533033,Stres Berat,Pokok Utama,109.2354208561017,-0.4491264806802917,196,109.23540186,-0.44912907,13.32,0.377,0.377,Suspect,Critical
