Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Ring_ID,Distance_to_Center_m,Ring_Radius_m
4,109.23388693,-0.44908123,19.69,0.364,TM,Suspect,Circle_5m,D010A,0.4255428314208984,Abnormal,Sub-Optimal,Monitor,D10,RING-001,19.902,5.0
47,109.23397945,-0.44909933,15.99,0.333,TM,Suspect,Circle_5m,D010A,0.396335244178772,Abnormal,Sub-Optimal,Monitor,D10,RING-001,10.064,5.0
62,109.2340163,-0.44901705,15.24,0.296,TM,Suspect,Circle_5m,D010A,0.3685128390789032,Suspect,Critical,Priority Survey,D10,RING-001,8.11,5.0
53,109.23411421,-0.44903109,15.86,0.351,TM,Suspect,Circle_5m,D010A,0.4135076999664306,Abnormal,Sub-Optimal,Monitor,D10,RING-001,7.011,5.0
31,109.23421885,-0.4490284,17.13,0.366,TM,Suspect,Circle_5m,D010A,0.4261933267116546,Abnormal,Sub-Optimal,Monitor,D10,RING-001,17.721,5.0
41,109.23426914,-0.44910709,16.64,0.359,TM,Suspect,Circle_5m,D010A,0.3965404033660888,Abnormal,Sub-Optimal,Monitor,D10,RING-001,23.019,5.0
58,109.23419368,-0.44910617,15.59,0.301,TM,Suspect,Circle_5m,D010A,0.3658505976200104,Suspect,Critical,Priority Survey,D10,RING-001,14.789,5.0
34,109.23409397,-0.4491387,17.03,0.376,TM,Suspect,Circle_5m,D010A,0.4460673034191131,Normal,Moderate,Routine,D10,RING-001,8.107,5.0
49,109.23381643,-0.44903192,15.95,0.297,TM,Suspect,Circle_5m,D010A,0.3438244163990021,Suspect,Critical,Priority Survey,D10,RING-001,28.057,5.0
7,109.23441892,-0.44443643,19.38,0.292,TM,Suspect,Circle_5m,D010A,0.3482896685600281,Suspect,Critical,Priority Survey,D10,RING-002,10.633,5.0
43,109.23451594,-0.44442062,16.48,0.319,TM,Suspect,Circle_5m,D010A,0.3882954716682434,Suspect,Critical,Priority Survey,D10,RING-002,5.005,5.0
50,109.23459317,-0.44447174,15.93,0.336,TM,Suspect,Circle_5m,D010A,0.3952541947364807,Abnormal,Sub-Optimal,Monitor,D10,RING-002,9.287,5.0
45,109.23451187,-0.44453321,16.39,0.284,TM,Suspect,Circle_5m,D010A,0.3209181129932403,Suspect,Critical,Priority Survey,D10,RING-002,7.488,5.0
20,109.23406583,-0.44470311,18.36,0.308,TM,Suspect,Circle_5m,D010A,0.3776382803916931,Suspect,Critical,Priority Survey,D10,RING-003,1.844,5.0
57,109.23404609,-0.4446285,15.72,0.362,TM,Suspect,Circle_5m,D010A,0.4310008287429809,Normal,Moderate,Routine,D10,RING-003,8.889,5.0
169,109.23413454,-0.44476914,12.69,0.375,TM,Suspect,Circle_5m,D010A,0.4415657818317413,Normal,Moderate,Routine,D10,RING-003,9.591,5.0
36,109.23540408,-0.4492091,16.73,0.364,TM,Suspect,Circle_5m,D010A,0.4345654547214508,Normal,Moderate,Routine,D10,RING-004,7.33,5.0
124,109.23540186,-0.44912907,13.32,0.298,TM,Suspect,Circle_5m,D010A,0.3773221671581268,Suspect,Critical,Priority Survey,D10,RING-004,5.838,5.0
339,109.23543376,-0.4490599,11.32,0.349,TM,Suspect,Circle_5m,D010A,0.4219078719615936,Abnormal,Sub-Optimal,Monitor,D10,RING-004,13.832,5.0
1087,109.23531335,-0.44923576,6.68,0.245,TM,Suspect,Circle_5m,D010A,0.3203325867652893,Suspect,Critical,Priority Survey,D10,RING-004,9.803,5.0
266,109.23524465,-0.44916746,11.76,0.32,TM,Suspect,Circle_5m,D010A,0.3940026462078094,Abnormal,Sub-Optimal,Monitor,D10,RING-004,12.814,5.0
56,109.23437693,-0.44913199,15.81,0.308,TM,Suspect,Circle_5m,D010A,0.3771680891513824,Suspect,Critical,Priority Survey,D10,RING-005,17.546,5.0
126,109.23441782,-0.4490583,13.28,0.356,TM,Suspect,Circle_5m,D010A,0.4211986362934112,Abnormal,Sub-Optimal,Monitor,D10,RING-005,9.092,5.0
443,109.23441425,-0.44895566,10.73,0.328,TM,Suspect,Circle_5m,D010A,0.3913276493549347,Abnormal,Sub-Optimal,Monitor,D10,RING-005,2.386,5.0
64,109.23445469,-0.44885574,14.86,0.38,TM,Suspect,Circle_5m,D010A,0.4710622429847717,Healthy,Good,,D10,RING-005,14.295,5.0
358,109.23438058,-0.44888104,11.18,0.321,TM,Suspect,Circle_5m,D010A,0.3705600202083587,Suspect,Critical,Priority Survey,D10,RING-005,11.016,5.0
75,109.23398628,-0.44868517,14.4,0.365,TM,Suspect,Circle_5m,D010A,0.436690479516983,Normal,Moderate,Routine,D10,RING-006,8.463,5.0
293,109.23407881,-0.44867027,11.61,0.354,TM,Suspect,Circle_5m,D010A,0.4121213257312774,Abnormal,Sub-Optimal,Monitor,D10,RING-006,4.481,5.0
100,109.23411337,-0.44876206,13.8,0.303,TM,Suspect,Circle_5m,D010A,0.3644866943359375,Suspect,Critical,Priority Survey,D10,RING-006,8.638,5.0
80,109.23416009,-0.4449708,14.32,0.362,TM,Suspect,Circle_5m,D010A,0.4284093379974365,Abnormal,Sub-Optimal,Monitor,D10,RING-007,3.032,5.0
192,109.23425441,-0.44496811,12.43,0.359,TM,Suspect,Circle_5m,D010A,0.4233056306838989,Abnormal,Sub-Optimal,Monitor,D10,RING-007,9.751,5.0
178,109.23409498,-0.44489664,12.58,0.339,TM,Suspect,Circle_5m,D010A,0.407766193151474,Abnormal,Sub-Optimal,Monitor,D10,RING-007,9.91,5.0
102,109.23509744,-0.44496018,13.74,0.31,TM,Suspect,Circle_5m,D010A,0.3834277987480163,Suspect,Critical,Priority Survey,D10,RING-008,0.635,5.0
1198,109.23516033,-0.44489328,5.15,0.315,TM,Suspect,Circle_5m,D010A,0.3802985548973083,Suspect,Critical,Priority Survey,D10,RING-008,9.949,5.0
