Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-016,109.2357173,-0.44557887,5.0,11,3,8,0.3942,7.5,11.658,Medium
RING-052,109.23523087,-0.44737915,5.0,8,4,4,0.3858,5.1,9.942,Medium
RING-001,109.23406187,-0.44906278,5.0,8,3,5,0.392,16.51,9.13,Medium
RING-008,109.23374926,-0.44706732,5.0,5,4,1,0.3693,11.22,7.557,Medium
RING-046,109.2349874,-0.44306226,5.0,4,4,0,0.3515,7.22,6.885,Low
RING-024,109.23381402,-0.44291525,5.0,5,3,2,0.3717,6.38,6.783,Low
RING-038,109.23570826,-0.44824994,5.0,4,4,0,0.3686,8.26,6.714,Low
RING-002,109.23450997,-0.4444655,5.0,4,3,1,0.3632,17.05,6.018,Low
RING-050,109.2355887,-0.44630126,5.0,4,3,1,0.3685,6.08,5.965,Low
RING-011,109.23542431,-0.44309686,5.0,5,2,3,0.3825,7.88,5.925,Low
RING-018,109.23454095,-0.44309772,5.0,6,1,5,0.3956,9.72,5.894,Low
RING-055,109.23569188,-0.44015834,5.0,3,3,0,0.2918,1.18,5.882,Low
RING-028,109.23526792,-0.44540116,5.0,5,2,3,0.3885,6.57,5.865,Low
RING-053,109.23494414,-0.4421362,5.0,5,2,3,0.389,4.86,5.86,Low
RING-036,109.23485267,-0.44238724,5.0,6,1,5,0.4013,7.05,5.85,Low
RING-035,109.23536413,-0.44574147,5.0,5,2,3,0.3904,5.96,5.846,Low
RING-048,109.23495614,-0.44749806,5.0,4,3,1,0.386,4.99,5.79,Low
RING-034,109.2351773,-0.44673443,5.0,4,3,1,0.3863,8.64,5.787,Low
RING-042,109.2341422,-0.44729394,5.0,5,2,3,0.4004,6.88,5.75,Low
RING-041,109.23568229,-0.44888826,5.0,4,2,2,0.3821,5.31,5.079,Low
RING-012,109.2357061,-0.44083862,5.0,5,1,4,0.3929,9.77,5.071,Low
RING-013,109.23575174,-0.44769381,5.0,4,2,2,0.3875,11.67,5.025,Low
RING-003,109.2343974,-0.44900675,5.0,4,2,2,0.3901,12.75,4.999,Low
RING-005,109.23509519,-0.4449549,5.0,3,3,0,0.3833,9.95,4.967,Low
RING-031,109.23509962,-0.44569232,5.0,4,2,2,0.3994,9.41,4.906,Low
RING-025,109.23527612,-0.44020798,5.0,3,2,1,0.3365,4.91,4.685,Low
RING-029,109.23460771,-0.44818931,5.0,3,2,1,0.3783,8.17,4.267,Low
RING-040,109.23528249,-0.44204917,5.0,4,1,3,0.4048,8.33,4.15,Low
RING-033,109.23538214,-0.44390945,5.0,3,1,2,0.3785,6.03,3.515,Low
RING-014,109.23528663,-0.44324778,5.0,3,1,2,0.3793,11.07,3.507,Low
RING-044,109.2337281,-0.44840895,5.0,4,0,4,0.403,8.07,3.4,Low
RING-009,109.23370975,-0.44873876,5.0,3,1,2,0.3916,10.99,3.384,Low
RING-017,109.23424347,-0.44625628,5.0,3,1,2,0.3951,8.31,3.349,Low
RING-022,109.23492482,-0.4411975,5.0,3,1,2,0.3956,10.29,3.344,Low
RING-030,109.23427676,-0.44540897,5.0,3,1,2,0.3965,6.29,3.335,Low
RING-032,109.23498853,-0.44522722,5.0,3,1,2,0.397,8.11,3.33,Low
RING-007,109.23465217,-0.44884087,5.0,3,1,2,0.398,11.05,3.32,Low
RING-054,109.23417085,-0.44566923,5.0,3,1,2,0.3986,4.51,3.314,Low
RING-010,109.23490227,-0.44345628,5.0,3,1,2,0.4021,11.99,3.3,Low
RING-027,109.23560039,-0.44657598,5.0,3,1,2,0.4001,8.26,3.3,Low
RING-039,109.23450048,-0.44835718,5.0,3,1,2,0.4061,4.85,3.3,Low
RING-051,109.23468954,-0.44717471,5.0,3,1,2,0.4022,5.91,3.3,Low
RING-026,109.23449547,-0.44735748,5.0,3,1,2,0.4027,8.74,3.3,Low
RING-015,109.23425518,-0.44799314,5.0,3,0,3,0.4073,11.51,2.55,Low
RING-006,109.23371071,-0.44601169,5.0,3,0,3,0.4145,11.74,2.55,Low
RING-004,109.23416983,-0.44494518,5.0,3,0,3,0.4198,13.11,2.55,Low
RING-019,109.23416491,-0.44674338,5.0,3,0,3,0.4143,9.63,2.55,Low
RING-023,109.23488398,-0.44545568,5.0,3,0,3,0.4163,7.6,2.55,Low
RING-021,109.23536023,-0.44412241,5.0,3,0,3,0.4034,9.08,2.55,Low
RING-020,109.23446542,-0.44276831,5.0,3,0,3,0.4245,10.56,2.55,Low
RING-037,109.23443541,-0.44557615,5.0,3,0,3,0.4111,8.7,2.55,Low
RING-047,109.23569188,-0.44712039,5.0,3,0,3,0.4188,6.86,2.55,Low
RING-045,109.23506115,-0.443946,5.0,3,0,3,0.4106,6.75,2.55,Low
RING-043,109.23393753,-0.44720226,5.0,3,0,3,0.4143,8.85,2.55,Low
RING-049,109.23376965,-0.44745843,5.0,3,0,3,0.4137,6.23,2.55,Low
