Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-025,109.23524188,-0.44634407,5.0,129,1,128,0.37,0.0,99.8,High
RING-031,109.23523661,-0.44537676,5.0,68,1,67,0.373,0.0,54.02,High
RING-019,109.23543935,-0.44728198,5.0,42,2,40,0.3704,0.0,35.296,High
RING-010,109.23504892,-0.44824339,5.0,32,1,31,0.3735,0.0,27.015,High
RING-041,109.23532112,-0.44363322,5.0,19,0,19,0.3864,0.0,16.286,High
RING-048,109.23545351,-0.44301139,5.0,15,0,15,0.3779,0.0,12.971,High
RING-001,109.23464969,-0.44899456,5.0,14,0,14,0.3805,0.0,12.095,High
RING-046,109.23439113,-0.44302743,5.0,11,1,10,0.3661,0.0,10.439,Medium
RING-012,109.23573506,-0.44826262,5.0,12,0,12,0.3763,0.0,10.437,Medium
RING-035,109.23570589,-0.44518279,5.0,11,0,11,0.3691,0.0,9.659,Medium
RING-033,109.23452979,-0.44552635,5.0,11,0,11,0.3728,0.0,9.622,Medium
RING-015,109.23571395,-0.44777855,5.0,10,0,10,0.3833,0.0,8.667,Medium
RING-014,109.23497503,-0.44791255,5.0,10,0,10,0.3876,0.0,8.624,Medium
RING-051,109.23494297,-0.4426893,5.0,9,0,9,0.3677,0.0,7.973,Medium
RING-036,109.23458736,-0.4451562,5.0,9,0,9,0.3798,0.0,7.852,Medium
RING-042,109.23571965,-0.44384826,5.0,8,0,8,0.3625,0.0,7.175,Medium
RING-053,109.23459615,-0.4426295,5.0,8,0,8,0.3797,0.0,7.003,Medium
RING-034,109.23419279,-0.44525397,5.0,7,0,7,0.3712,0.0,6.238,Low
RING-004,109.23375919,-0.44880899,5.0,7,0,7,0.3791,0.0,6.159,Low
RING-006,109.23456927,-0.44868952,5.0,5,1,4,0.3589,0.0,5.411,Low
RING-030,109.23374806,-0.4457017,5.0,6,0,6,0.3745,0.0,5.355,Low
RING-028,109.23448592,-0.44605675,5.0,6,0,6,0.3775,0.0,5.325,Low
RING-060,109.23571035,-0.44048864,5.0,6,0,6,0.3787,0.0,5.313,Low
RING-011,109.2338464,-0.44829076,5.0,6,0,6,0.381,0.0,5.29,Low
RING-021,109.23496657,-0.44705681,5.0,6,0,6,0.3816,0.0,5.284,Low
RING-038,109.23381355,-0.44473154,5.0,4,1,3,0.3444,0.0,4.706,Low
RING-016,109.23371996,-0.4477116,5.0,4,1,3,0.3575,0.0,4.575,Low
RING-022,109.23379843,-0.44691539,5.0,5,0,5,0.369,0.0,4.56,Low
RING-057,109.23500904,-0.44206734,5.0,5,0,5,0.3745,0.0,4.505,Low
RING-044,109.23384538,-0.44358115,5.0,4,1,3,0.3652,0.0,4.498,Low
RING-029,109.23422758,-0.44572965,5.0,5,0,5,0.3862,0.0,4.388,Low
RING-005,109.23529649,-0.44878775,5.0,5,0,5,0.3875,0.0,4.375,Low
RING-040,109.23456184,-0.44437411,5.0,5,0,5,0.3943,0.0,4.307,Low
RING-050,109.23384053,-0.4428774,5.0,3,1,2,0.3336,0.0,3.964,Low
RING-008,109.23545249,-0.4486793,5.0,4,0,4,0.3553,0.0,3.847,Low
RING-061,109.23415964,-0.44042956,5.0,3,1,2,0.353,0.0,3.77,Low
RING-024,109.23574393,-0.44687189,5.0,4,0,4,0.3682,0.0,3.718,Low
RING-032,109.23573446,-0.44566763,5.0,4,0,4,0.3694,0.0,3.706,Low
RING-059,109.23462326,-0.44164989,5.0,4,0,4,0.3821,0.0,3.579,Low
RING-009,109.23506962,-0.44852909,5.0,4,0,4,0.3845,0.0,3.555,Low
RING-049,109.23416143,-0.44297997,5.0,4,0,4,0.3861,0.0,3.539,Low
RING-002,109.23532945,-0.44905457,5.0,4,0,4,0.3906,0.0,3.494,Low
RING-043,109.23422479,-0.44381344,5.0,4,0,4,0.3916,0.0,3.484,Low
RING-003,109.23576657,-0.44903128,5.0,4,0,4,0.3928,0.0,3.472,Low
RING-055,109.23572563,-0.44226799,5.0,4,0,4,0.3945,0.0,3.455,Low
RING-054,109.23512729,-0.44248494,5.0,3,0,3,0.3595,0.0,2.955,Low
RING-007,109.23492147,-0.44870272,5.0,3,0,3,0.3608,0.0,2.942,Low
RING-037,109.23401723,-0.44488405,5.0,3,0,3,0.365,0.0,2.9,Low
RING-013,109.23557626,-0.4481154,5.0,3,0,3,0.3701,0.0,2.849,Low
RING-058,109.23416955,-0.44171054,5.0,3,0,3,0.3738,0.0,2.812,Low
RING-039,109.23563112,-0.44445576,5.0,3,0,3,0.3753,0.0,2.797,Low
RING-020,109.23371796,-0.44720499,5.0,3,0,3,0.3798,0.0,2.752,Low
RING-056,109.23412967,-0.44204349,5.0,3,0,3,0.3818,0.0,2.732,Low
RING-052,109.23571807,-0.44276973,5.0,3,0,3,0.3831,0.0,2.719,Low
RING-017,109.23526519,-0.44777084,5.0,3,0,3,0.3832,0.0,2.718,Low
RING-045,109.23573668,-0.44342481,5.0,3,0,3,0.3836,0.0,2.714,Low
RING-026,109.23415136,-0.44667586,5.0,3,0,3,0.3879,0.0,2.671,Low
RING-027,109.23422669,-0.44612154,5.0,3,0,3,0.3899,0.0,2.651,Low
RING-047,109.23491791,-0.44319369,5.0,3,0,3,0.3904,0.0,2.646,Low
RING-023,109.23480989,-0.4469568,5.0,3,0,3,0.3918,0.0,2.632,Low
RING-018,109.23494548,-0.44748918,5.0,3,0,3,0.3939,0.0,2.611,Low
