Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Height_Class,Health_Status,Health_Label,Action,Block_Name,Classification_Abs,Health_Status_Abs,Action_Abs,Was_Reclassified
86,109.22261816805351,-0.4429294201218537,70.22,0.5280792713165283,1.0,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C12,Healthy,Good,None,False
23,109.222852615375,-0.442260721276917,35.93,0.4346689581871032,0.5218,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C12,Normal,Moderate,Routine,False
355,109.22300441484258,-0.4447823326009955,20.59,0.512732207775116,0.9627,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C12,Healthy,Good,None,False
332,109.22827252002676,-0.4446782557862626,20.28,0.3764586448669433,0.1957,TM,TM_Dewasa,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C12,Suspect,Critical,Priority Survey,False
25,109.22252961082604,-0.4422835459734576,18.66,0.4915384948253631,0.8426,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C12,Healthy,Good,None,False
126,109.22715144080632,-0.443324438868309,17.98,0.5002410411834717,0.8919,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C12,Healthy,Good,None,False
1328,109.22714916833824,-0.4433152772653324,17.89,0.4780411422252655,0.7663,TM,TM_Muda,Healthy,Sehat (Hijau),Rutin,AMEIV_C12,Healthy,Good,None,False
60,109.22231797867713,-0.4426636777213864,17.3,0.5222810506820679,1.0,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C12,Healthy,Good,None,False
1,109.22653301441687,-0.4421562556062502,15.47,0.4740865528583526,0.7439,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C12,Healthy,Good,None,False
214,109.22900284567052,-0.443993642696638,13.96,0.3920337855815887,0.2828,TM,TM_Dewasa,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C12,Abnormal,Sub-Optimal,Monitor,False
143,109.23011982214496,-0.44347631158593,13.17,0.4054337441921234,0.3578,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C12,Abnormal,Sub-Optimal,Monitor,False
394,109.22708510706626,-0.4448726411312738,11.53,0.397129476070404,0.3113,TM,TM_Dewasa,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C12,Abnormal,Sub-Optimal,Monitor,False
284,109.22225158661738,-0.4444546431902231,11.16,0.3669416904449463,0.1426,TM,TM_Dewasa,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C12,Suspect,Critical,Priority Survey,False
369,109.22833162813345,-0.4448156859856261,10.36,0.4268005788326263,0.4776,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C12,Abnormal,Sub-Optimal,Monitor,False
2609,109.22836801924494,-0.4448294363746277,10.35,0.4238001108169555,0.4608,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C12,Abnormal,Sub-Optimal,Monitor,False
118,109.23022679438816,-0.4432083760313776,10.32,0.4029651880264282,0.3439,TM,TM_Dewasa,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C12,Abnormal,Sub-Optimal,Monitor,False
385,109.2270145979072,-0.4448520116990928,10.27,0.5140620470046997,0.9702,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C12,Healthy,Good,None,False
383,109.2264482112662,-0.4448495843799744,10.23,0.5086662173271179,0.9396,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C12,Healthy,Good,None,False
406,109.2230112102758,-0.4449014276962131,10.13,0.5279558897018433,1.0,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C12,Healthy,Good,None,False
2621,109.22653465113522,-0.4448358637217038,9.71,0.4148291945457458,0.4104,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C12,Abnormal,Sub-Optimal,Monitor,False
