Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-003,109.23329586,-0.43924905,5.0,15,2,13,0.3507,0.0,14.743,High
RING-001,109.23157855,-0.43953137,5.0,15,0,15,0.3459,0.0,13.291,High
RING-025,109.23325241,-0.43743379,5.0,14,0,14,0.3603,0.0,12.297,High
RING-024,109.23181307,-0.43755593,5.0,11,2,9,0.3395,0.0,11.455,Medium
RING-027,109.23284924,-0.43711392,5.0,13,0,13,0.3601,0.0,11.449,Medium
RING-037,109.23335607,-0.4360317,5.0,11,1,10,0.3417,0.0,10.683,Medium
RING-012,109.2332911,-0.4387233,5.0,9,3,6,0.3414,0.0,10.486,Medium
RING-042,109.23166603,-0.43554454,5.0,11,0,11,0.344,0.0,9.91,Medium
RING-014,109.23166972,-0.43828371,5.0,10,0,10,0.3447,0.0,9.053,Medium
RING-033,109.23179367,-0.43681478,5.0,10,0,10,0.3469,0.0,9.031,Medium
RING-041,109.23340716,-0.43559914,5.0,9,1,8,0.3396,0.0,9.004,Medium
RING-011,109.23251886,-0.4387335,5.0,9,0,9,0.3521,0.0,8.129,Medium
RING-015,109.23268226,-0.43829571,5.0,8,0,8,0.3283,0.0,7.517,Medium
RING-034,109.23328654,-0.43672561,5.0,8,0,8,0.336,0.0,7.44,Medium
RING-023,109.23255367,-0.43769908,5.0,8,0,8,0.3445,0.0,7.355,Medium
RING-008,109.23181266,-0.43889039,5.0,8,0,8,0.361,0.0,7.19,Medium
RING-022,109.23313154,-0.43784632,5.0,8,0,8,0.3614,0.0,7.186,Medium
RING-039,109.23205771,-0.43571955,5.0,8,0,8,0.3792,0.0,7.008,Medium
RING-028,109.23209235,-0.43721724,5.0,7,0,7,0.3563,0.0,6.387,Low
RING-029,109.23172643,-0.43709681,5.0,7,0,7,0.3697,0.0,6.253,Low
RING-010,109.23305401,-0.43878229,5.0,6,0,6,0.3431,0.0,5.669,Low
RING-053,109.23214255,-0.43172941,5.0,6,0,6,0.3536,0.0,5.564,Low
RING-017,109.23214995,-0.43805703,5.0,6,0,6,0.3659,0.0,5.441,Low
RING-035,109.23205397,-0.43647502,5.0,5,0,5,0.3417,0.0,4.833,Low
RING-019,109.23241987,-0.43805711,5.0,5,0,5,0.3529,0.0,4.721,Low
RING-002,109.23326252,-0.43963026,5.0,3,1,2,0.3202,0.0,4.098,Low
RING-031,109.23226525,-0.43693868,5.0,4,0,4,0.3375,0.0,4.025,Low
RING-026,109.23238864,-0.4374701,5.0,4,0,4,0.3387,0.0,4.013,Low
RING-009,109.23221037,-0.43890519,5.0,4,0,4,0.3395,0.0,4.005,Low
RING-050,109.23176831,-0.43444047,5.0,4,0,4,0.3465,0.0,3.935,Low
RING-018,109.23289763,-0.43808998,5.0,4,0,4,0.3487,0.0,3.913,Low
RING-045,109.23317592,-0.43556022,5.0,4,0,4,0.3488,0.0,3.912,Low
RING-006,109.2316049,-0.43920134,5.0,4,0,4,0.3524,0.0,3.876,Low
RING-005,109.23256925,-0.43932604,5.0,4,0,4,0.358,0.0,3.82,Low
RING-007,109.2326539,-0.43905603,5.0,4,0,4,0.3615,0.0,3.785,Low
RING-016,109.23296522,-0.43843002,5.0,4,0,4,0.3617,0.0,3.783,Low
RING-051,109.23165451,-0.43398,5.0,4,0,4,0.3869,0.0,3.531,Low
RING-038,109.23174691,-0.43591924,5.0,3,0,3,0.3264,0.0,3.286,Low
RING-032,109.23305386,-0.43689221,5.0,3,0,3,0.3267,0.0,3.283,Low
RING-030,109.23344148,-0.43695851,5.0,3,0,3,0.3435,0.0,3.115,Low
RING-044,109.23289398,-0.43559971,5.0,3,0,3,0.3454,0.0,3.096,Low
RING-036,109.23238478,-0.43646176,5.0,3,0,3,0.3501,0.0,3.049,Low
RING-046,109.23224706,-0.43543878,5.0,3,0,3,0.3511,0.0,3.039,Low
RING-043,109.23235802,-0.43560499,5.0,3,0,3,0.3548,0.0,3.002,Low
RING-021,109.23159392,-0.43789356,5.0,3,0,3,0.3586,0.0,2.964,Low
RING-040,109.23150086,-0.43583372,5.0,3,0,3,0.3698,0.0,2.852,Low
RING-047,109.23205057,-0.43516181,5.0,3,0,3,0.3729,0.0,2.821,Low
RING-020,109.23140951,-0.43800914,5.0,3,0,3,0.3744,0.0,2.806,Low
RING-048,109.23221529,-0.43507061,5.0,3,0,3,0.3765,0.0,2.785,Low
RING-013,109.23158686,-0.43869777,5.0,3,0,3,0.3816,0.0,2.734,Low
RING-049,109.23137406,-0.434581,5.0,3,0,3,0.3829,0.0,2.721,Low
RING-004,109.23291791,-0.43937456,5.0,3,0,3,0.3908,0.0,2.642,Low
RING-052,109.23151918,-0.43368082,5.0,3,0,3,0.3968,0.0,2.582,Low
