Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy
1,109.23134456,-0.43617288,18.23,0.3286572396755218,Suspect,Suspect,Priority Survey,D005A,0.3286572396755218,Suspect,Critical,Priority Survey,D05
2,109.2314843,-0.43592468,13.34,0.5132052302360535,Healthy,Healthy,,D005A,0.5132052302360535,Healthy,Good,,D05
3,109.23244832,-0.43898686,13.24,0.375503659248352,Suspect,Suspect,Priority Survey,D005A,0.375503659248352,Suspect,Critical,Priority Survey,D05
4,109.23290671,-0.43395591,13.02,0.505087673664093,Healthy,Healthy,,D005A,0.505087673664093,Healthy,Good,,D05
5,109.23353208,-0.43323217,12.9,0.4175380766391754,Abnormal,Abnormal,Monitor,D005A,0.4175380766391754,Abnormal,Sub-Optimal,Monitor,D05
6,109.23184327,-0.43735582,12.07,0.4568820595741272,Normal,Normal,Routine,D005A,0.4568820595741272,Normal,Moderate,Routine,D05
7,109.23153766,-0.43821392,11.95,0.5478242635726929,Healthy,Healthy,,D005A,0.5478242635726929,Healthy,Good,,D05
8,109.23215117,-0.43438573,11.93,0.5528515577316284,Healthy,Healthy,,D005A,0.5528515577316284,Healthy,Good,,D05
9,109.23195189,-0.43764612,11.87,0.4997895061969757,Healthy,Healthy,,D005A,0.4997895061969757,Healthy,Good,,D05
10,109.23140481,-0.4358799,11.81,0.5305466651916504,Healthy,Healthy,,D005A,0.5305466651916504,Healthy,Good,,D05
11,109.23307161,-0.43562935,11.77,0.4523271322250366,Normal,Normal,Routine,D005A,0.4523271322250366,Normal,Moderate,Routine,D05
12,109.23223786,-0.43435229,11.51,0.4640247225761413,Healthy,Healthy,,D005A,0.4640247225761413,Healthy,Good,,D05
13,109.23321144,-0.43495659,11.47,0.4801781475543976,Healthy,Healthy,,D005A,0.4801781475543976,Healthy,Good,,D05
14,109.23211285,-0.43693177,11.45,0.4648132920265198,Healthy,Healthy,,D005A,0.4648132920265198,Healthy,Good,,D05
15,109.23281575,-0.43498679,11.38,0.442208468914032,Normal,Normal,Routine,D005A,0.442208468914032,Normal,Moderate,Routine,D05
16,109.23188757,-0.43419169,11.35,0.4439879357814789,Normal,Normal,Routine,D005A,0.4439879357814789,Normal,Moderate,Routine,D05
17,109.23183915,-0.43189658,11.35,0.500893235206604,Healthy,Healthy,,D005A,0.500893235206604,Healthy,Good,,D05
18,109.23190969,-0.43178762,11.33,0.4741933047771454,Healthy,Healthy,,D005A,0.4741933047771454,Healthy,Good,,D05
19,109.23144649,-0.4381714,11.31,0.4870695471763611,Healthy,Healthy,,D005A,0.4870695471763611,Healthy,Good,,D05
20,109.23145575,-0.43891202,11.3,0.4776392579078674,Healthy,Healthy,,D005A,0.4776392579078674,Healthy,Good,,D05
21,109.23190397,-0.43707957,11.3,0.4324919879436493,Normal,Normal,Routine,D005A,0.4324919879436493,Normal,Moderate,Routine,D05
22,109.2313309,-0.43886587,11.28,0.3930845856666565,Abnormal,Abnormal,Monitor,D005A,0.3930845856666565,Abnormal,Sub-Optimal,Monitor,D05
23,109.23231947,-0.43877794,11.25,0.4975781440734863,Healthy,Healthy,,D005A,0.4975781440734863,Healthy,Good,,D05
24,109.23151252,-0.43235588,11.19,0.5522364377975464,Healthy,Healthy,,D005A,0.5522364377975464,Healthy,Good,,D05
25,109.23178673,-0.43326296,11.18,0.4129694700241089,Abnormal,Abnormal,Monitor,D005A,0.4129694700241089,Abnormal,Sub-Optimal,Monitor,D05
26,109.23235796,-0.43551117,11.1,0.508560299873352,Healthy,Healthy,,D005A,0.508560299873352,Healthy,Good,,D05
27,109.23350716,-0.43416404,11.09,0.4870001375675201,Healthy,Healthy,,D005A,0.4870001375675201,Healthy,Good,,D05
28,109.23136128,-0.43570355,11.02,0.3784992098808288,Suspect,Suspect,Priority Survey,D005A,0.3784992098808288,Suspect,Critical,Priority Survey,D05
29,109.23351271,-0.43345191,11.02,0.5100069642066956,Healthy,Healthy,,D005A,0.5100069642066956,Healthy,Good,,D05
30,109.23247377,-0.43191933,10.91,0.4327930510044098,Normal,Normal,Routine,D005A,0.4327930510044098,Normal,Moderate,Routine,D05
31,109.23145598,-0.43794985,10.89,0.4960238039493561,Healthy,Healthy,,D005A,0.4960238039493561,Healthy,Good,,D05
32,109.23141126,-0.43709799,10.89,0.4754478633403778,Healthy,Healthy,,D005A,0.4754478633403778,Healthy,Good,,D05
33,109.23152815,-0.43468852,10.88,0.5681281685829163,Healthy,Healthy,,D005A,0.5681281685829163,Healthy,Good,,D05
34,109.23201226,-0.43686709,10.87,0.4365150332450866,Normal,Normal,Routine,D005A,0.4365150332450866,Normal,Moderate,Routine,D05
35,109.23353295,-0.43526819,10.86,0.5692891478538513,Healthy,Healthy,,D005A,0.5692891478538513,Healthy,Good,,D05
36,109.23262299,-0.43727959,10.83,0.5059007406234741,Healthy,Healthy,,D005A,0.5059007406234741,Healthy,Good,,D05
37,109.23301736,-0.43134794,10.82,0.3378156423568725,Suspect,Suspect,Priority Survey,D005A,0.3378156423568725,Suspect,Critical,Priority Survey,D05
38,109.23181569,-0.44002801,10.79,0.5005886554718018,Healthy,Healthy,,D005A,0.5005886554718018,Healthy,Good,,D05
39,109.23169276,-0.43562586,10.79,0.4915731847286224,Healthy,Healthy,,D005A,0.4915731847286224,Healthy,Good,,D05
40,109.23145702,-0.43924571,10.77,0.5019488334655762,Healthy,Healthy,,D005A,0.5019488334655762,Healthy,Good,,D05
41,109.23227885,-0.43384815,10.7,0.4810448288917541,Healthy,Healthy,,D005A,0.4810448288917541,Healthy,Good,,D05
42,109.2329973,-0.43840191,10.69,0.4800747036933899,Healthy,Healthy,,D005A,0.4800747036933899,Healthy,Good,,D05
43,109.2321828,-0.43548446,10.67,0.4476712048053741,Normal,Normal,Routine,D005A,0.4476712048053741,Normal,Moderate,Routine,D05
44,109.23210995,-0.43200832,10.66,0.4859791994094848,Healthy,Healthy,,D005A,0.4859791994094848,Healthy,Good,,D05
45,109.23288525,-0.43547332,10.64,0.4542542695999145,Normal,Normal,Routine,D005A,0.4542542695999145,Normal,Moderate,Routine,D05
46,109.23290906,-0.43159434,10.62,0.5063177347183228,Healthy,Healthy,,D005A,0.5063177347183228,Healthy,Good,,D05
47,109.23315578,-0.4348571,10.62,0.3845674693584442,Suspect,Suspect,Priority Survey,D005A,0.3845674693584442,Suspect,Critical,Priority Survey,D05
48,109.23238119,-0.43797042,10.62,0.5082311034202576,Healthy,Healthy,,D005A,0.5082311034202576,Healthy,Good,,D05
49,109.23185225,-0.43543419,10.59,0.4532445967197418,Normal,Normal,Routine,D005A,0.4532445967197418,Normal,Moderate,Routine,D05
50,109.23352558,-0.43607166,10.57,0.5388040542602539,Healthy,Healthy,,D005A,0.5388040542602539,Healthy,Good,,D05
51,109.23291432,-0.43793256,10.57,0.585965633392334,Healthy,Healthy,,D005A,0.585965633392334,Healthy,Good,,D05
52,109.23182548,-0.43273666,10.52,0.5093956589698792,Healthy,Healthy,,D005A,0.5093956589698792,Healthy,Good,,D05
53,109.23351338,-0.43831974,10.52,0.4880230128765106,Healthy,Healthy,,D005A,0.4880230128765106,Healthy,Good,,D05
54,109.23258438,-0.43720046,10.51,0.4265680015087127,Abnormal,Abnormal,Monitor,D005A,0.4265680015087127,Abnormal,Sub-Optimal,Monitor,D05
55,109.23239598,-0.43811104,10.49,0.4400317370891571,Normal,Normal,Routine,D005A,0.4400317370891571,Normal,Moderate,Routine,D05
56,109.23170079,-0.43200641,10.49,0.4681699573993683,Healthy,Healthy,,D005A,0.4681699573993683,Healthy,Good,,D05
57,109.23260954,-0.43908863,10.43,0.5512296557426453,Healthy,Healthy,,D005A,0.5512296557426453,Healthy,Good,,D05
58,109.2313981,-0.43187432,10.42,0.3648214936256408,Suspect,Suspect,Priority Survey,D005A,0.3648214936256408,Suspect,Critical,Priority Survey,D05
59,109.23295902,-0.4388319,10.41,0.558570384979248,Healthy,Healthy,,D005A,0.558570384979248,Healthy,Good,,D05
60,109.23220397,-0.43134911,10.41,0.4151796698570251,Abnormal,Abnormal,Monitor,D005A,0.4151796698570251,Abnormal,Sub-Optimal,Monitor,D05
61,109.23147758,-0.43773554,10.41,0.4389202892780304,Normal,Normal,Routine,D005A,0.4389202892780304,Normal,Moderate,Routine,D05
62,109.23169488,-0.43811042,10.41,0.4599347412586212,Normal,Normal,Routine,D005A,0.4599347412586212,Normal,Moderate,Routine,D05
63,109.23212723,-0.43498889,10.38,0.5084677338600159,Healthy,Healthy,,D005A,0.5084677338600159,Healthy,Good,,D05
64,109.23193176,-0.43538221,10.38,0.458562433719635,Normal,Normal,Routine,D005A,0.458562433719635,Normal,Moderate,Routine,D05
65,109.23315908,-0.43802576,10.37,0.4401402175426483,Normal,Normal,Routine,D005A,0.4401402175426483,Normal,Moderate,Routine,D05
66,109.23245811,-0.43167788,10.35,0.3965941369533539,Abnormal,Abnormal,Monitor,D005A,0.3965941369533539,Abnormal,Sub-Optimal,Monitor,D05
67,109.23314309,-0.43338219,10.35,0.4578272998332977,Normal,Normal,Routine,D005A,0.4578272998332977,Normal,Moderate,Routine,D05
68,109.23277797,-0.43133251,10.34,0.4247244298458099,Abnormal,Abnormal,Monitor,D005A,0.4247244298458099,Abnormal,Sub-Optimal,Monitor,D05
69,109.23349796,-0.43511536,10.33,0.4461737275123596,Normal,Normal,Routine,D005A,0.4461737275123596,Normal,Moderate,Routine,D05
70,109.23143384,-0.43270718,10.33,0.4681762456893921,Healthy,Healthy,,D005A,0.4681762456893921,Healthy,Good,,D05
71,109.23347751,-0.43224285,10.32,0.4539408087730407,Normal,Normal,Routine,D005A,0.4539408087730407,Normal,Moderate,Routine,D05
72,109.23277497,-0.43459431,10.31,0.4728555679321289,Healthy,Healthy,,D005A,0.4728555679321289,Healthy,Good,,D05
73,109.2330505,-0.43175262,10.3,0.6156490445137024,Healthy,Healthy,,D005A,0.6156490445137024,Healthy,Good,,D05
74,109.2314568,-0.43826952,10.3,0.4212621450424194,Abnormal,Abnormal,Monitor,D005A,0.4212621450424194,Abnormal,Sub-Optimal,Monitor,D05
75,109.23158132,-0.43589532,10.29,0.5184136629104614,Healthy,Healthy,,D005A,0.5184136629104614,Healthy,Good,,D05
76,109.23344328,-0.43459266,10.27,0.5181161165237427,Healthy,Healthy,,D005A,0.5181161165237427,Healthy,Good,,D05
77,109.23141596,-0.43233596,10.23,0.5211873054504395,Healthy,Healthy,,D005A,0.5211873054504395,Healthy,Good,,D05
78,109.23177426,-0.43858112,10.23,0.5517905354499817,Healthy,Healthy,,D005A,0.5517905354499817,Healthy,Good,,D05
79,109.23160736,-0.43397414,10.23,0.4302951693534851,Normal,Normal,Routine,D005A,0.4302951693534851,Normal,Moderate,Routine,D05
80,109.23274774,-0.43774669,10.22,0.3997235000133514,Abnormal,Abnormal,Monitor,D005A,0.3997235000133514,Abnormal,Sub-Optimal,Monitor,D05
81,109.2314304,-0.43399038,10.21,0.4743067920207977,Healthy,Healthy,,D005A,0.4743067920207977,Healthy,Good,,D05
82,109.23300593,-0.43800312,10.2,0.4511371254920959,Normal,Normal,Routine,D005A,0.4511371254920959,Normal,Moderate,Routine,D05
83,109.23165675,-0.43212261,10.18,0.4647744297981262,Healthy,Healthy,,D005A,0.4647744297981262,Healthy,Good,,D05
84,109.23146002,-0.43986515,10.18,0.5048535466194153,Healthy,Healthy,,D005A,0.5048535466194153,Healthy,Good,,D05
85,109.23157737,-0.43354007,10.18,0.46304652094841,Healthy,Healthy,,D005A,0.46304652094841,Healthy,Good,,D05
86,109.23213683,-0.43810284,10.18,0.49300616979599,Healthy,Healthy,,D005A,0.49300616979599,Healthy,Good,,D05
87,109.23335958,-0.43529619,10.17,0.5314026474952698,Healthy,Healthy,,D005A,0.5314026474952698,Healthy,Good,,D05
88,109.23349999,-0.43795621,10.16,0.4009134769439697,Abnormal,Abnormal,Monitor,D005A,0.4009134769439697,Abnormal,Sub-Optimal,Monitor,D05
89,109.23202847,-0.43668487,10.16,0.4766147434711456,Healthy,Healthy,,D005A,0.4766147434711456,Healthy,Good,,D05
90,109.23214244,-0.43905823,10.14,0.4640352427959442,Healthy,Healthy,,D005A,0.4640352427959442,Healthy,Good,,D05
91,109.23330666,-0.43496023,10.13,0.4529460966587066,Normal,Normal,Routine,D005A,0.4529460966587066,Normal,Moderate,Routine,D05
92,109.23164507,-0.43408267,10.13,0.4181462228298187,Abnormal,Abnormal,Monitor,D005A,0.4181462228298187,Abnormal,Sub-Optimal,Monitor,D05
93,109.23172287,-0.43748284,10.11,0.4556027054786682,Normal,Normal,Routine,D005A,0.4556027054786682,Normal,Moderate,Routine,D05
94,109.23199659,-0.43470446,10.11,0.5433276891708374,Healthy,Healthy,,D005A,0.5433276891708374,Healthy,Good,,D05
95,109.23347937,-0.43198694,10.1,0.4774491488933563,Healthy,Healthy,,D005A,0.4774491488933563,Healthy,Good,,D05
96,109.23269319,-0.43861842,10.1,0.4654397964477539,Healthy,Healthy,,D005A,0.4654397964477539,Healthy,Good,,D05
97,109.23146676,-0.4340781,10.09,0.5043622851371765,Healthy,Healthy,,D005A,0.5043622851371765,Healthy,Good,,D05
98,109.2318099,-0.43790155,10.08,0.5366929173469543,Healthy,Healthy,,D005A,0.5366929173469543,Healthy,Good,,D05
