Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,Ring_ID,Distance_to_Center_m,Ring_Radius_m
97,109.23151065907716,-0.4397832603249459,0.0,0.3385322624805978,Abnormal,Abnormal,Monitor,D005A,RING-001,28.851,5.0
119,109.23148219175413,-0.4397276936934758,0.0,0.3061142994829987,Abnormal,Abnormal,Monitor,D005A,RING-001,24.208,5.0
143,109.23153812376184,-0.4396464590834206,0.0,0.3164697546293845,Abnormal,Abnormal,Monitor,D005A,RING-001,13.494,5.0
167,109.23158103747,-0.439570219652104,0.0,0.3921406450078633,Abnormal,Abnormal,Monitor,D005A,RING-001,4.303,5.0
168,109.23167280195467,-0.4395651870080328,0.0,0.3226254569511625,Abnormal,Abnormal,Monitor,D005A,RING-001,11.138,5.0
192,109.23170892057352,-0.4395166575161036,0.0,0.3283172008362122,Abnormal,Abnormal,Monitor,D005A,RING-001,14.603,5.0
218,109.23166608335468,-0.4394335901416494,0.0,0.3308988550147351,Abnormal,Abnormal,Monitor,D005A,RING-001,14.552,5.0
237,109.23163432793464,-0.4393679286044557,0.0,0.3687467373577244,Abnormal,Abnormal,Monitor,D005A,RING-001,19.104,5.0
217,109.23156651375167,-0.4394381952348059,0.0,0.3106865492651104,Abnormal,Abnormal,Monitor,D005A,RING-001,10.387,5.0
216,109.23151333181464,-0.4394392543233691,0.0,0.3439525224912313,Abnormal,Abnormal,Monitor,D005A,RING-001,12.506,5.0
235,109.23148389965095,-0.439368310883706,0.0,0.3746852007001298,Abnormal,Abnormal,Monitor,D005A,RING-001,20.878,5.0
234,109.23140389676676,-0.4393673074695398,0.0,0.3906603427230392,Abnormal,Abnormal,Monitor,D005A,RING-001,26.587,5.0
169,109.23175914152569,-0.4395799338572426,0.0,0.3973399007272558,Abnormal,Abnormal,Monitor,D005A,RING-001,20.807,5.0
190,109.23150562663696,-0.4395146392330297,0.0,0.3433000847642,Abnormal,Abnormal,Monitor,D005A,RING-001,8.326,5.0
144,109.2316516957483,-0.4396519396660817,0.0,0.3242731258825019,Abnormal,Abnormal,Monitor,D005A,RING-001,15.618,5.0
161,109.23320187856682,-0.4396538136094944,0.0,0.3610431837174893,Abnormal,Abnormal,Monitor,D005A,RING-002,7.235,5.0
162,109.23330223750187,-0.4396546183938224,0.0,0.290018443547751,Suspect,Suspect,Priority Survey,D005A,RING-002,5.177,5.0
185,109.2332834370291,-0.4395823487696197,0.0,0.3095781271262924,Abnormal,Abnormal,Monitor,D005A,RING-002,5.785,5.0
212,109.23338962311723,-0.439516606690206,0.0,0.3090337158761697,Abnormal,Abnormal,Monitor,D005A,RING-003,31.363,5.0
232,109.23335603356422,-0.4394432823632541,0.0,0.3116402360984804,Abnormal,Abnormal,Monitor,D005A,RING-003,22.491,5.0
254,109.23329973473476,-0.4393759034856061,0.0,0.2848423743137607,Suspect,Suspect,Priority Survey,D005A,RING-003,14.029,5.0
288,109.23326715503843,-0.4392974595150301,0.0,0.3307908414469007,Abnormal,Abnormal,Monitor,D005A,RING-003,6.232,5.0
289,109.23332161422564,-0.4392525309881947,0.0,0.3690244199033132,Abnormal,Abnormal,Monitor,D005A,RING-003,2.893,5.0
316,109.23327404778396,-0.4391640276352512,0.0,0.3012068033365013,Abnormal,Abnormal,Monitor,D005A,RING-003,9.707,5.0
362,109.23325802917006,-0.4390578366731115,0.0,0.3926824143005073,Abnormal,Abnormal,Monitor,D005A,RING-003,21.552,5.0
387,109.23326485371868,-0.4389526461121582,0.0,0.3956468294064204,Abnormal,Abnormal,Monitor,D005A,RING-003,32.946,5.0
338,109.23334628011597,-0.4390874515582841,0.0,0.3642986836009662,Abnormal,Abnormal,Monitor,D005A,RING-003,18.724,5.0
339,109.2334245987114,-0.4390740859714142,0.0,0.3829942099106164,Abnormal,Abnormal,Monitor,D005A,RING-003,24.072,5.0
337,109.23325472804706,-0.4391087309938554,0.0,0.3989220113620631,Abnormal,Abnormal,Monitor,D005A,RING-003,16.173,5.0
287,109.23316980303592,-0.4392535053259567,0.0,0.3811726294031836,Abnormal,Abnormal,Monitor,D005A,RING-003,14.04,5.0
255,109.23335502806133,-0.4393295415561511,0.0,0.3861824726483908,Abnormal,Abnormal,Monitor,D005A,RING-003,11.07,5.0
253,109.23322256371064,-0.4393805062019478,0.0,0.3650526986972576,Abnormal,Abnormal,Monitor,D005A,RING-003,16.665,5.0
231,109.23323375235822,-0.4394416568408541,0.0,0.2875918287185975,Suspect,Suspect,Priority Survey,D005A,RING-003,22.385,5.0
228,109.23284254270784,-0.4394320879714821,0.0,0.3826073004270452,Abnormal,Abnormal,Monitor,D005A,RING-004,10.527,5.0
249,109.23292499388928,-0.4393805829320194,0.0,0.3931676729215819,Abnormal,Abnormal,Monitor,D005A,RING-004,1.032,5.0
284,109.23298619910726,-0.4393110113468832,0.0,0.3966011794452273,Abnormal,Abnormal,Monitor,D005A,RING-004,10.35,5.0
244,109.23252048283484,-0.4393928953240991,0.0,0.3961415479773545,Abnormal,Abnormal,Monitor,D005A,RING-005,9.17,5.0
245,109.23254237840727,-0.4393457124051779,0.0,0.3578454513412156,Abnormal,Abnormal,Monitor,D005A,RING-005,3.698,5.0
278,109.23256541900224,-0.4392845055753457,0.0,0.3332488991061945,Abnormal,Abnormal,Monitor,D005A,RING-005,4.611,5.0
279,109.23264870977428,-0.4392810364125141,0.0,0.3447931274587725,Abnormal,Abnormal,Monitor,D005A,RING-005,10.148,5.0
261,109.231558211256,-0.4392842131821347,0.0,0.3553163113049519,Abnormal,Abnormal,Monitor,D005A,RING-006,10.533,5.0
262,109.23158406898092,-0.4392370364312681,0.0,0.3265897976084899,Abnormal,Abnormal,Monitor,D005A,RING-006,4.577,5.0
295,109.2316236181605,-0.4391937171764409,0.0,0.3560386366467804,Abnormal,Abnormal,Monitor,D005A,RING-006,2.247,5.0
322,109.23165372047582,-0.4390903829129347,0.0,0.3717282193678397,Abnormal,Abnormal,Monitor,D005A,RING-006,13.415,5.0
308,109.23262044578632,-0.4391439815673461,0.0,0.3561789304683581,Abnormal,Abnormal,Monitor,D005A,RING-007,10.411,5.0
333,109.23271599919828,-0.4390956736291203,0.0,0.3652562206548872,Abnormal,Abnormal,Monitor,D005A,RING-007,8.184,5.0
355,109.23267513566311,-0.439031063895699,0.0,0.3600696038371576,Abnormal,Abnormal,Monitor,D005A,RING-007,3.634,5.0
380,109.23260403346252,-0.438953416410716,0.0,0.3646174748023745,Abnormal,Abnormal,Monitor,D005A,RING-007,12.629,5.0
346,109.23183747947748,-0.439025358562609,0.0,0.3343946204141334,Abnormal,Abnormal,Monitor,D005A,RING-008,15.173,5.0
371,109.23189081735808,-0.4389574897339042,0.0,0.3514613972401913,Abnormal,Abnormal,Monitor,D005A,RING-008,11.433,5.0
396,109.23186715469564,-0.4388516359584442,0.0,0.3893970676909703,Abnormal,Abnormal,Monitor,D005A,RING-008,7.427,5.0
419,109.23192544203113,-0.4388054774732979,0.0,0.3575668132599489,Abnormal,Abnormal,Monitor,D005A,RING-008,15.676,5.0
418,109.23180036686088,-0.4388101126649292,0.0,0.3339815424900267,Abnormal,Abnormal,Monitor,D005A,RING-008,8.979,5.0
395,109.23176664686196,-0.4388617102250106,0.0,0.3873491193496111,Abnormal,Abnormal,Monitor,D005A,RING-008,6.024,5.0
394,109.231663773409,-0.4388536650309177,0.0,0.3856891155684981,Abnormal,Abnormal,Monitor,D005A,RING-008,17.063,5.0
369,109.23174958289816,-0.4389577013231305,0.0,0.3477899227106925,Abnormal,Abnormal,Monitor,D005A,RING-008,10.23,5.0
351,109.23224568704156,-0.4390137645137772,0.0,0.3414659123285817,Abnormal,Abnormal,Monitor,D005A,RING-009,12.629,5.0
375,109.23221122973656,-0.4389464587555348,0.0,0.3164483116757323,Abnormal,Abnormal,Monitor,D005A,RING-009,4.563,5.0
400,109.2321755705883,-0.4388601925060134,0.0,0.352943804734398,Abnormal,Abnormal,Monitor,D005A,RING-009,6.304,5.0
421,109.23220897675942,-0.4388003523487084,0.0,0.3473418681008559,Abnormal,Abnormal,Monitor,D005A,RING-009,11.59,5.0
385,109.23308319301483,-0.4389605549007419,0.0,0.329364240500662,Abnormal,Abnormal,Monitor,D005A,RING-010,19.971,5.0
