Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Ring_ID,Distance_to_Center_m,Ring_Radius_m
6,109.23637277,-0.4420613,18.39,0.375,TM,Suspect,Circle_5m,D011A,0.4392334818840027,Normal,Moderate,Routine,D11,RING-001,7.181,5.0
30,109.23633417,-0.44197403,15.85,0.327,TM,Suspect,Circle_5m,D011A,0.3965595066547394,Abnormal,Sub-Optimal,Monitor,D11,RING-001,9.109,5.0
76,109.23643792,-0.44196139,13.94,0.336,TM,Suspect,Circle_5m,D011A,0.4080663323402405,Abnormal,Sub-Optimal,Monitor,D11,RING-001,6.033,5.0
68,109.2364909,-0.4420333,14.09,0.379,TM,Suspect,Circle_5m,D011A,0.445023238658905,Normal,Moderate,Routine,D11,RING-001,9.559,5.0
65,109.2368063,-0.44915835,14.19,0.37,TM,Suspect,Circle_5m,D011A,0.431571364402771,Normal,Moderate,Routine,D11,RING-002,16.814,5.0
98,109.23671289,-0.44911175,13.27,0.356,TM,Suspect,Circle_5m,D011A,0.4187437891960144,Abnormal,Sub-Optimal,Monitor,D11,RING-002,6.423,5.0
136,109.23660555,-0.44910766,12.71,0.31,TM,Suspect,Circle_5m,D011A,0.3769439160823822,Suspect,Critical,Priority Survey,D11,RING-002,6.32,5.0
77,109.23650718,-0.44914064,13.89,0.295,TM,Suspect,Circle_5m,D011A,0.367821604013443,Suspect,Critical,Priority Survey,D11,RING-002,16.831,5.0
85,109.23732372,-0.44344918,13.62,0.273,TM,Suspect,Circle_5m,D011A,0.3390830755233764,Suspect,Critical,Priority Survey,D11,RING-003,10.078,5.0
684,109.237246,-0.44351065,9.78,0.359,TM,Suspect,Circle_5m,D011A,0.4303299486637115,Normal,Moderate,Routine,D11,RING-003,2.116,5.0
247,109.23716111,-0.44351515,11.92,0.352,TM,Suspect,Circle_5m,D011A,0.4267547130584717,Abnormal,Sub-Optimal,Monitor,D11,RING-003,9.544,5.0
119,109.23694891,-0.44441171,12.94,0.361,TM,Suspect,Circle_5m,D011A,0.4126207232475281,Abnormal,Sub-Optimal,Monitor,D11,RING-004,9.809,5.0
1028,109.23703288,-0.4444782,5.58,0.371,TM,Suspect,Circle_5m,D011A,0.4374676048755646,Normal,Moderate,Routine,D11,RING-004,4.716,5.0
504,109.23711958,-0.44441673,10.63,0.359,TM,Suspect,Circle_5m,D011A,0.4220687448978424,Abnormal,Sub-Optimal,Monitor,D11,RING-004,9.774,5.0
150,109.23620343,-0.44404982,12.58,0.38,TM,Suspect,Circle_5m,D011A,0.4436927139759063,Normal,Moderate,Routine,D11,RING-005,8.83,5.0
916,109.23622815,-0.44397567,8.01,0.36,TM,Suspect,Circle_5m,D011A,0.419592410326004,Abnormal,Sub-Optimal,Monitor,D11,RING-005,1.76,5.0
