Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-018,109.2393795,-0.42617402,5.0,15,13,2,0.3673,5.63,22.827,High
RING-039,109.2395824,-0.4230491,5.0,13,13,0,0.3376,6.45,21.424,High
RING-034,109.2404222,-0.42293569,5.0,13,11,2,0.3293,6.13,20.007,High
RING-019,109.24050389,-0.42428361,5.0,13,10,3,0.2695,7.09,19.855,High
RING-036,109.23923703,-0.42360806,5.0,12,12,0,0.3361,5.67,19.839,High
RING-044,109.24005802,-0.42301088,5.0,11,11,0,0.3391,6.76,18.209,High
RING-052,109.23989411,-0.42345853,5.0,10,9,1,0.3198,5.4,16.052,High
RING-010,109.23925011,-0.42568015,5.0,8,8,0,0.346,6.96,13.34,High
RING-037,109.23997141,-0.42665864,5.0,7,7,0,0.3403,7.21,11.797,Medium
RING-057,109.2395768,-0.42667851,5.0,7,6,1,0.3449,5.06,11.001,Medium
RING-003,109.24057151,-0.43091975,5.0,6,6,0,0.2917,14.39,10.683,Medium
RING-064,109.23994179,-0.42398436,5.0,7,5,2,0.3281,4.35,10.419,Medium
RING-056,109.23899915,-0.42471521,5.0,7,5,2,0.3497,5.11,10.203,Medium
RING-030,109.23946319,-0.42469203,5.0,6,6,0,0.3433,7.81,10.167,Medium
RING-050,109.23980379,-0.42433438,5.0,6,5,1,0.3135,6.02,9.715,Medium
RING-016,109.24024074,-0.43101757,5.0,5,5,0,0.323,9.13,8.77,Medium
RING-026,109.23921605,-0.422875,5.0,5,5,0,0.3234,8.48,8.766,Medium
RING-014,109.23937024,-0.42502212,5.0,5,5,0,0.3262,8.25,8.738,Medium
RING-047,109.23913702,-0.42315423,5.0,5,5,0,0.3276,5.6,8.724,Medium
RING-038,109.23850024,-0.42752304,5.0,5,5,0,0.3578,6.42,8.422,Medium
RING-006,109.23869105,-0.42979713,5.0,5,5,0,0.3584,9.35,8.416,Medium
RING-031,109.24028103,-0.42329747,5.0,5,4,1,0.3078,6.11,8.172,Medium
RING-022,109.23881431,-0.43119629,5.0,4,4,0,0.2475,9.11,7.925,Medium
RING-073,109.23912972,-0.42668041,5.0,7,2,5,0.3627,3.71,7.823,Medium
RING-051,109.23922257,-0.42540452,5.0,5,4,1,0.3556,5.4,7.694,Medium
RING-045,109.23964343,-0.42522651,5.0,4,4,0,0.3172,6.48,7.228,Medium
RING-001,109.23992597,-0.43049922,5.0,4,4,0,0.3232,18.3,7.168,Medium
RING-013,109.23986393,-0.42926981,5.0,4,4,0,0.3272,12.11,7.128,Medium
RING-008,109.2385026,-0.4302614,5.0,4,4,0,0.3345,11.83,7.055,Medium
RING-007,109.23946367,-0.43014824,5.0,4,4,0,0.335,11.83,7.05,Medium
RING-042,109.24015983,-0.4242328,5.0,4,4,0,0.3358,6.95,7.043,Medium
RING-002,109.23989433,-0.43086149,5.0,4,4,0,0.3387,19.13,7.013,Medium
RING-048,109.23993544,-0.42737079,5.0,4,4,0,0.3475,6.79,6.925,Low
RING-024,109.24042954,-0.42386293,5.0,3,3,0,0.2087,8.98,6.713,Low
RING-071,109.24026547,-0.42528069,5.0,4,3,1,0.3195,4.26,6.455,Low
RING-054,109.23952521,-0.42268416,5.0,4,3,1,0.322,5.68,6.43,Low
RING-063,109.23873082,-0.42358816,5.0,4,3,1,0.3498,4.85,6.153,Low
RING-074,109.23880624,-0.4242447,5.0,4,3,1,0.361,4.32,6.04,Low
RING-004,109.23926276,-0.43077137,5.0,4,3,1,0.3725,10.9,5.925,Low
RING-072,109.23903508,-0.42719594,5.0,4,3,1,0.3737,4.75,5.913,Low
RING-049,109.23981865,-0.42279376,5.0,3,3,0,0.3123,7.24,5.677,Low
RING-005,109.24055801,-0.4290434,5.0,3,3,0,0.3143,11.82,5.657,Low
RING-029,109.23910067,-0.42263911,5.0,3,3,0,0.3267,7.64,5.533,Low
RING-040,109.23973362,-0.42808254,5.0,3,3,0,0.334,6.17,5.46,Low
RING-059,109.23877131,-0.42262758,5.0,3,3,0,0.3343,6.04,5.457,Low
RING-062,109.24020487,-0.42561512,5.0,3,3,0,0.335,5.35,5.45,Low
RING-058,109.24005665,-0.4269432,5.0,3,3,0,0.3353,5.79,5.447,Low
RING-017,109.23890957,-0.42293492,5.0,3,3,0,0.3363,8.21,5.437,Low
RING-023,109.23890414,-0.42904242,5.0,3,3,0,0.337,8.23,5.43,Low
RING-032,109.23982546,-0.42777962,5.0,3,3,0,0.34,8.21,5.4,Low
RING-021,109.23893286,-0.4278397,5.0,3,3,0,0.3417,9.77,5.383,Low
RING-027,109.23875347,-0.42734335,5.0,3,3,0,0.3447,7.19,5.353,Low
RING-041,109.23899878,-0.42827273,5.0,3,3,0,0.3467,6.5,5.333,Low
RING-060,109.23884986,-0.42446513,5.0,4,2,2,0.357,4.3,5.33,Low
RING-011,109.24025452,-0.43047514,5.0,3,3,0,0.3483,10.92,5.317,Low
RING-025,109.2405734,-0.42657315,5.0,3,2,1,0.274,6.5,5.31,Low
RING-015,109.23873548,-0.4307289,5.0,3,3,0,0.3503,7.98,5.297,Low
RING-055,109.23872425,-0.42283299,5.0,3,3,0,0.351,6.11,5.29,Low
RING-012,109.23912333,-0.43094692,5.0,3,3,0,0.3587,10.78,5.213,Low
RING-028,109.24035296,-0.43076922,5.0,3,3,0,0.3603,9.2,5.197,Low
RING-020,109.23985479,-0.42979713,5.0,3,3,0,0.3633,7.78,5.167,Low
RING-009,109.23941603,-0.42895376,5.0,3,3,0,0.3677,12.82,5.123,Low
RING-068,109.23992949,-0.42524052,5.0,3,3,0,0.375,5.07,5.05,Low
RING-065,109.23938025,-0.4236871,5.0,3,2,1,0.3203,4.73,4.847,Low
RING-067,109.23948152,-0.42405563,5.0,3,2,1,0.326,4.4,4.79,Low
RING-061,109.23976139,-0.42709279,5.0,3,2,1,0.331,4.83,4.74,Low
RING-070,109.23890792,-0.42628339,5.0,3,2,1,0.3317,4.58,4.733,Low
