Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Reclassified,Was_TBM
1,109.24306829,-0.43006201,18.19,0.531,TM,Healthy,,E002A,0.531,Healthy,Good,None,E02,original,False
2,109.24309524,-0.43001816,17.87,0.419,TM,Healthy,,E002A,0.419,Abnormal,Sub-Optimal,Monitor,E02,original,False
3,109.24309435,-0.42998063,17.5,0.42,TM,Healthy,,E002A,0.42,Abnormal,Sub-Optimal,Monitor,E02,original,False
4,109.24305572,-0.43000052,17.15,0.432,TM,Healthy,,E002A,0.432,Normal,Moderate,Routine,E02,original,False
5,109.24311409,-0.43007559,16.79,0.472,TM,Healthy,,E002A,0.472,Healthy,Good,None,E02,original,False
6,109.24308359,-0.42991235,16.46,0.466,TM,Healthy,,E002A,0.466,Healthy,Good,None,E02,original,False
7,109.24302694,-0.43015469,16.46,0.53,TM,Healthy,,E002A,0.53,Healthy,Good,None,E02,original,False
8,109.24447837,-0.43096709,16.19,0.438,TM,Healthy,,E002A,0.438,Normal,Moderate,Routine,E02,original,False
9,109.24303007,-0.43024965,16.16,0.409,TM,Healthy,,E002A,0.409,Abnormal,Sub-Optimal,Monitor,E02,original,False
10,109.24475636,-0.43107477,15.92,0.45,TM,Healthy,,E002A,0.45,Normal,Moderate,Routine,E02,original,False
11,109.24527829,-0.42503098,15.65,0.383,TM,Healthy,,E002A,0.383,Suspect,Critical,Priority Survey,E02,original,False
12,109.24306243,-0.43012486,15.58,0.358,TM,Suspect,Circle_5m,E002A,0.358,Suspect,Critical,Priority Survey,E02,original,False
13,109.24301567,-0.43033781,15.42,0.449,TM,Healthy,,E002A,0.449,Normal,Moderate,Routine,E02,original,False
14,109.24303018,-0.42977082,15.19,0.531,TM,Healthy,,E002A,0.531,Healthy,Good,None,E02,original,False
15,109.24526173,-0.43067292,15.11,-0.013,TM,Suspect,Circle_5m,E002A,-0.013,Suspect,Critical,Priority Survey,E02,original,False
16,109.24303942,-0.42860291,14.5,0.433,TM,Healthy,,E002A,0.433,Normal,Moderate,Routine,E02,original,False
17,109.24324666,-0.4297573,14.42,0.403,TM,Healthy,,E002A,0.403,Abnormal,Sub-Optimal,Monitor,E02,original,False
18,109.24527479,-0.42461002,14.31,0.406,TM,Healthy,,E002A,0.406,Abnormal,Sub-Optimal,Monitor,E02,original,False
19,109.24465844,-0.43110278,14.27,0.376,TM,Suspect,Circle_5m,E002A,0.376,Suspect,Critical,Priority Survey,E02,original,False
20,109.24518912,-0.42806037,14.25,0.495,TM,Healthy,,E002A,0.495,Healthy,Good,None,E02,original,False
21,109.24307891,-0.42875711,14.21,0.348,TM,Suspect,Circle_5m,E002A,0.348,Suspect,Critical,Priority Survey,E02,original,False
22,109.24437875,-0.43057641,14.12,0.34,TM,Suspect,Circle_5m,E002A,0.34,Suspect,Critical,Priority Survey,E02,original,False
23,109.24479321,-0.43099475,14.02,0.45,TM,Healthy,,E002A,0.45,Normal,Moderate,Routine,E02,original,False
24,109.24312307,-0.43011809,14.01,0.437,TM,Healthy,,E002A,0.437,Normal,Moderate,Routine,E02,original,False
25,109.24352436,-0.43114185,13.95,0.496,TM,Healthy,,E002A,0.496,Healthy,Good,None,E02,original,False
26,109.24493061,-0.4311467,13.92,0.329,TM,Suspect,Circle_5m,E002A,0.329,Suspect,Critical,Priority Survey,E02,original,False
27,109.24526087,-0.43053457,13.92,0.172,TM,Suspect,Circle_5m,E002A,0.172,Suspect,Critical,Priority Survey,E02,original,False
28,109.24505322,-0.43117567,13.83,0.23,TM,Suspect,Circle_5m,E002A,0.23,Suspect,Critical,Priority Survey,E02,original,False
29,109.24524336,-0.42454762,13.83,0.162,TM,Suspect,Circle_5m,E002A,0.162,Suspect,Critical,Priority Survey,E02,original,False
30,109.24305768,-0.42534788,13.82,0.47,TM,Healthy,,E002A,0.47,Healthy,Good,None,E02,original,False
31,109.24519262,-0.42847364,13.82,0.424,TM,Healthy,,E002A,0.424,Abnormal,Sub-Optimal,Monitor,E02,original,False
32,109.24354571,-0.42812963,13.81,0.391,TM,Healthy,,E002A,0.391,Abnormal,Sub-Optimal,Monitor,E02,original,False
33,109.24453899,-0.43103674,13.72,0.42,TM,Healthy,,E002A,0.42,Abnormal,Sub-Optimal,Monitor,E02,original,False
34,109.24301861,-0.42534425,13.7,0.436,TM,Healthy,,E002A,0.436,Normal,Moderate,Routine,E02,original,False
35,109.24519749,-0.43076108,13.7,0.491,TM,Healthy,,E002A,0.491,Healthy,Good,None,E02,original,False
36,109.24497374,-0.43111371,13.7,0.461,TM,Healthy,,E002A,0.461,Healthy,Good,None,E02,original,False
37,109.24499402,-0.43080896,13.66,0.484,TM,Healthy,,E002A,0.484,Healthy,Good,None,E02,original,False
38,109.24501146,-0.43113949,13.59,0.486,TM,Healthy,,E002A,0.486,Healthy,Good,None,E02,original,False
39,109.24401468,-0.42780554,13.57,0.477,TM,Healthy,,E002A,0.477,Healthy,Good,None,E02,original,False
40,109.24498046,-0.43117068,13.55,0.485,TM,Healthy,,E002A,0.485,Healthy,Good,None,E02,original,False
41,109.24308096,-0.42964377,13.53,0.515,TM,Healthy,,E002A,0.515,Healthy,Good,None,E02,original,False
42,109.24306609,-0.42589498,13.52,0.415,TM,Healthy,,E002A,0.415,Abnormal,Sub-Optimal,Monitor,E02,original,False
43,109.24470384,-0.43095358,13.5,0.442,TM,Healthy,,E002A,0.442,Normal,Moderate,Routine,E02,original,False
44,109.24525097,-0.42466925,13.47,-0.034,TM,Suspect,Circle_5m,E002A,-0.034,Suspect,Critical,Priority Survey,E02,original,False
45,109.24525324,-0.42656331,13.45,0.098,TM,Suspect,Circle_5m,E002A,0.098,Suspect,Critical,Priority Survey,E02,original,False
46,109.24473751,-0.43102503,13.43,0.366,TM,Suspect,Circle_5m,E002A,0.366,Suspect,Critical,Priority Survey,E02,original,False
