Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-019,109.23279514,-0.42422317,5.0,13,9,4,0.3631,4.74,18.169,High
RING-006,109.23154391,-0.42612791,5.0,10,7,3,0.3584,6.25,14.166,High
RING-036,109.23343515,-0.42536381,5.0,8,7,1,0.3331,5.8,12.719,High
RING-018,109.23318338,-0.42775076,5.0,8,6,2,0.3495,5.67,11.805,Medium
RING-029,109.23202518,-0.42593511,5.0,7,7,0,0.3506,6.49,11.694,Medium
RING-044,109.23314088,-0.42882111,5.0,7,7,0,0.3513,6.2,11.687,Medium
RING-004,109.23140555,-0.42685225,5.0,7,6,1,0.3381,7.43,11.069,Medium
RING-020,109.2313677,-0.42430968,5.0,7,6,1,0.3399,7.49,11.051,Medium
RING-013,109.23153327,-0.42473118,5.0,7,6,1,0.3467,7.84,10.983,Medium
RING-077,109.2321239,-0.4240974,5.0,7,5,2,0.348,4.03,10.22,Medium
RING-050,109.23337412,-0.42621769,5.0,7,5,2,0.3559,4.79,10.141,Medium
RING-048,109.2330013,-0.42442806,5.0,7,5,2,0.3599,4.78,10.101,Medium
RING-054,109.232251,-0.42552183,5.0,7,5,2,0.3806,5.38,9.894,Medium
RING-007,109.23137816,-0.42577444,5.0,6,5,1,0.357,7.86,9.28,Medium
RING-035,109.2313667,-0.42248459,5.0,5,5,0,0.2978,7.3,9.022,Medium
RING-025,109.23183877,-0.42194076,5.0,5,5,0,0.3252,7.82,8.748,Medium
RING-042,109.23278456,-0.42984481,5.0,5,5,0,0.3286,6.32,8.714,Medium
RING-075,109.23294585,-0.42530247,5.0,5,5,0,0.3394,4.44,8.606,Medium
RING-061,109.23178908,-0.42440433,5.0,5,5,0,0.347,5.47,8.53,Medium
RING-057,109.23284901,-0.42375293,5.0,5,5,0,0.3518,5.66,8.482,Medium
RING-028,109.23135697,-0.42772779,5.0,5,5,0,0.3524,7.35,8.476,Medium
