Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy
1424,109.23190636,-0.42335202,3.54,0.331,Kenthosan,Abnormal,Field_Verification,D001A,0.3934765160083771,Abnormal,Sub-Optimal,Monitor,D01
1425,109.23326356,-0.42374525,3.53,0.336,TBM,Healthy,,D001A,0.3972408473491668,Abnormal,Sub-Optimal,Monitor,D01
1426,109.23309176,-0.4227957,3.53,0.471,Kenthosan,Abnormal,Field_Verification,D001A,0.5240921378135681,Healthy,Good,,D01
1427,109.23279069,-0.42342321,3.53,0.358,Kenthosan,Abnormal,Field_Verification,D001A,0.4205345809459686,Abnormal,Sub-Optimal,Monitor,D01
1428,109.23286565,-0.42362308,3.52,0.333,Kenthosan,Abnormal,Field_Verification,D001A,0.3962151110172272,Abnormal,Sub-Optimal,Monitor,D01
1429,109.23236811,-0.42712757,3.52,0.445,Kenthosan,Abnormal,Field_Verification,D001A,0.5011376142501831,Healthy,Good,,D01
1430,109.23166261,-0.42279221,3.52,0.323,Kenthosan,Abnormal,Field_Verification,D001A,0.3897140324115753,Suspect,Critical,Priority Survey,D01
1431,109.23315397,-0.4237615,3.51,0.446,TBM,Healthy,,D001A,0.5083480477333069,Healthy,Good,,D01
1432,109.23252281,-0.42430394,3.51,0.279,Kenthosan,Abnormal,Field_Verification,D001A,0.3455210626125335,Suspect,Critical,Priority Survey,D01
1433,109.23242045,-0.42409638,3.5,0.413,TBM,Healthy,,D001A,0.4679908454418182,Healthy,Good,,D01
1434,109.23161842,-0.42751127,3.5,0.494,Kenthosan,Abnormal,Field_Verification,D001A,0.538037896156311,Healthy,Good,,D01
1435,109.23277105,-0.42290911,3.5,0.467,TBM,Healthy,,D001A,0.5222747325897217,Healthy,Good,,D01
1436,109.23274403,-0.42717242,3.5,0.409,TBM,Healthy,,D001A,0.4671652317047119,Healthy,Good,,D01
