Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Ring_ID,Distance_to_Center_m,Ring_Radius_m
1,109.23236679,-0.42899359,14.16,0.305,TM,Suspect,Circle_5m,D001A,0.37010458111763,Suspect,Critical,Priority Survey,D01,RING-001,1.369,5.0
1359,109.23245257,-0.42898185,3.83,0.386,Kenthosan,Abnormal,Field_Verification,D001A,0.4443545043468475,Normal,Moderate,Routine,D01,RING-001,9.685,5.0
703,109.23228728,-0.42904195,6.59,0.356,TM,Suspect,Circle_5m,D001A,0.4235966503620147,Abnormal,Sub-Optimal,Monitor,D01,RING-001,9.924,5.0
27,109.2314362,-0.42890746,12.72,0.333,TM,Suspect,Circle_5m,D001A,0.3896252512931824,Suspect,Critical,Priority Survey,D01,RING-002,10.515,5.0
191,109.23142854,-0.42900829,10.43,0.316,TM,Suspect,Circle_5m,D001A,0.3797162771224975,Suspect,Critical,Priority Survey,D01,RING-002,0.667,5.0
292,109.23142044,-0.42909103,9.51,0.316,TM,Suspect,Circle_5m,D001A,0.3777628242969513,Suspect,Critical,Priority Survey,D01,RING-002,9.852,5.0
65,109.2317409,-0.42810723,11.97,0.363,TM,Suspect,Circle_5m,D001A,0.4279942512512207,Abnormal,Sub-Optimal,Monitor,D01,RING-003,7.525,5.0
393,109.23181906,-0.42806068,8.8,0.324,TM,Suspect,Circle_5m,D001A,0.3885210454463959,Suspect,Critical,Priority Survey,D01,RING-003,4.688,5.0
123,109.23186485,-0.4281371,11.12,0.321,TM,Suspect,Circle_5m,D001A,0.3850723803043365,Suspect,Critical,Priority Survey,D01,RING-003,7.417,5.0
76,109.23154041,-0.42691442,11.8,0.356,TM,Suspect,Circle_5m,D001A,0.4170495271682739,Abnormal,Sub-Optimal,Monitor,D01,RING-004,16.51,5.0
1500,109.23148428,-0.42684206,3.06,0.416,Kenthosan,Abnormal,Field_Verification,D001A,0.476145327091217,Healthy,Good,,D01,RING-004,8.836,5.0
1164,109.23138638,-0.42680767,4.41,0.316,TM,Suspect,Circle_5m,D001A,0.3814315497875213,Suspect,Critical,Priority Survey,D01,RING-004,5.37,5.0
440,109.23134238,-0.42671407,8.47,0.304,TM,Suspect,Circle_5m,D001A,0.3710446357727051,Suspect,Critical,Priority Survey,D01,RING-004,16.815,5.0
503,109.2313181,-0.42684202,7.97,0.291,TM,Suspect,Circle_5m,D001A,0.3468587398529053,Suspect,Critical,Priority Survey,D01,RING-004,9.8,5.0
334,109.23133201,-0.42692658,9.23,0.368,TM,Suspect,Circle_5m,D001A,0.4351967573165893,Normal,Moderate,Routine,D01,RING-004,11.599,5.0
649,109.23143531,-0.42691891,7.1,0.316,TM,Suspect,Circle_5m,D001A,0.3909795880317688,Abnormal,Sub-Optimal,Monitor,D01,RING-004,8.079,5.0
88,109.23344227,-0.42789014,11.53,0.365,TM,Suspect,Circle_5m,D001A,0.4230457842350006,Abnormal,Sub-Optimal,Monitor,D01,RING-005,10.054,5.0
997,109.23336142,-0.42792856,4.97,0.345,TM,Suspect,Circle_5m,D001A,0.4105399549007416,Abnormal,Sub-Optimal,Monitor,D01,RING-005,0.233,5.0
1488,109.23328056,-0.4279733,3.15,0.404,Kenthosan,Abnormal,Field_Verification,D001A,0.4563310444355011,Normal,Moderate,Routine,D01,RING-005,10.16,5.0
104,109.2314292,-0.42611228,11.31,0.334,TM,Suspect,Circle_5m,D001A,0.390213131904602,Abnormal,Sub-Optimal,Monitor,D01,RING-006,12.885,5.0
506,109.23151049,-0.42616701,7.95,0.36,TM,Suspect,Circle_5m,D001A,0.4318837821483612,Normal,Moderate,Routine,D01,RING-006,5.703,5.0
1349,109.23155134,-0.42625473,3.86,0.335,Kenthosan,Abnormal,Field_Verification,D001A,0.3963402807712555,Abnormal,Sub-Optimal,Monitor,D01,RING-006,14.044,5.0
759,109.23151,-0.42632616,6.19,0.313,TM,Suspect,Circle_5m,D001A,0.3803002536296844,Suspect,Critical,Priority Survey,D01,RING-006,22.238,5.0
1022,109.23144219,-0.42629857,4.87,0.374,TM,Suspect,Circle_5m,D001A,0.4333475828170776,Normal,Moderate,Routine,D01,RING-006,22.003,5.0
350,109.23151724,-0.42607115,9.11,0.347,TM,Suspect,Circle_5m,D001A,0.410026878118515,Abnormal,Sub-Optimal,Monitor,D01,RING-006,6.941,5.0
1347,109.23151816,-0.42597937,3.87,0.356,Kenthosan,Abnormal,Field_Verification,D001A,0.4144189059734344,Abnormal,Sub-Optimal,Monitor,D01,RING-006,16.667,5.0
633,109.23161156,-0.42608791,7.21,0.356,TM,Suspect,Circle_5m,D001A,0.4225294291973114,Abnormal,Sub-Optimal,Monitor,D01,RING-006,8.732,5.0
1355,109.23163853,-0.42598708,3.84,0.458,Kenthosan,Abnormal,Field_Verification,D001A,0.527688205242157,Healthy,Good,,D01,RING-006,18.795,5.0
1214,109.23171039,-0.42599479,4.26,0.351,TM,Suspect,Circle_5m,D001A,0.4170746505260467,Abnormal,Sub-Optimal,Monitor,D01,RING-006,23.663,5.0
120,109.23138747,-0.42595628,11.14,0.379,TM,Suspect,Circle_5m,D001A,0.4377247393131256,Normal,Moderate,Routine,D01,RING-007,20.128,5.0
486,109.23136953,-0.42586991,8.12,0.352,TM,Suspect,Circle_5m,D001A,0.4132721424102783,Abnormal,Sub-Optimal,Monitor,D01,RING-007,10.597,5.0
500,109.23133721,-0.42577857,7.99,0.296,TM,Suspect,Circle_5m,D001A,0.3625584244728088,Suspect,Critical,Priority Survey,D01,RING-007,4.581,5.0
482,109.23137046,-0.42570398,8.14,0.329,TM,Suspect,Circle_5m,D001A,0.391479343175888,Abnormal,Sub-Optimal,Monitor,D01,RING-007,7.835,5.0
519,109.23134533,-0.4256271,7.89,0.369,TM,Suspect,Circle_5m,D001A,0.4304211735725403,Normal,Moderate,Routine,D01,RING-007,16.691,5.0
1351,109.23145894,-0.42571078,3.85,0.417,Kenthosan,Abnormal,Field_Verification,D001A,0.4826011955738067,Healthy,Good,,D01,RING-007,11.418,5.0
135,109.23215384,-0.43120228,10.94,0.316,TM,Suspect,Circle_5m,D001A,0.3888335824012756,Suspect,Critical,Priority Survey,D01,RING-008,6.245,5.0
574,109.23206985,-0.4311887,7.55,0.245,TM,Suspect,Circle_5m,D001A,0.3103945255279541,Suspect,Critical,Priority Survey,D01,RING-008,5.662,5.0
1375,109.23211748,-0.43109738,3.76,0.454,Kenthosan,Abnormal,Field_Verification,D001A,0.5111302733421326,Healthy,Good,,D01,RING-008,7.242,5.0
137,109.2322247,-0.42773703,10.88,0.366,TM,Suspect,Circle_5m,D001A,0.4204996526241302,Abnormal,Sub-Optimal,Monitor,D01,RING-009,12.701,5.0
532,109.23224179,-0.42764887,7.8,0.378,TM,Suspect,Circle_5m,D001A,0.437943547964096,Normal,Moderate,Routine,D01,RING-009,4.328,5.0
391,109.23223417,-0.42755753,8.81,0.352,TM,Suspect,Circle_5m,D001A,0.3881907761096954,Suspect,Critical,Priority Survey,D01,RING-009,7.591,5.0
1200,109.23215064,-0.42754757,4.29,0.334,TM,Suspect,Circle_5m,D001A,0.4022827744483948,Abnormal,Sub-Optimal,Monitor,D01,RING-009,10.816,5.0
152,109.23214092,-0.43073566,10.72,0.344,TM,Suspect,Circle_5m,D001A,0.4082349836826324,Abnormal,Sub-Optimal,Monitor,D01,RING-010,12.857,5.0
677,109.23212787,-0.43083106,6.82,0.368,TM,Suspect,Circle_5m,D001A,0.4249673783779144,Abnormal,Sub-Optimal,Monitor,D01,RING-010,2.263,5.0
475,109.23222488,-0.43085641,8.23,0.342,TM,Suspect,Circle_5m,D001A,0.4012829959392547,Abnormal,Sub-Optimal,Monitor,D01,RING-010,11.639,5.0
1390,109.23209777,-0.43090159,3.69,0.378,Kenthosan,Abnormal,Field_Verification,D001A,0.4346905052661896,Normal,Moderate,Routine,D01,RING-010,6.225,5.0
963,109.23201108,-0.43092599,5.1,0.33,TM,Suspect,Circle_5m,D001A,0.3924512267112732,Abnormal,Sub-Optimal,Monitor,D01,RING-010,14.787,5.0
166,109.23227785,-0.43098709,10.64,0.373,TM,Suspect,Circle_5m,D001A,0.4333586394786834,Normal,Moderate,Routine,D01,RING-011,2.376,5.0
447,109.23220464,-0.43100335,8.4,0.32,TM,Suspect,Circle_5m,D001A,0.3851887881755829,Suspect,Critical,Priority Survey,D01,RING-011,8.96,5.0
272,109.23234524,-0.43090662,9.67,0.345,TM,Suspect,Circle_5m,D001A,0.4073456525802612,Abnormal,Sub-Optimal,Monitor,D01,RING-011,10.109,5.0
184,109.2330246,-0.42974159,10.48,0.307,TM,Suspect,Circle_5m,D001A,0.3721650242805481,Suspect,Critical,Priority Survey,D01,RING-012,8.547,5.0
208,109.23311263,-0.42974342,10.24,0.315,TM,Suspect,Circle_5m,D001A,0.3820553421974182,Suspect,Critical,Priority Survey,D01,RING-012,8.499,5.0
536,109.23309464,-0.42982526,7.78,0.337,TM,Suspect,Circle_5m,D001A,0.4045446217060089,Abnormal,Sub-Optimal,Monitor,D01,RING-012,3.705,5.0
