DIVISI,BLOK_B,Blok,T_TANAM,N_BARIS,N_POKOK,OBJECTID,NDRE125,KlassNDRE12025,NDRE2_26,KLASSNDRE2_26,Ket,Longitude_SR,Latitude_SR,Drone_TreeID,Drone_Lon,Drone_Lat,Drone_Height_m,NDRE_Drone_Rel,NDRE_Drone_Abs,HS_Drone_Rel,HS_Drone_Abs
AME II,D001A,D01,2009,1,5,153683,0.428639804882,Stres Sedang,0.3790158443264775,Stres Berat,Pokok Utama,109.23168891414583,-0.43114670225748325,837,109.2316598,-0.43115062,7.73,0.492,0.492,Healthy,Good
AME II,D001A,D01,2009,1,9,153709,0.441453711622,Stres Sedang,0.4433501174745078,Stres Sedang,Pokok Utama,109.23209671411705,-0.4311814132180369,337,109.23211567,-0.43118283,9.96,0.49,0.49,Healthy,Good
AME II,D001A,D01,2009,1,10,153722,0.473395387388,Stres Sedang,0.4417566585955288,Stres Sedang,Pokok Utama,109.23217221570812,-0.4311725488638642,269,109.232201,-0.43118511,10.38,0.518,0.518,Healthy,Good
AME II,D001A,D01,2009,1,14,153755,0.439446607033,Stres Sedang,0.4488257979398017,Stres Sedang,Pokok Utama,109.23252739278084,-0.4311513465480705,182,109.23254774,-0.43115219,10.93,0.435,0.435,Healthy,Moderate
AME II,D001A,D01,2009,1,16,153776,0.442732813637,Stres Sedang,0.45976434750356776,Stres Sedang,Pokok Utama,109.23267237659036,-0.4311924861918592,718,109.23264385,-0.43118296,8.25,0.501,0.501,Healthy,Good
AME II,D001A,D01,2009,1,18,153790,0.408815063903,Stres Sedang,0.39226876859729354,Stres Berat,Pokok Utama,109.2328358321716,-0.43117633475876294,284,109.23280734,-0.43116807,10.3,0.477,0.477,Healthy,Good
AME II,D001A,D01,2009,1,20,153792,0.41755597862,Stres Sedang,0.4476180347350493,Stres Sedang,Pokok Utama,109.23303187685559,-0.4311841683918465,190,109.23305077,-0.4311713,10.85,0.393,0.393,Healthy,Sub-Optimal
AME II,D001A,D01,2009,1,21,153793,0.449376008476,Stres Sedang,0.48058759641246035,Stres Sedang,Pokok Utama,109.23308304711354,-0.43117112048165557,190,109.23305077,-0.4311713,10.85,0.393,0.393,Healthy,Sub-Optimal
AME II,D001A,D01,2009,1,22,153794,0.410609980517,Stres Sedang,0.4568070126292012,Stres Sedang,Pokok Utama,109.23314293778539,-0.431177514299386,64,109.23312668,-0.43115323,12.16,0.476,0.476,Healthy,Good
AME II,D001A,D01,2009,1,24,153796,0.415526365861,Stres Sedang,0.43587537850432384,Stres Sedang,Pokok Utama,109.23331080433431,-0.4311712216332345,32,109.23328522,-0.43116186,12.75,0.498,0.498,Healthy,Good
