Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Reclassified,Was_TBM
262,109.23200016,-0.44886373,12.71,0.476,TM,Healthy,,D009A,0.476,Healthy,Good,None,D09,original,False
263,109.23184215,-0.44287634,12.71,0.402,TM,Healthy,,D009A,0.402,Abnormal,Sub-Optimal,Monitor,D09,original,False
264,109.23170425,-0.44859102,12.7,0.45,TM,Healthy,,D009A,0.45,Normal,Moderate,Routine,D09,original,False
265,109.23240359,-0.44087798,12.7,0.467,TM,Healthy,,D009A,0.467,Healthy,Good,None,D09,original,False
266,109.23260941,-0.44608679,12.68,0.494,TM,Healthy,,D009A,0.494,Healthy,Good,None,D09,original,False
267,109.23208391,-0.44423692,12.68,0.558,TM,Healthy,,D009A,0.558,Healthy,Good,None,D09,original,False
268,109.23192408,-0.44209596,12.68,0.484,TM,Healthy,,D009A,0.484,Healthy,Good,None,D09,original,False
269,109.23207521,-0.44306178,12.68,0.39,TM,Healthy,,D009A,0.39,Abnormal,Sub-Optimal,Monitor,D09,original,False
270,109.23210792,-0.44901523,12.67,0.469,TM,Healthy,,D009A,0.469,Healthy,Good,None,D09,original,False
271,109.23166731,-0.44905175,12.67,0.485,TM,Healthy,,D009A,0.485,Healthy,Good,None,D09,original,False
272,109.23178814,-0.44900792,12.67,0.425,TM,Healthy,,D009A,0.425,Abnormal,Sub-Optimal,Monitor,D09,original,False
273,109.23172805,-0.44294369,12.66,0.446,TM,Healthy,,D009A,0.446,Normal,Moderate,Routine,D09,original,False
274,109.23177975,-0.4483939,12.64,0.478,TM,Healthy,,D009A,0.478,Healthy,Good,None,D09,original,False
275,109.23171656,-0.44216463,12.63,0.535,TM,Healthy,,D009A,0.535,Healthy,Good,None,D09,original,False
276,109.23187078,-0.44899528,12.63,0.414,TM,Healthy,,D009A,0.414,Abnormal,Sub-Optimal,Monitor,D09,original,False
277,109.2316041,-0.44855527,12.63,0.493,TM,Healthy,,D009A,0.493,Healthy,Good,None,D09,original,False
278,109.23184358,-0.44253452,12.62,0.441,TM,Healthy,,D009A,0.441,Normal,Moderate,Routine,D09,original,False
279,109.23160738,-0.44800094,12.62,0.503,TM,Healthy,,D009A,0.503,Healthy,Good,None,D09,original,False
280,109.23245295,-0.44485916,12.61,0.454,TM,Healthy,,D009A,0.454,Normal,Moderate,Routine,D09,original,False
281,109.23193681,-0.44896862,12.61,0.493,TM,Healthy,,D009A,0.493,Healthy,Good,None,D09,original,False
282,109.23248931,-0.44116466,12.61,0.535,TM,Healthy,,D009A,0.535,Healthy,Good,None,D09,original,False
283,109.23181418,-0.44337777,12.6,0.459,TM,Healthy,,D009A,0.459,Normal,Moderate,Routine,D09,original,False
284,109.2316489,-0.44713509,12.58,0.433,TM,Healthy,,D009A,0.433,Normal,Moderate,Routine,D09,original,False
285,109.23168586,-0.44846396,12.56,0.469,TM,Healthy,,D009A,0.469,Healthy,Good,None,D09,original,False
286,109.23244572,-0.44506399,12.54,0.509,TM,Healthy,,D009A,0.509,Healthy,Good,None,D09,original,False
287,109.23216198,-0.44075494,12.54,0.454,TM,Healthy,,D009A,0.454,Normal,Moderate,Routine,D09,original,False
288,109.23184249,-0.44141229,12.53,0.465,TM,Healthy,,D009A,0.465,Healthy,Good,None,D09,original,False
289,109.232939,-0.44640246,12.53,0.395,TM,Healthy,,D009A,0.395,Abnormal,Sub-Optimal,Monitor,D09,original,False
290,109.2319461,-0.44767909,12.53,0.471,TM,Healthy,,D009A,0.471,Healthy,Good,None,D09,original,False
291,109.23328025,-0.44488333,12.53,0.468,TM,Healthy,,D009A,0.468,Healthy,Good,None,D09,original,False
292,109.23140634,-0.44726072,12.52,0.442,TM,Healthy,,D009A,0.442,Normal,Moderate,Routine,D09,original,False
293,109.23175274,-0.44863398,12.5,0.431,TM,Healthy,,D009A,0.431,Normal,Moderate,Routine,D09,original,False
294,109.23346446,-0.44651201,12.49,0.458,TM,Healthy,,D009A,0.458,Normal,Moderate,Routine,D09,original,False
295,109.23213498,-0.44099683,12.49,0.421,TM,Healthy,,D009A,0.421,Abnormal,Sub-Optimal,Monitor,D09,original,False
296,109.23238256,-0.44242478,12.49,0.503,TM,Healthy,,D009A,0.503,Healthy,Good,None,D09,original,False
297,109.23148798,-0.44581975,12.48,0.457,TM,Healthy,,D009A,0.457,Normal,Moderate,Routine,D09,original,False
298,109.23170341,-0.44834731,12.46,0.525,TM,Healthy,,D009A,0.525,Healthy,Good,None,D09,original,False
299,109.23141106,-0.44061369,12.44,0.394,TM,Healthy,,D009A,0.394,Abnormal,Sub-Optimal,Monitor,D09,original,False
300,109.23196126,-0.44437479,12.44,0.5,TM,Healthy,,D009A,0.5,Healthy,Good,None,D09,original,False
301,109.23204655,-0.4445923,12.43,0.502,TM,Healthy,,D009A,0.502,Healthy,Good,None,D09,original,False
302,109.23145587,-0.44862577,12.42,0.378,TM,Suspect,Circle_5m,D009A,0.378,Suspect,Critical,Priority Survey,D09,original,False
303,109.23353218,-0.44506199,12.4,0.381,TM,Healthy,,D009A,0.381,Suspect,Critical,Priority Survey,D09,original,False
304,109.23177465,-0.44906805,12.4,0.431,TM,Healthy,,D009A,0.431,Normal,Moderate,Routine,D09,original,False
305,109.23232236,-0.44251248,12.38,0.438,TM,Healthy,,D009A,0.438,Normal,Moderate,Routine,D09,original,False
306,109.23139289,-0.44149899,12.38,0.437,TM,Healthy,,D009A,0.437,Normal,Moderate,Routine,D09,original,False
307,109.23161099,-0.44034968,12.38,0.485,TM,Healthy,,D009A,0.485,Healthy,Good,None,D09,original,False
308,109.23234285,-0.44887422,12.38,0.455,TM,Healthy,,D009A,0.455,Normal,Moderate,Routine,D09,original,False
309,109.23258381,-0.44605196,12.37,0.396,TM,Healthy,,D009A,0.396,Abnormal,Sub-Optimal,Monitor,D09,original,False
310,109.23349055,-0.44635738,12.36,0.376,TM,Suspect,Circle_5m,D009A,0.376,Suspect,Critical,Priority Survey,D09,original,False
311,109.23324253,-0.4448485,12.35,0.457,TM,Healthy,,D009A,0.457,Normal,Moderate,Routine,D09,original,False
312,109.23200423,-0.44502092,12.34,0.457,TM,Healthy,,D009A,0.457,Normal,Moderate,Routine,D09,original,False
