Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Reclassified,Was_TBM
1,109.23580812,-0.4306895,14.9,0.486,TM,Healthy,,D002A,0.486,Healthy,Good,None,D02,original,False
2,109.23582146,-0.4293005,14.31,0.473,TM,Healthy,,D002A,0.473,Healthy,Good,None,D02,original,False
3,109.23370221,-0.43031327,14.07,0.583,TM,Healthy,,D002A,0.583,Healthy,Good,None,D02,original,False
4,109.23580581,-0.42902649,13.84,0.533,TM,Healthy,,D002A,0.533,Healthy,Good,None,D02,original,False
5,109.23384861,-0.43038881,13.78,0.414,TM,Healthy,,D002A,0.414,Abnormal,Sub-Optimal,Monitor,D02,original,False
6,109.23525719,-0.42999351,13.69,0.467,TM,Healthy,,D002A,0.467,Healthy,Good,None,D02,original,False
7,109.23512152,-0.43014766,13.41,0.6,TM,Healthy,,D002A,0.6,Healthy,Good,None,D02,original,False
8,109.23384668,-0.43096801,13.21,0.421,TM,Healthy,,D002A,0.421,Abnormal,Sub-Optimal,Monitor,D02,original,False
9,109.23394334,-0.43056065,13.13,0.509,TM,Healthy,,D002A,0.509,Healthy,Good,None,D02,original,False
10,109.23550046,-0.42874156,12.92,0.484,TM,Healthy,,D002A,0.484,Healthy,Good,None,D02,original,False
11,109.23406681,-0.43073973,12.88,0.474,TM,Healthy,,D002A,0.474,Healthy,Good,None,D02,original,False
12,109.23496365,-0.42913888,12.87,0.444,TM,Healthy,,D002A,0.444,Normal,Moderate,Routine,D02,original,False
13,109.23478894,-0.4291212,12.8,0.537,TM,Healthy,,D002A,0.537,Healthy,Good,None,D02,original,False
14,109.23553736,-0.43039463,12.77,0.421,TM,Healthy,,D002A,0.421,Abnormal,Sub-Optimal,Monitor,D02,original,False
15,109.23455049,-0.42897375,12.76,0.447,TM,Healthy,,D002A,0.447,Normal,Moderate,Routine,D02,original,False
16,109.2338697,-0.43046161,12.72,0.483,TM,Healthy,,D002A,0.483,Healthy,Good,None,D02,original,False
17,109.23581661,-0.4289017,12.69,0.463,TM,Healthy,,D002A,0.463,Healthy,Good,None,D02,original,False
18,109.23526306,-0.42987414,12.69,0.439,TM,Healthy,,D002A,0.439,Normal,Moderate,Routine,D02,original,False
19,109.23371698,-0.43054839,12.58,0.441,TM,Healthy,,D002A,0.441,Normal,Moderate,Routine,D02,original,False
20,109.23395668,-0.43114393,12.57,0.431,TM,Healthy,,D002A,0.431,Normal,Moderate,Routine,D02,original,False
21,109.23389895,-0.43024233,12.48,0.536,TM,Healthy,,D002A,0.536,Healthy,Good,None,D02,original,False
22,109.23580716,-0.42898806,12.45,0.447,TM,Healthy,,D002A,0.447,Normal,Moderate,Routine,D02,original,False
23,109.23383899,-0.42924894,12.43,0.496,TM,Healthy,,D002A,0.496,Healthy,Good,None,D02,original,False
24,109.23491739,-0.42916283,12.41,0.509,TM,Healthy,,D002A,0.509,Healthy,Good,None,D02,original,False
25,109.23581463,-0.42774872,12.41,0.521,TM,Healthy,,D002A,0.521,Healthy,Good,None,D02,original,False
26,109.23396745,-0.43118236,12.39,0.509,TM,Healthy,,D002A,0.509,Healthy,Good,None,D02,original,False
27,109.23581623,-0.43056018,12.38,0.51,TM,Healthy,,D002A,0.51,Healthy,Good,None,D02,original,False
28,109.23528729,-0.42994468,12.37,0.467,TM,Healthy,,D002A,0.467,Healthy,Good,None,D02,original,False
29,109.23508562,-0.42997855,12.36,0.461,TM,Healthy,,D002A,0.461,Healthy,Good,None,D02,original,False
30,109.2358231,-0.43000223,12.36,0.457,TM,Healthy,,D002A,0.457,Normal,Moderate,Routine,D02,original,False
31,109.23465333,-0.42899909,12.36,0.453,TM,Healthy,,D002A,0.453,Normal,Moderate,Routine,D02,original,False
32,109.23506847,-0.43034524,12.28,0.542,TM,Healthy,,D002A,0.542,Healthy,Good,None,D02,original,False
33,109.23503192,-0.43108675,12.28,0.417,TM,Healthy,,D002A,0.417,Abnormal,Sub-Optimal,Monitor,D02,original,False
34,109.23580982,-0.42915716,12.27,0.473,TM,Healthy,,D002A,0.473,Healthy,Good,None,D02,original,False
