Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy
1,109.23764629,-0.42892306,19.98,0.4740348160266876,Healthy,Healthy,,D003A,0.4740348160266876,Healthy,Good,,D03
2,109.23734157,-0.42390774,19.79,0.4899923503398895,Healthy,Healthy,,D003A,0.4899923503398895,Healthy,Good,,D03
3,109.23796384,-0.42888786,19.79,0.4551686644554138,Normal,Normal,Routine,D003A,0.4551686644554138,Normal,Moderate,Routine,D03
4,109.23768271,-0.42875713,19.75,0.4756449460983276,Healthy,Healthy,,D003A,0.4756449460983276,Healthy,Good,,D03
5,109.23755184,-0.42356325,19.71,0.3804182112216949,Suspect,Suspect,Priority Survey,D003A,0.3804182112216949,Suspect,Critical,Priority Survey,D03
6,109.23768482,-0.42340729,19.42,0.544943630695343,Healthy,Healthy,,D003A,0.544943630695343,Healthy,Good,,D03
7,109.23780919,-0.42359541,19.26,0.4478457868099212,Normal,Normal,Routine,D003A,0.4478457868099212,Normal,Moderate,Routine,D03
8,109.23783528,-0.42339873,19.05,0.3907704949378967,Abnormal,Abnormal,Monitor,D003A,0.3907704949378967,Abnormal,Sub-Optimal,Monitor,D03
9,109.23756579,-0.42343665,18.77,0.4951470792293548,Healthy,Healthy,,D003A,0.4951470792293548,Healthy,Good,,D03
10,109.23727693,-0.4237445,18.42,0.5159580707550049,Healthy,Healthy,,D003A,0.5159580707550049,Healthy,Good,,D03
11,109.23742674,-0.42857982,18.42,0.50576251745224,Healthy,Healthy,,D003A,0.50576251745224,Healthy,Good,,D03
12,109.23827177,-0.42963172,18.42,0.3544546365737915,Suspect,Suspect,Priority Survey,D003A,0.3544546365737915,Suspect,Critical,Priority Survey,D03
13,109.23817847,-0.42910811,17.88,0.5090681910514832,Healthy,Healthy,,D003A,0.5090681910514832,Healthy,Good,,D03
14,109.23805535,-0.42346615,17.74,0.4858697056770324,Healthy,Healthy,,D003A,0.4858697056770324,Healthy,Good,,D03
15,109.23827632,-0.42937581,17.38,0.4178394973278045,Abnormal,Abnormal,Monitor,D003A,0.4178394973278045,Abnormal,Sub-Optimal,Monitor,D03
16,109.23762236,-0.42354563,17.34,0.4099765121936798,Abnormal,Abnormal,Monitor,D003A,0.4099765121936798,Abnormal,Sub-Optimal,Monitor,D03
17,109.23742106,-0.4239159,17.24,0.4234895706176758,Abnormal,Abnormal,Monitor,D003A,0.4234895706176758,Abnormal,Sub-Optimal,Monitor,D03
18,109.23749246,-0.42399504,17.2,0.5083889365196228,Healthy,Healthy,,D003A,0.5083889365196228,Healthy,Good,,D03
19,109.23793941,-0.42965018,17.19,0.4318055212497711,Normal,Normal,Routine,D003A,0.4318055212497711,Normal,Moderate,Routine,D03
20,109.2377117,-0.42372289,17.16,0.46934974193573,Healthy,Healthy,,D003A,0.46934974193573,Healthy,Good,,D03
21,109.23796777,-0.42344398,17.15,0.4176886677742004,Abnormal,Abnormal,Monitor,D003A,0.4176886677742004,Abnormal,Sub-Optimal,Monitor,D03
22,109.23772182,-0.42858035,16.92,0.4597129821777344,Normal,Normal,Routine,D003A,0.4597129821777344,Normal,Moderate,Routine,D03
23,109.23762681,-0.42371519,16.55,0.5086861848831177,Healthy,Healthy,,D003A,0.5086861848831177,Healthy,Good,,D03
24,109.23824347,-0.42374517,16.54,0.5233110785484314,Healthy,Healthy,,D003A,0.5233110785484314,Healthy,Good,,D03
25,109.23826333,-0.42925101,16.49,0.380271703004837,Suspect,Suspect,Priority Survey,D003A,0.380271703004837,Suspect,Critical,Priority Survey,D03
26,109.23772709,-0.42913197,16.49,0.5039032101631165,Healthy,Healthy,,D003A,0.5039032101631165,Healthy,Good,,D03
27,109.23743729,-0.4236731,16.47,0.3590112626552582,Suspect,Suspect,Priority Survey,D003A,0.3590112626552582,Suspect,Critical,Priority Survey,D03
28,109.2382442,-0.43042117,16.42,0.3825284838676452,Suspect,Suspect,Priority Survey,D003A,0.3825284838676452,Suspect,Critical,Priority Survey,D03
29,109.23771621,-0.42956332,16.31,0.5246486663818359,Healthy,Healthy,,D003A,0.5246486663818359,Healthy,Good,,D03
30,109.23728131,-0.42821219,16.16,0.465299904346466,Healthy,Healthy,,D003A,0.465299904346466,Healthy,Good,,D03
31,109.23677878,-0.42400437,16.15,0.4690526723861694,Healthy,Healthy,,D003A,0.4690526723861694,Healthy,Good,,D03
32,109.23746375,-0.42385713,16.14,0.4194574058055877,Abnormal,Abnormal,Monitor,D003A,0.4194574058055877,Abnormal,Sub-Optimal,Monitor,D03
33,109.2378784,-0.4293409,16.1,0.4505188763141632,Normal,Normal,Routine,D003A,0.4505188763141632,Normal,Moderate,Routine,D03
34,109.23826416,-0.42952546,15.82,0.4755663275718689,Healthy,Healthy,,D003A,0.4755663275718689,Healthy,Good,,D03
