Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Reclassified,Was_TBM
1,109.23992481,-0.43066572,19.98,0.481,TM,Healthy,,D004A,0.481,Healthy,Good,None,D04,original,False
2,109.23987632,-0.43059156,19.98,0.429,TM,Healthy,,D004A,0.429,Abnormal,Sub-Optimal,Monitor,D04,original,False
3,109.23989158,-0.43063949,19.98,0.443,TM,Healthy,,D004A,0.443,Normal,Moderate,Routine,D04,original,False
4,109.23841521,-0.42894358,19.96,0.504,TM,Healthy,,D004A,0.504,Healthy,Good,None,D04,original,False
5,109.23972368,-0.43027547,19.94,0.386,TM,Healthy,,D004A,0.386,Suspect,Critical,Priority Survey,D04,original,False
6,109.2398355,-0.43037994,19.93,0.431,TM,Healthy,,D004A,0.431,Normal,Moderate,Routine,D04,original,False
7,109.23979862,-0.43058883,19.92,0.424,TM,Healthy,,D004A,0.424,Abnormal,Sub-Optimal,Monitor,D04,original,False
8,109.23979587,-0.43080179,19.88,0.471,TM,Healthy,,D004A,0.471,Healthy,Good,None,D04,original,False
9,109.2397003,-0.43042467,19.84,0.456,TM,Healthy,,D004A,0.456,Normal,Moderate,Routine,D04,original,False
10,109.23980496,-0.43035687,19.84,0.443,TM,Healthy,,D004A,0.443,Normal,Moderate,Routine,D04,original,False
11,109.23993789,-0.43043106,19.83,0.434,TM,Healthy,,D004A,0.434,Normal,Moderate,Routine,D04,original,False
12,109.23984134,-0.43034377,19.82,0.497,TM,Healthy,,D004A,0.497,Healthy,Good,None,D04,original,False
13,109.23979369,-0.43054135,19.81,0.472,TM,Healthy,,D004A,0.472,Healthy,Good,None,D04,original,False
14,109.23983995,-0.43052101,19.7,0.389,TM,Healthy,,D004A,0.389,Suspect,Critical,Priority Survey,D04,original,False
15,109.23975815,-0.43079816,19.52,0.395,TM,Healthy,,D004A,0.395,Abnormal,Sub-Optimal,Monitor,D04,original,False
16,109.23976222,-0.43068965,19.5,0.449,TM,Healthy,,D004A,0.449,Normal,Moderate,Routine,D04,original,False
17,109.23990906,-0.43078554,19.35,0.379,TM,Suspect,Circle_5m,D004A,0.379,Suspect,Critical,Priority Survey,D04,original,False
18,109.23985649,-0.4308651,19.28,0.447,TM,Healthy,,D004A,0.447,Normal,Moderate,Routine,D04,original,False
19,109.23985252,-0.43056352,19.25,0.436,TM,Healthy,,D004A,0.436,Normal,Moderate,Routine,D04,original,False
20,109.23988253,-0.43093655,19.21,0.377,TM,Suspect,Circle_5m,D004A,0.377,Suspect,Critical,Priority Survey,D04,original,False
21,109.23978781,-0.43071543,19.1,0.383,TM,Healthy,,D004A,0.383,Suspect,Critical,Priority Survey,D04,original,False
22,109.2384143,-0.42898473,19.0,0.476,TM,Healthy,,D004A,0.476,Healthy,Good,None,D04,original,False
23,109.23844652,-0.42356798,18.99,0.47,TM,Healthy,,D004A,0.47,Healthy,Good,None,D04,original,False
24,109.23976767,-0.43039711,18.88,0.462,TM,Healthy,,D004A,0.462,Healthy,Good,None,D04,original,False
25,109.23992881,-0.43085924,18.69,0.416,TM,Healthy,,D004A,0.416,Abnormal,Sub-Optimal,Monitor,D04,original,False
26,109.23987398,-0.4309795,18.63,0.449,TM,Healthy,,D004A,0.449,Normal,Moderate,Routine,D04,original,False
27,109.23975277,-0.43075973,18.53,0.436,TM,Healthy,,D004A,0.436,Normal,Moderate,Routine,D04,original,False
28,109.24059041,-0.43076625,18.3,0.361,TM,Suspect,Circle_5m,D004A,0.361,Suspect,Critical,Priority Survey,D04,original,False
29,109.23995527,-0.43099128,18.14,0.39,TM,Healthy,,D004A,0.39,Abnormal,Sub-Optimal,Monitor,D04,original,False
30,109.2397101,-0.43073485,18.07,0.426,TM,Healthy,,D004A,0.426,Abnormal,Sub-Optimal,Monitor,D04,original,False
31,109.23847161,-0.42384696,17.89,0.465,TM,Healthy,,D004A,0.465,Healthy,Good,None,D04,original,False
32,109.23987458,-0.43035825,17.85,0.495,TM,Healthy,,D004A,0.495,Healthy,Good,None,D04,original,False
33,109.2384649,-0.42373347,17.84,0.501,TM,Healthy,,D004A,0.501,Healthy,Good,None,D04,original,False
34,109.23970287,-0.43093334,17.6,0.471,TM,Healthy,,D004A,0.471,Healthy,Good,None,D04,original,False
35,109.23992843,-0.43054093,17.59,0.387,TM,Healthy,,D004A,0.387,Suspect,Critical,Priority Survey,D04,original,False
36,109.24033155,-0.42947892,17.27,0.488,TM,Healthy,,D004A,0.488,Healthy,Good,None,D04,original,False
37,109.23994396,-0.42940513,17.12,0.532,TM,Healthy,,D004A,0.532,Healthy,Good,None,D04,original,False
38,109.239979,-0.42937756,16.98,0.486,TM,Healthy,,D004A,0.486,Healthy,Good,None,D04,original,False
39,109.23932475,-0.4307221,16.97,0.382,TM,Healthy,,D004A,0.382,Suspect,Critical,Priority Survey,D04,original,False
40,109.23963429,-0.43034282,16.84,0.456,TM,Healthy,,D004A,0.456,Normal,Moderate,Routine,D04,original,False
41,109.24054276,-0.43092856,16.76,0.404,TM,Healthy,,D004A,0.404,Abnormal,Sub-Optimal,Monitor,D04,original,False
42,109.2400236,-0.43073357,16.54,0.495,TM,Healthy,,D004A,0.495,Healthy,Good,None,D04,original,False
43,109.2397066,-0.43033651,16.53,0.469,TM,Healthy,,D004A,0.469,Healthy,Good,None,D04,original,False
44,109.24037871,-0.42945542,16.47,0.446,TM,Healthy,,D004A,0.446,Normal,Moderate,Routine,D04,original,False
45,109.23993462,-0.43095917,16.41,0.409,TM,Healthy,,D004A,0.409,Abnormal,Sub-Optimal,Monitor,D04,original,False
46,109.23974471,-0.43062815,16.32,0.484,TM,Healthy,,D004A,0.484,Healthy,Good,None,D04,original,False
47,109.24053553,-0.43110174,16.12,0.397,TM,Healthy,,D004A,0.397,Abnormal,Sub-Optimal,Monitor,D04,original,False
48,109.24053349,-0.43020467,16.09,0.439,TM,Healthy,,D004A,0.439,Normal,Moderate,Routine,D04,original,False
49,109.23999805,-0.43050387,16.07,0.345,TM,Suspect,Circle_5m,D004A,0.345,Suspect,Critical,Priority Survey,D04,original,False
50,109.24055759,-0.43089556,16.02,0.403,TM,Healthy,,D004A,0.403,Abnormal,Sub-Optimal,Monitor,D04,original,False
51,109.24056116,-0.42904627,16.02,0.419,TM,Healthy,,D004A,0.419,Abnormal,Sub-Optimal,Monitor,D04,original,False
52,109.24055356,-0.4308413,16.0,0.406,TM,Healthy,,D004A,0.406,Abnormal,Sub-Optimal,Monitor,D04,original,False
53,109.24055538,-0.43072013,15.98,0.426,TM,Healthy,,D004A,0.426,Abnormal,Sub-Optimal,Monitor,D04,original,False
54,109.24025838,-0.42929443,15.93,0.547,TM,Healthy,,D004A,0.547,Healthy,Good,None,D04,original,False
55,109.2396917,-0.43069732,15.81,0.422,TM,Healthy,,D004A,0.422,Abnormal,Sub-Optimal,Monitor,D04,original,False
56,109.23959913,-0.4308985,15.8,0.45,TM,Healthy,,D004A,0.45,Normal,Moderate,Routine,D04,original,False
57,109.24000145,-0.42940921,15.78,0.459,TM,Healthy,,D004A,0.459,Normal,Moderate,Routine,D04,original,False
58,109.23979979,-0.42940781,15.73,0.546,TM,Healthy,,D004A,0.546,Healthy,Good,None,D04,original,False
59,109.24028689,-0.43033121,15.65,0.363,TM,Suspect,Circle_5m,D004A,0.363,Suspect,Critical,Priority Survey,D04,original,False
60,109.23845066,-0.42905708,15.39,0.444,TM,Healthy,,D004A,0.444,Normal,Moderate,Routine,D04,original,False
61,109.24019177,-0.42990074,15.36,0.493,TM,Healthy,,D004A,0.493,Healthy,Good,None,D04,original,False
62,109.24035714,-0.42952459,15.35,0.418,TM,Healthy,,D004A,0.418,Abnormal,Sub-Optimal,Monitor,D04,original,False
63,109.23844715,-0.4286827,15.33,0.508,TM,Healthy,,D004A,0.508,Healthy,Good,None,D04,original,False
64,109.24002905,-0.43047087,15.31,0.47,TM,Healthy,,D004A,0.47,Healthy,Good,None,D04,original,False
65,109.23866383,-0.42979368,15.26,0.401,TM,Healthy,,D004A,0.401,Abnormal,Sub-Optimal,Monitor,D04,original,False
66,109.24030488,-0.43022451,15.2,0.516,TM,Healthy,,D004A,0.516,Healthy,Good,None,D04,original,False
67,109.23958938,-0.43033422,15.17,0.544,TM,Healthy,,D004A,0.544,Healthy,Good,None,D04,original,False
68,109.24035183,-0.42916785,15.16,0.443,TM,Healthy,,D004A,0.443,Normal,Moderate,Routine,D04,original,False
69,109.23972342,-0.42751328,15.11,0.405,TM,Healthy,,D004A,0.405,Abnormal,Sub-Optimal,Monitor,D04,original,False
70,109.2399274,-0.43112737,15.01,0.46,TM,Healthy,,D004A,0.46,Healthy,Good,None,D04,original,False
71,109.23955456,-0.42939057,14.99,0.51,TM,Healthy,,D004A,0.51,Healthy,Good,None,D04,original,False
72,109.23966824,-0.4291912,14.97,0.468,TM,Healthy,,D004A,0.468,Healthy,Good,None,D04,original,False
73,109.23972639,-0.43023342,14.92,0.441,TM,Healthy,,D004A,0.441,Normal,Moderate,Routine,D04,original,False
74,109.23838703,-0.42645313,14.91,0.408,TM,Healthy,,D004A,0.408,Abnormal,Sub-Optimal,Monitor,D04,original,False
75,109.23843648,-0.42624832,14.9,0.466,TM,Healthy,,D004A,0.466,Healthy,Good,None,D04,original,False
76,109.24038164,-0.43040403,14.89,0.456,TM,Healthy,,D004A,0.456,Normal,Moderate,Routine,D04,original,False
77,109.23997108,-0.43060288,14.85,0.501,TM,Healthy,,D004A,0.501,Healthy,Good,None,D04,original,False
78,109.2384242,-0.42887621,14.78,0.48,TM,Healthy,,D004A,0.48,Healthy,Good,None,D04,original,False
79,109.2386284,-0.42960196,14.76,0.457,TM,Healthy,,D004A,0.457,Normal,Moderate,Routine,D04,original,False
80,109.23940545,-0.42938873,14.76,0.536,TM,Healthy,,D004A,0.536,Healthy,Good,None,D04,original,False
81,109.23869289,-0.42842232,14.72,0.388,TM,Healthy,,D004A,0.388,Suspect,Critical,Priority Survey,D04,original,False
82,109.23970597,-0.4291903,14.7,0.45,TM,Healthy,,D004A,0.45,Normal,Moderate,Routine,D04,original,False
83,109.2387153,-0.42864116,14.62,0.473,TM,Healthy,,D004A,0.473,Healthy,Good,None,D04,original,False
84,109.23869111,-0.42837258,14.58,0.498,TM,Healthy,,D004A,0.498,Healthy,Good,None,D04,original,False
85,109.23947821,-0.42940638,14.57,0.525,TM,Healthy,,D004A,0.525,Healthy,Good,None,D04,original,False
86,109.24044966,-0.42950834,14.54,0.445,TM,Healthy,,D004A,0.445,Normal,Moderate,Routine,D04,original,False
87,109.23843687,-0.42846793,14.52,0.404,TM,Healthy,,D004A,0.404,Abnormal,Sub-Optimal,Monitor,D04,original,False
88,109.23938335,-0.4278071,14.5,0.359,TM,Suspect,Circle_5m,D004A,0.359,Suspect,Critical,Priority Survey,D04,original,False
89,109.24013698,-0.4298736,14.49,0.465,TM,Healthy,,D004A,0.465,Healthy,Good,None,D04,original,False
90,109.23931664,-0.43082474,14.47,0.423,TM,Healthy,,D004A,0.423,Abnormal,Sub-Optimal,Monitor,D04,original,False
91,109.2405202,-0.42942064,14.44,0.481,TM,Healthy,,D004A,0.481,Healthy,Good,None,D04,original,False
92,109.23977653,-0.43092658,14.42,0.39,TM,Healthy,,D004A,0.39,Abnormal,Sub-Optimal,Monitor,D04,original,False
93,109.24058599,-0.4304407,14.39,0.377,TM,Suspect,Circle_5m,D004A,0.377,Suspect,Critical,Priority Survey,D04,original,False
94,109.23969924,-0.42913062,14.38,0.494,TM,Healthy,,D004A,0.494,Healthy,Good,None,D04,original,False
95,109.23984289,-0.42948649,14.37,0.494,TM,Healthy,,D004A,0.494,Healthy,Good,None,D04,original,False
96,109.2403309,-0.43035112,14.3,0.439,TM,Healthy,,D004A,0.439,Normal,Moderate,Routine,D04,original,False
97,109.23840813,-0.42648976,14.29,0.448,TM,Healthy,,D004A,0.448,Normal,Moderate,Routine,D04,original,False
98,109.24057501,-0.42933655,14.24,0.391,TM,Healthy,,D004A,0.391,Abnormal,Sub-Optimal,Monitor,D04,original,False
99,109.23906979,-0.43007999,14.22,0.385,TM,Healthy,,D004A,0.385,Suspect,Critical,Priority Survey,D04,original,False
100,109.23971491,-0.42938428,14.2,0.405,TM,Healthy,,D004A,0.405,Abnormal,Sub-Optimal,Monitor,D04,original,False
101,109.23851443,-0.43107369,14.19,0.435,TM,Healthy,,D004A,0.435,Normal,Moderate,Routine,D04,original,False
102,109.2404234,-0.43045378,14.18,0.428,TM,Healthy,,D004A,0.428,Abnormal,Sub-Optimal,Monitor,D04,original,False
103,109.24043109,-0.43021776,14.17,0.398,TM,Healthy,,D004A,0.398,Abnormal,Sub-Optimal,Monitor,D04,original,False
104,109.23973746,-0.43089989,14.16,0.396,TM,Healthy,,D004A,0.396,Abnormal,Sub-Optimal,Monitor,D04,original,False
105,109.23920115,-0.43110323,14.15,0.51,TM,Healthy,,D004A,0.51,Healthy,Good,None,D04,original,False
106,109.24038761,-0.42983794,14.12,0.415,TM,Healthy,,D004A,0.415,Abnormal,Sub-Optimal,Monitor,D04,original,False
107,109.24043663,-0.42954451,14.1,0.514,TM,Healthy,,D004A,0.514,Healthy,Good,None,D04,original,False
108,109.23872094,-0.42950703,14.1,0.53,TM,Healthy,,D004A,0.53,Healthy,Good,None,D04,original,False
109,109.24048866,-0.42986781,14.06,0.572,TM,Healthy,,D004A,0.572,Healthy,Good,None,D04,original,False
110,109.23950253,-0.42911294,14.04,0.489,TM,Healthy,,D004A,0.489,Healthy,Good,None,D04,original,False
111,109.23879039,-0.43020924,14.03,0.484,TM,Healthy,,D004A,0.484,Healthy,Good,None,D04,original,False
112,109.23953329,-0.43011039,14.02,0.397,TM,Healthy,,D004A,0.397,Abnormal,Sub-Optimal,Monitor,D04,original,False
113,109.23863153,-0.42964356,14.01,0.42,TM,Healthy,,D004A,0.42,Abnormal,Sub-Optimal,Monitor,D04,original,False
114,109.23886169,-0.42873886,14.01,0.471,TM,Healthy,,D004A,0.471,Healthy,Good,None,D04,original,False
115,109.23934719,-0.43078902,14.0,0.396,TM,Healthy,,D004A,0.396,Abnormal,Sub-Optimal,Monitor,D04,original,False
116,109.23870091,-0.4287022,14.0,0.468,TM,Healthy,,D004A,0.468,Healthy,Good,None,D04,original,False
117,109.24024623,-0.42940837,13.98,0.437,TM,Healthy,,D004A,0.437,Normal,Moderate,Routine,D04,original,False
118,109.24006392,-0.43117849,13.97,0.288,TM,Suspect,Circle_5m,D004A,0.288,Suspect,Critical,Priority Survey,D04,original,False
119,109.23932475,-0.42876339,13.94,0.521,TM,Healthy,,D004A,0.521,Healthy,Good,None,D04,original,False
120,109.24022501,-0.42987227,13.92,0.476,TM,Healthy,,D004A,0.476,Healthy,Good,None,D04,original,False
121,109.24042669,-0.42982348,13.91,0.436,TM,Healthy,,D004A,0.436,Normal,Moderate,Routine,D04,original,False
122,109.24016481,-0.42994234,13.85,0.444,TM,Healthy,,D004A,0.444,Normal,Moderate,Routine,D04,original,False
123,109.2385047,-0.43040767,13.82,0.497,TM,Healthy,,D004A,0.497,Healthy,Good,None,D04,original,False
124,109.24020088,-0.42936721,13.81,0.418,TM,Healthy,,D004A,0.418,Abnormal,Sub-Optimal,Monitor,D04,original,False
125,109.24046659,-0.43014949,13.8,0.445,TM,Healthy,,D004A,0.445,Normal,Moderate,Routine,D04,original,False
126,109.24048856,-0.43030458,13.79,0.494,TM,Healthy,,D004A,0.494,Healthy,Good,None,D04,original,False
127,109.2395048,-0.43093918,13.79,0.386,TM,Healthy,,D004A,0.386,Suspect,Critical,Priority Survey,D04,original,False
128,109.24056135,-0.43015494,13.79,0.38,TM,Healthy,,D004A,0.38,Suspect,Critical,Priority Survey,D04,original,False
129,109.23942165,-0.42729528,13.78,0.455,TM,Healthy,,D004A,0.455,Normal,Moderate,Routine,D04,original,False
130,109.23996461,-0.42946572,13.77,0.446,TM,Healthy,,D004A,0.446,Normal,Moderate,Routine,D04,original,False
131,109.23872317,-0.42955315,13.76,0.497,TM,Healthy,,D004A,0.497,Healthy,Good,None,D04,original,False
132,109.23966652,-0.43079814,13.75,0.474,TM,Healthy,,D004A,0.474,Healthy,Good,None,D04,original,False
133,109.23847777,-0.43032446,13.75,0.381,TM,Healthy,,D004A,0.381,Suspect,Critical,Priority Survey,D04,original,False
134,109.23970161,-0.43055263,13.75,0.481,TM,Healthy,,D004A,0.481,Healthy,Good,None,D04,original,False
135,109.23881282,-0.42838708,13.74,0.503,TM,Healthy,,D004A,0.503,Healthy,Good,None,D04,original,False
136,109.24027554,-0.42889428,13.73,0.386,TM,Healthy,,D004A,0.386,Suspect,Critical,Priority Survey,D04,original,False
137,109.23883701,-0.42867962,13.69,0.454,TM,Healthy,,D004A,0.454,Normal,Moderate,Routine,D04,original,False
138,109.23956738,-0.43027634,13.68,0.489,TM,Healthy,,D004A,0.489,Healthy,Good,None,D04,original,False
139,109.24041483,-0.43062017,13.67,0.356,TM,Suspect,Circle_5m,D004A,0.356,Suspect,Critical,Priority Survey,D04,original,False
140,109.23947019,-0.4290858,13.65,0.439,TM,Healthy,,D004A,0.439,Normal,Moderate,Routine,D04,original,False
141,109.24056506,-0.42964175,13.63,0.182,TM,Suspect,Circle_5m,D004A,0.182,Suspect,Critical,Priority Survey,D04,original,False
142,109.24058083,-0.42945004,13.63,0.412,TM,Healthy,,D004A,0.412,Abnormal,Sub-Optimal,Monitor,D04,original,False
143,109.24043737,-0.43026297,13.6,0.504,TM,Healthy,,D004A,0.504,Healthy,Good,None,D04,original,False
144,109.23966837,-0.43057975,13.6,0.417,TM,Healthy,,D004A,0.417,Abnormal,Sub-Optimal,Monitor,D04,original,False
145,109.24052821,-0.42976382,13.59,0.44,TM,Healthy,,D004A,0.44,Normal,Moderate,Routine,D04,original,False
146,109.23920294,-0.43114076,13.58,0.525,TM,Healthy,,D004A,0.525,Healthy,Good,None,D04,original,False
147,109.23848483,-0.42890833,13.57,0.455,TM,Healthy,,D004A,0.455,Normal,Moderate,Routine,D04,original,False
148,109.23846277,-0.43109492,13.56,0.543,TM,Healthy,,D004A,0.543,Healthy,Good,None,D04,original,False
149,109.24057922,-0.42862893,13.54,0.352,TM,Suspect,Circle_5m,D004A,0.352,Suspect,Critical,Priority Survey,D04,original,False
150,109.24052289,-0.42550411,13.53,0.398,TM,Healthy,,D004A,0.398,Abnormal,Sub-Optimal,Monitor,D04,original,False
151,109.23842884,-0.42628901,13.53,0.524,TM,Healthy,,D004A,0.524,Healthy,Good,None,D04,original,False
152,109.24048384,-0.42931211,13.49,0.445,TM,Healthy,,D004A,0.445,Normal,Moderate,Routine,D04,original,False
153,109.24043716,-0.42919816,13.48,0.411,TM,Healthy,,D004A,0.411,Abnormal,Sub-Optimal,Monitor,D04,original,False
154,109.24049939,-0.43008529,13.45,0.461,TM,Healthy,,D004A,0.461,Healthy,Good,None,D04,original,False
155,109.23950327,-0.4278112,13.43,0.463,TM,Healthy,,D004A,0.463,Healthy,Good,None,D04,original,False
156,109.24046972,-0.43019923,13.41,0.46,TM,Healthy,,D004A,0.46,Healthy,Good,None,D04,original,False
