Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-003,109.23559151,-0.42668421,5.0,9,3,6,0.4097,5.07,9.9,Medium
RING-005,109.23526869,-0.42904259,5.0,8,3,5,0.3988,8.17,9.062,Medium
RING-019,109.23407824,-0.42431568,5.0,6,4,2,0.3901,5.98,8.199,Medium
RING-043,109.23397543,-0.42575406,5.0,7,2,5,0.3995,4.74,7.455,Medium
RING-031,109.23470003,-0.42444129,5.0,6,3,3,0.3971,4.85,7.379,Medium
RING-032,109.23527573,-0.42287367,5.0,6,1,5,0.3979,4.99,5.871,Low
RING-056,109.2350513,-0.42736376,5.0,4,3,1,0.3786,3.91,5.864,Low
RING-014,109.23377331,-0.42839135,5.0,6,1,5,0.4058,8.09,5.85,Low
RING-028,109.23493546,-0.42523015,5.0,4,3,1,0.3852,5.33,5.798,Low
RING-021,109.23463666,-0.42690166,5.0,5,2,3,0.3987,7.38,5.763,Low
RING-037,109.23460075,-0.42242203,5.0,5,1,4,0.3957,5.48,5.043,Low
RING-033,109.23468314,-0.42826942,5.0,5,1,4,0.403,5.8,5.0,Low
RING-050,109.23401319,-0.42678115,5.0,5,1,4,0.4075,3.88,5.0,Low
RING-040,109.23430364,-0.42558694,5.0,3,3,0,0.382,4.9,4.98,Low
RING-024,109.23528325,-0.42455133,5.0,4,2,2,0.3928,6.59,4.972,Low
RING-057,109.2338211,-0.42648631,5.0,4,2,2,0.3989,3.32,4.911,Low
RING-034,109.23443129,-0.42727714,5.0,4,2,2,0.4012,5.9,4.9,Low
RING-058,109.23568077,-0.42523021,5.0,3,2,1,0.3517,3.86,4.533,Low
RING-039,109.23411257,-0.42657861,5.0,4,1,3,0.3842,4.74,4.308,Low
RING-030,109.23439749,-0.42680566,5.0,4,1,3,0.3857,5.88,4.293,Low
RING-060,109.2344023,-0.42620144,5.0,3,2,1,0.3786,3.31,4.264,Low
RING-001,109.23513281,-0.43102764,5.0,5,0,5,0.4093,8.97,4.25,Low
RING-017,109.23559362,-0.4295002,5.0,5,0,5,0.4115,6.66,4.25,Low
RING-029,109.23516801,-0.42719007,5.0,5,0,5,0.4168,4.97,4.25,Low
RING-009,109.2338359,-0.42967577,5.0,3,2,1,0.3813,9.35,4.237,Low
RING-010,109.23481789,-0.43083667,5.0,3,2,1,0.3833,8.77,4.217,Low
RING-007,109.23414834,-0.42774034,5.0,3,2,1,0.3894,8.71,4.156,Low
RING-008,109.23456951,-0.43072945,5.0,4,1,3,0.4056,9.67,4.15,Low
RING-048,109.23567141,-0.42291927,5.0,3,2,1,0.3922,4.2,4.128,Low
RING-004,109.2336515,-0.42355484,5.0,3,1,2,0.372,9.73,3.58,Low
RING-011,109.23477799,-0.43053568,5.0,3,1,2,0.3845,7.42,3.455,Low
RING-018,109.23501238,-0.43060894,5.0,4,0,4,0.4159,7.27,3.4,Low
RING-015,109.23463576,-0.42729426,5.0,4,0,4,0.4145,8.71,3.4,Low
RING-044,109.23490683,-0.42621052,5.0,4,0,4,0.4246,4.73,3.4,Low
RING-045,109.23425295,-0.42859553,5.0,3,1,2,0.3907,3.98,3.393,Low
RING-026,109.23448261,-0.42791857,5.0,3,1,2,0.391,6.28,3.39,Low
RING-052,109.23412458,-0.42362563,5.0,3,1,2,0.3956,4.04,3.344,Low
RING-002,109.23373577,-0.43021622,5.0,3,1,2,0.3972,11.44,3.328,Low
RING-051,109.23381888,-0.42880281,5.0,3,1,2,0.3986,4.49,3.314,Low
RING-046,109.23526101,-0.42504217,5.0,3,1,2,0.3986,4.52,3.314,Low
RING-006,109.23543747,-0.43119386,5.0,3,1,2,0.4036,9.31,3.3,Low
RING-042,109.23561136,-0.42628129,5.0,3,1,2,0.4062,5.09,3.3,Low
RING-059,109.23516232,-0.42519588,5.0,3,1,2,0.4016,3.39,3.3,Low
RING-020,109.23545377,-0.4240597,5.0,3,1,2,0.4042,5.92,3.3,Low
RING-027,109.23552419,-0.42513221,5.0,3,1,2,0.411,6.62,3.3,Low
RING-055,109.23439644,-0.42433526,5.0,3,1,2,0.402,4.33,3.3,Low
RING-049,109.23439719,-0.42827981,5.0,3,1,2,0.403,4.34,3.3,Low
RING-047,109.23422631,-0.42392754,5.0,3,1,2,0.4081,3.76,3.3,Low
RING-022,109.23386548,-0.4280185,5.0,3,0,3,0.4171,5.91,2.55,Low
RING-012,109.23372213,-0.43094055,5.0,3,0,3,0.415,8.81,2.55,Low
RING-013,109.23425452,-0.42234819,5.0,3,0,3,0.4101,7.33,2.55,Low
RING-025,109.23471745,-0.42617166,5.0,3,0,3,0.4143,7.71,2.55,Low
RING-016,109.23552617,-0.4269803,5.0,3,0,3,0.4126,7.04,2.55,Low
RING-023,109.23508036,-0.42879603,5.0,3,0,3,0.4148,6.52,2.55,Low
RING-041,109.23568364,-0.42246351,5.0,3,0,3,0.4104,4.83,2.55,Low
RING-035,109.23522378,-0.42354223,5.0,3,0,3,0.4022,6.16,2.55,Low
RING-036,109.23581281,-0.42257612,5.0,3,0,3,0.4141,5.3,2.55,Low
RING-038,109.23420115,-0.42332602,5.0,3,0,3,0.4223,4.9,2.55,Low
RING-053,109.23455051,-0.42492972,5.0,3,0,3,0.4116,4.02,2.55,Low
RING-054,109.23379922,-0.42443897,5.0,3,0,3,0.4069,4.31,2.55,Low
RING-061,109.23418569,-0.42742158,5.0,3,0,3,0.4036,3.06,2.55,Low
