Ring_ID,Center_Longitude,Center_Latitude,Radius_m,Member_Count,Suspect_Count,Abnormal_Count,Mean_NDRE,Mean_Height_m,Severity_Score,Priority
RING-004,109.23566818,-0.4267811,5.0,26,21,5,0.3553,5.95,37.697,High
RING-047,109.23388371,-0.42570709,5.0,13,10,3,0.3552,4.71,18.998,High
RING-043,109.23455893,-0.42435669,5.0,11,8,3,0.3651,4.69,15.699,High
RING-006,109.23525411,-0.42903671,5.0,9,9,0,0.34,7.73,15.0,High
RING-057,109.23466615,-0.42244901,5.0,9,8,1,0.3426,5.06,14.224,High
RING-034,109.23522622,-0.4244892,5.0,8,7,1,0.3518,5.68,12.533,High
RING-038,109.23488082,-0.42515723,5.0,9,5,4,0.3677,4.53,11.723,Medium
RING-027,109.23406032,-0.42431372,5.0,7,5,2,0.3357,5.67,10.343,Medium
RING-020,109.23377331,-0.42839135,5.0,6,6,0,0.3422,8.09,10.178,Medium
RING-042,109.23556682,-0.42558151,5.0,7,5,2,0.3557,5.23,10.143,Medium
RING-025,109.23557342,-0.42947934,5.0,6,6,0,0.3538,6.48,10.062,Medium
RING-058,109.23413723,-0.42330183,5.0,7,5,2,0.367,4.58,10.03,Medium
RING-061,109.23407405,-0.42656888,5.0,6,5,1,0.3322,4.69,9.528,Medium
RING-044,109.23527573,-0.42287367,5.0,6,4,2,0.3362,4.99,8.738,Medium
RING-014,109.23483533,-0.4309006,5.0,5,5,0,0.3292,8.76,8.708,Medium
RING-029,109.23463666,-0.42690166,5.0,5,5,0,0.3336,7.38,8.664,Medium
RING-012,109.23388166,-0.42963997,5.0,5,5,0,0.334,8.01,8.66,Medium
RING-045,109.23470201,-0.42825713,5.0,6,4,2,0.3525,5.39,8.575,Medium
RING-081,109.23403733,-0.42695859,5.0,7,3,4,0.365,3.95,8.55,Medium
RING-002,109.23513281,-0.43102764,5.0,5,5,0,0.3462,8.97,8.538,Medium
RING-018,109.23417245,-0.42243822,5.0,6,4,2,0.37,5.36,8.4,Medium
RING-040,109.23438723,-0.42678133,5.0,5,4,1,0.342,5.43,7.83,Medium
RING-079,109.23436469,-0.42832306,5.0,5,4,1,0.3486,4.42,7.764,Medium
RING-039,109.23516801,-0.42719007,5.0,5,4,1,0.3542,4.97,7.708,Medium
RING-008,109.23411477,-0.42775657,5.0,4,4,0,0.3362,8.22,7.038,Medium
RING-009,109.23456951,-0.43072945,5.0,4,4,0,0.3443,9.67,6.958,Low
RING-046,109.23443129,-0.42727714,5.0,4,4,0,0.3448,5.9,6.953,Low
RING-053,109.2357004,-0.42446518,5.0,4,4,0,0.346,5.82,6.94,Low
RING-073,109.23382078,-0.42884449,5.0,4,4,0,0.346,4.68,6.94,Low
RING-022,109.23463576,-0.42729426,5.0,4,4,0,0.3472,8.71,6.928,Low
RING-026,109.23501238,-0.43060894,5.0,4,4,0,0.3513,7.27,6.888,Low
RING-069,109.23493405,-0.42620207,5.0,5,3,2,0.3754,4.5,6.746,Low
RING-077,109.23563945,-0.42289643,5.0,4,3,1,0.3413,4.23,6.237,Low
RING-023,109.23410284,-0.42935153,5.0,4,3,1,0.3538,5.88,6.113,Low
RING-067,109.23493338,-0.42942587,5.0,4,3,1,0.3628,4.82,6.023,Low
RING-052,109.23586484,-0.4255246,5.0,3,3,0,0.2857,6.5,5.943,Low
RING-066,109.2341789,-0.42619713,5.0,4,3,1,0.3715,4.94,5.935,Low
RING-048,109.23447376,-0.4222349,5.0,4,3,1,0.3802,5.06,5.848,Low
RING-010,109.2358355,-0.42813847,5.0,3,3,0,0.299,8.11,5.81,Low
RING-087,109.2350513,-0.42736376,5.0,4,2,2,0.3145,3.91,5.755,Low
RING-030,109.23583558,-0.42844232,5.0,3,3,0,0.3133,7.14,5.667,Low
RING-005,109.2336515,-0.42355484,5.0,3,3,0,0.3143,9.73,5.657,Low
RING-015,109.23477799,-0.43053568,5.0,3,3,0,0.322,7.42,5.58,Low
RING-062,109.23430364,-0.42558694,5.0,3,3,0,0.3227,4.9,5.573,Low
RING-036,109.23448261,-0.42791857,5.0,3,3,0,0.3267,6.28,5.533,Low
RING-074,109.23527135,-0.4250219,5.0,4,2,2,0.3448,4.38,5.453,Low
RING-003,109.23373577,-0.43021622,5.0,3,3,0,0.3367,11.44,5.433,Low
