Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy
1,109.23580812,-0.4306895,14.9,0.388,TM,Healthy,,D002A,0.4476706087589264,Normal,Moderate,Routine,D02
2,109.23582146,-0.4293005,14.31,0.46,TM,Healthy,,D002A,0.5155213475227356,Healthy,Good,,D02
3,109.23370221,-0.43031327,14.07,0.52,TM,Healthy,,D002A,0.5671852827072144,Healthy,Good,,D02
4,109.23580581,-0.42902649,13.84,0.365,TM,Suspect,Circle_5m,D002A,0.4295928180217743,Abnormal,Sub-Optimal,Monitor,D02
5,109.23384861,-0.43038881,13.78,0.317,TM,Suspect,Circle_5m,D002A,0.3787733316421509,Suspect,Critical,Priority Survey,D02
6,109.23525719,-0.42999351,13.69,0.399,TM,Healthy,,D002A,0.4538216888904571,Normal,Moderate,Routine,D02
7,109.23512152,-0.43014766,13.41,0.43,TM,Healthy,,D002A,0.4844206869602203,Healthy,Good,,D02
8,109.23384668,-0.43096801,13.21,0.376,TM,Suspect,Circle_5m,D002A,0.4338465332984924,Normal,Moderate,Routine,D02
9,109.23394334,-0.43056065,13.13,0.442,TM,Healthy,,D002A,0.5005905628204346,Healthy,Good,,D02
10,109.23550046,-0.42874156,12.92,0.405,TM,Healthy,,D002A,0.4637743532657623,Healthy,Good,,D02
11,109.23406681,-0.43073973,12.88,0.379,TM,Suspect,Circle_5m,D002A,0.4372607767581939,Normal,Moderate,Routine,D02
12,109.23496365,-0.42913888,12.87,0.37,TM,Suspect,Circle_5m,D002A,0.4256722629070282,Abnormal,Sub-Optimal,Monitor,D02
13,109.23478894,-0.4291212,12.8,0.49,TM,Healthy,,D002A,0.5472593903541565,Healthy,Good,,D02
14,109.23553736,-0.43039463,12.77,0.322,TM,Suspect,Circle_5m,D002A,0.3828715085983276,Suspect,Critical,Priority Survey,D02
15,109.23455049,-0.42897375,12.76,0.358,TM,Suspect,Circle_5m,D002A,0.4230437278747558,Abnormal,Sub-Optimal,Monitor,D02
16,109.2338697,-0.43046161,12.72,0.399,TM,Healthy,,D002A,0.457655519247055,Normal,Moderate,Routine,D02
17,109.23581661,-0.4289017,12.69,0.434,TM,Healthy,,D002A,0.4892199635505676,Healthy,Good,,D02
18,109.23526306,-0.42987414,12.69,0.403,TM,Healthy,,D002A,0.463644415140152,Healthy,Good,,D02
19,109.23371698,-0.43054839,12.58,0.365,TM,Suspect,Circle_5m,D002A,0.4323323965072632,Normal,Moderate,Routine,D02
20,109.23395668,-0.43114393,12.57,0.335,TM,Suspect,Circle_5m,D002A,0.3978490233421325,Abnormal,Sub-Optimal,Monitor,D02
21,109.23389895,-0.43024233,12.48,0.477,TM,Healthy,,D002A,0.534504234790802,Healthy,Good,,D02
