DIVISI,BLOK_B,Blok,T_TANAM,N_BARIS,N_POKOK,OBJECTID,NDRE125,KlassNDRE12025,NDRE2_26,KLASSNDRE2_26,Ket,Longitude_SR,Latitude_SR,Drone_TreeID,Drone_Lon,Drone_Lat,Drone_Height_m,NDRE_Drone_Rel,NDRE_Drone_Abs,HS_Drone_Rel,HS_Drone_Abs
AME II,D002A,D02,2009,1,2,124067,0.43477180431259427,Stres Sedang,0.46261189662429897,Stres Sedang,Pokok Utama,109.23373063180932,-0.4310998575619864,80,109.2337402,-0.43112353,11.22,0.478,0.478,Healthy,Good
AME II,D002A,D02,2009,1,4,124084,0.40067071547675526,Stres Sedang,0.4606080888593086,Stres Sedang,Pokok Utama,109.23386329665442,-0.431130116524731,70,109.23388392,-0.43115431,11.4,0.526,0.526,Healthy,Good
AME II,D002A,D02,2009,1,5,124087,0.4142796588558678,Stres Sedang,0.47783809570041863,Stres Sedang,Pokok Utama,109.23393491293301,-0.4311345200030611,20,109.23395668,-0.43114393,12.57,0.431,0.431,Healthy,Moderate
AME II,D002A,D02,2009,1,6,124097,0.41426555286078043,Stres Sedang,0.4688795711817167,Stres Sedang,Pokok Utama,109.23399703177074,-0.4311000807473501,50,109.23400789,-0.43111545,11.82,0.494,0.494,Healthy,Good
AME II,D002A,D02,2009,1,7,124102,0.37337247305372334,Stres Berat,0.45214524765779535,Stres Sedang,Pokok Utama,109.23409419594599,-0.43113487099646275,108,109.23411792,-0.43115255,10.9,0.478,0.478,Healthy,Good
AME II,D002A,D02,2009,1,8,124104,0.42440434374962205,Stres Sedang,0.48547309614702305,Stres Sedang,Pokok Utama,109.23417250819662,-0.4311069808295607,55,109.23418575,-0.43110103,11.7,0.518,0.518,Healthy,Good
AME II,D002A,D02,2009,1,9,124121,0.3972355919587781,Stres Berat,0.4818154358455359,Stres Sedang,Pokok Utama,109.234220516698,-0.4311050785450857,55,109.23418575,-0.43110103,11.7,0.518,0.518,Healthy,Good
AME II,D002A,D02,2009,1,13,124147,0.3342855319869945,Stres Berat,0.4627598863963497,Stres Sedang,Pokok Utama,109.23453708896804,-0.43111209024135,96,109.23454102,-0.43109568,11.01,0.47,0.47,Healthy,Good
AME II,D002A,D02,2009,1,15,124150,0.3765530702550352,Stres Berat,0.46928327762433225,Stres Sedang,Pokok Utama,109.23471748099082,-0.43110639006027546,125,109.23470225,-0.431112,10.74,0.477,0.477,Healthy,Good
AME II,D002A,D02,2009,1,16,124152,0.41445592057115677,Stres Sedang,0.45935542693320197,Stres Sedang,Pokok Utama,109.234804945555,-0.431094925885205,301,109.23478355,-0.43110026,9.23,0.424,0.424,Healthy,Sub-Optimal
AME II,D002A,D02,2009,1,17,124154,0.41313656005684446,Stres Sedang,0.4837995213725935,Stres Sedang,Pokok Utama,109.23489050650007,-0.43109207470899724,995,109.23488192,-0.43106999,5.95,0.487,0.487,Healthy,Good
AME II,D002A,D02,2009,1,18,124155,0.361606652693371,Stres Berat,0.46507341007725533,Stres Sedang,Pokok Utama,109.23495277187175,-0.43110405311512795,283,109.23496814,-0.43110754,9.35,0.44,0.44,Healthy,Moderate
AME II,D002A,D02,2009,1,20,124059,0.3596638871171847,Stres Berat,0.4703801379968914,Stres Sedang,Pokok Utama,109.23513688037514,-0.4311282806552237,88,109.23515407,-0.43115144,11.1,0.438,0.438,Healthy,Moderate
AME II,D002A,D02,2009,1,31,124026,0.40746096757547656,Stres Sedang,0.5023146416242417,Stres Ringan,Pokok Utama,109.23579377382671,-0.43107577480123743,100,109.23579545,-0.43110231,11.0,0.491,0.491,Healthy,Good
AME II,D002A,D02,2009,2,1,124068,0.4347015757350704,Stres Sedang,0.4704486114231989,Stres Sedang,Pokok Utama,109.23375765383803,-0.43102465068252377,185,109.23378064,-0.43104848,10.22,0.462,0.462,Healthy,Good
AME II,D002A,D02,2009,2,3,124099,0.3775517609821812,Stres Berat,0.4373340974209689,Stres Sedang,Pokok Utama,109.23405844782008,-0.43102034050083354,342,109.23405148,-0.43098841,8.89,0.479,0.479,Healthy,Good
AME II,D002A,D02,2009,2,7,124136,0.373205293199424,Stres Berat,0.46300884561899763,Stres Sedang,Pokok Utama,109.23454209851471,-0.43103457041796484,178,109.23452801,-0.43100525,10.25,0.473,0.473,Healthy,Good
AME II,D002A,D02,2009,2,8,124146,0.3842825578791755,Stres Berat,0.4761056435337571,Stres Sedang,Pokok Utama,109.23460437215684,-0.43101448691864225,115,109.23459178,-0.43102968,10.83,0.42,0.42,Healthy,Sub-Optimal
AME II,D002A,D02,2009,2,11,124153,0.39928787277669325,Stres Berat,0.4553063941073489,Stres Sedang,Pokok Utama,109.23486413571241,-0.43104636981842437,556,109.2348433,-0.43103336,7.66,0.43,0.43,Healthy,Moderate
AME II,D002A,D02,2009,2,14,124057,0.3610546467970142,Stres Berat,0.45792594225672034,Stres Sedang,Pokok Utama,109.23511350840054,-0.43098335679145167,278,109.23509842,-0.43099589,9.41,0.405,0.405,Healthy,Sub-Optimal
AME II,D002A,D02,2009,2,16,124062,0.40519193823620603,Stres Sedang,0.48074491318911,Stres Sedang,Pokok Utama,109.23523595334736,-0.43098012717178513,1520,109.23524708,-0.43100858,4.83,0.49,0.49,Healthy,Good
AME II,D002A,D02,2009,2,19,124034,0.4109294232399463,Stres Sedang,0.49686858043656335,Stres Sedang,Pokok Utama,109.23537655528207,-0.43101492574815325,1827,109.23535666,-0.43102262,4.42,0.467,0.467,Healthy,Good
AME II,D002A,D02,2009,2,20,124036,0.39475053144260125,Stres Berat,0.5074926681953019,Stres Ringan,Pokok Utama,109.23545066958506,-0.43101597484480364,1717,109.23545278,-0.43102581,4.54,0.514,0.514,Healthy,Good
AME II,D002A,D02,2009,2,21,123966,0.37851767421803373,Stres Berat,0.5045507203873731,Stres Ringan,Pokok Utama,109.23551380937202,-0.4310146050935078,1644,109.23550399,-0.43098377,4.64,0.529,0.529,Healthy,Good
AME II,D002A,D02,2009,3,5,124089,0.3768839321393777,Stres Berat,0.42842418890303147,Stres Sedang,Pokok Utama,109.23402166402494,-0.4309719221115647,342,109.23405148,-0.43098841,8.89,0.479,0.479,Healthy,Good
AME II,D002A,D02,2009,3,7,124107,0.435378168436611,Stres Sedang,0.4727149799000472,Stres Sedang,Pokok Utama,109.23421746287907,-0.4309517043037741,1486,109.23423653,-0.43096584,4.87,0.456,0.456,Healthy,Moderate
AME II,D002A,D02,2009,3,8,124119,0.44273142765033235,Stres Sedang,0.4888930042967048,Stres Sedang,Pokok Utama,109.23426309205391,-0.4309684688916397,1486,109.23423653,-0.43096584,4.87,0.456,0.456,Healthy,Moderate
AME II,D002A,D02,2009,3,9,124125,0.4200275672905723,Stres Sedang,0.47272497919105255,Stres Sedang,Pokok Utama,109.23433044026905,-0.43099018687115787,2221,109.23429581,-0.43099434,4.01,0.543,0.543,Healthy,Good
AME II,D002A,D02,2009,3,11,124135,0.39919121167368876,Stres Berat,0.4807365004921074,Stres Sedang,Pokok Utama,109.23451359086312,-0.43097666152814,178,109.23452801,-0.43100525,10.25,0.473,0.473,Healthy,Good
AME II,D002A,D02,2009,3,13,124138,0.3962391099884696,Stres Berat,0.47236463250340643,Stres Sedang,Pokok Utama,109.23459330956918,-0.43095375164430966,258,109.23460347,-0.43097316,9.57,0.524,0.524,Healthy,Good
AME II,D002A,D02,2009,3,14,124145,0.3872220751757649,Stres Berat,0.4674623550560612,Stres Sedang,Pokok Utama,109.23465548946994,-0.43093506345211857,84,109.2346686,-0.43096007,11.18,0.427,0.427,Healthy,Sub-Optimal
