Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,Ring_ID,Distance_to_Center_m,Ring_Radius_m
1075,109.23430872989285,-0.4278946895802873,0.0,0.3990583303310391,Abnormal,Abnormal,Monitor,D002A,RING-001,8.569,5.0
1076,109.23439216044224,-0.4278981009396968,0.0,0.3993545406811808,Abnormal,Abnormal,Monitor,D002A,RING-001,0.738,5.0
1077,109.2344561489026,-0.4278972910488786,0.0,0.3691451203686973,Abnormal,Abnormal,Monitor,D002A,RING-001,7.845,5.0
1259,109.23500343403488,-0.4274037620607373,0.0,0.399927042854004,Abnormal,Abnormal,Monitor,D002A,RING-002,4.554,5.0
1282,109.2350363669452,-0.4273345944407786,0.0,0.3756503916721648,Abnormal,Abnormal,Monitor,D002A,RING-002,5.171,5.0
1260,109.23507346634796,-0.4274056926670298,0.0,0.3785647302687204,Abnormal,Abnormal,Monitor,D002A,RING-002,4.8,5.0
1320,109.23439770440432,-0.4271990252382322,0.0,0.3808846282625757,Abnormal,Abnormal,Monitor,D002A,RING-003,7.964,5.0
1346,109.23443574924566,-0.4271224697993868,0.0,0.3947473224661404,Abnormal,Abnormal,Monitor,D002A,RING-003,5.634,5.0
1345,109.23438346111809,-0.4271256471641375,0.0,0.3861579894840323,Abnormal,Abnormal,Monitor,D002A,RING-003,0.344,5.0
1371,109.23432485026038,-0.4270650211927784,0.0,0.3615826315839691,Abnormal,Abnormal,Monitor,D002A,RING-003,9.696,5.0
1352,109.2350794559523,-0.4271226123507782,0.0,0.3308001156903073,Abnormal,Abnormal,Monitor,D002A,RING-004,8.565,5.0
1353,109.23515261487424,-0.4271296683303954,0.0,0.3888574484880984,Abnormal,Abnormal,Monitor,D002A,RING-004,0.449,5.0
1354,109.2352365902171,-0.4271312829316329,0.0,0.3972066816429989,Abnormal,Abnormal,Monitor,D002A,RING-004,8.955,5.0
1454,109.23493459345173,-0.4268440684005483,0.0,0.3934779880944942,Abnormal,Abnormal,Monitor,D002A,RING-005,9.5,5.0
1455,109.2350032985291,-0.4268402401048183,0.0,0.3879040263013857,Abnormal,Abnormal,Monitor,D002A,RING-005,16.228,5.0
1480,109.23495549563378,-0.4267874677461771,0.0,0.3926803157669032,Abnormal,Abnormal,Monitor,D002A,RING-005,10.142,5.0
1479,109.23488731322556,-0.426780032219214,0.0,0.3931741017004896,Abnormal,Abnormal,Monitor,D002A,RING-005,3.001,5.0
1478,109.23481956512433,-0.4267627887689371,0.0,0.3445719280996575,Abnormal,Abnormal,Monitor,D002A,RING-005,6.143,5.0
1477,109.23476490151896,-0.4267639725239337,0.0,0.3918819031111284,Abnormal,Abnormal,Monitor,D002A,RING-005,11.618,5.0
1476,109.23468759070629,-0.4267849461416315,0.0,0.3993858539975775,Abnormal,Abnormal,Monitor,D002A,RING-005,19.743,5.0
1578,109.23512236540712,-0.4264962922359992,0.0,0.3706967063802037,Abnormal,Abnormal,Monitor,D002A,RING-006,13.745,5.0
1579,109.23520643772969,-0.4264940771253813,0.0,0.3625173761622035,Abnormal,Abnormal,Monitor,D002A,RING-006,4.384,5.0
1580,109.23528439384184,-0.4264913831316993,0.0,0.3955141153867141,Abnormal,Abnormal,Monitor,D002A,RING-006,4.303,5.0
1581,109.23537008560936,-0.4264937432411972,0.0,0.3911211088648368,Abnormal,Abnormal,Monitor,D002A,RING-006,13.833,5.0
1763,109.2350905672314,-0.4260045181489399,0.0,0.3782540766002897,Abnormal,Abnormal,Monitor,D002A,RING-007,8.204,5.0
1764,109.23516979162706,-0.4259981565922473,0.0,0.3943818882600557,Abnormal,Abnormal,Monitor,D002A,RING-007,2.33,5.0
1792,109.23521955737904,-0.4259359595400623,0.0,0.3960421316218204,Abnormal,Abnormal,Monitor,D002A,RING-007,8.198,5.0
1769,109.23558064196102,-0.4259928282520991,0.0,0.3911801843511528,Abnormal,Abnormal,Monitor,D002A,RING-008,7.289,5.0
1797,109.23561915749072,-0.4259319054600731,0.0,0.3875304537200956,Abnormal,Abnormal,Monitor,D002A,RING-008,2.428,5.0
1798,109.23569267673784,-0.4259266584829548,0.0,0.3964145947085677,Abnormal,Abnormal,Monitor,D002A,RING-008,7.371,5.0
1777,109.23391270375312,-0.4259562082655763,0.0,0.3954717841307942,Abnormal,Abnormal,Monitor,D002A,RING-009,8.745,5.0
1778,109.2339875307984,-0.4259589221502941,0.0,0.3889057764151433,Abnormal,Abnormal,Monitor,D002A,RING-009,0.458,5.0
1779,109.23407353173452,-0.4259563285730716,0.0,0.3748253603478422,Abnormal,Abnormal,Monitor,D002A,RING-009,9.159,5.0
1887,109.23471803947346,-0.4256524674320111,0.0,0.3811877901809147,Abnormal,Abnormal,Monitor,D002A,RING-010,9.065,5.0
1888,109.23479281864552,-0.4256564798595951,0.0,0.3566571114012413,Abnormal,Abnormal,Monitor,D002A,RING-010,0.868,5.0
